Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/20/2020 	_x86_64_	(128 CPU)

09:31:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:31:46 PM  all    1.08    0.00    1.06    0.13    0.00    0.04    0.00    0.00    0.00   97.70
09:31:46 PM    0    1.69    0.00    0.68    0.00    0.00    0.34    0.00    0.00    0.00   97.29
09:31:46 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:31:46 PM    2    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.65
09:31:46 PM    3    8.72    0.00    9.73    0.00    0.00    0.00    0.00    0.00    0.00   81.54
09:31:46 PM    4    0.68    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   98.63
09:31:46 PM    5    3.01    0.00    4.68    0.00    0.00    0.33    0.00    0.00    0.00   91.97
09:31:46 PM    6    0.67    0.00    0.67    0.00    0.00    0.34    0.00    0.00    0.00   98.32
09:31:46 PM    7    2.01    0.00    3.36    0.00    0.00    0.00    0.00    0.00    0.00   94.63
09:31:46 PM    8    0.34    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:31:46 PM    9    1.67    0.00    2.68    0.00    0.00    0.33    0.00    0.00    0.00   95.32
09:31:46 PM   10    1.68    0.00    1.68    0.00    0.00    0.34    0.00    0.00    0.00   96.31
09:31:46 PM   11    1.34    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   97.32
09:31:46 PM   12    0.67    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.32
09:31:46 PM   13    0.33    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.66
09:31:46 PM   14    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.66
09:31:46 PM   15    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
09:31:46 PM   16    0.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.66
09:31:46 PM   17    2.02    0.00    0.34    0.00    0.00    0.34    0.00    0.00    0.00   97.31
09:31:46 PM   18    1.68    0.00    0.67    0.00    0.00    0.34    0.00    0.00    0.00   97.32
09:31:46 PM   19    1.35    0.00    1.35    1.35    0.00    0.00    0.00    0.00    0.00   95.95
09:31:46 PM   20    2.03    0.00    1.35    0.00    0.00    0.00    0.00    0.00    0.00   96.62
09:31:46 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:31:46 PM   22    1.01    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   98.66
09:31:46 PM   23    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
09:31:46 PM   24    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:31:46 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:31:46 PM   26    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:31:46 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:31:46 PM   28    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
09:31:46 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:31:46 PM   30    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
09:31:46 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:31:46 PM   32    0.67    0.00    1.00    0.67    0.00    0.00    0.00    0.00    0.00   97.67
09:31:46 PM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:31:46 PM   34    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:31:46 PM   35    2.36    0.00    4.71    0.00    0.00    0.00    0.00    0.00    0.00   92.93
09:31:46 PM   36    0.34    0.00    0.34    0.34    0.00    0.00    0.00    0.00    0.00   98.99
09:31:46 PM   37    1.35    0.00    2.36    0.34    0.00    0.00    0.00    0.00    0.00   95.96
09:31:46 PM   38    6.02    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   92.64
09:31:46 PM   39    0.67    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   97.99
09:31:46 PM   40    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
09:31:46 PM   41    0.66    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.34
09:31:46 PM   42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:31:46 PM   43    0.67    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   97.32
