procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 6  0      0 1073814400  58464 4054444    0    0   962    10   54   25  1  2 91  5  0 2020-02-20 21:31:43
 2  0      0 1073051520  58464 4055888    0    0   941   372 6062 25660  1  1 98  0  0 2020-02-20 21:31:46
 2  0      0 1072304256  58464 4056504    0    0    77   164 4435 22825  1  1 98  0  0 2020-02-20 21:31:49
 1  0      0 1071461504  58464 4062000    0    0   113   676 4665 25093  1  1 98  0  0 2020-02-20 21:31:52
 3  4      0 1070712256  56516 4058056    0    0 10306   237 7880 31023  1  1 97  0  0 2020-02-20 21:31:55
 1  0      0 1069860608  58464 4069980    0    0  1617   462 5345 27069  1  1 98  0  0 2020-02-20 21:31:58
 2  0      0 1069829952  58464 4072296    0    0    75   154 1583 17318  0  0 99  0  0 2020-02-20 21:32:01
 4  0      0 1069787968  58464 4071784    0    0   234   431 4625 50313  1  1 98  0  0 2020-02-20 21:32:04
20  1      0 1069237824  58464 4072876    0    0 71731   144 63838 434018  4  8 87  1  0 2020-02-20 21:32:07
 0  2      0 1069230400  58464 4072804    0    0 146069   324 50725 203478  1  3 95  1  0 2020-02-20 21:32:10
16  2      0 1069174016  58464 4074012    0    0 265929   376 67166 238592  3  5 90  3  0 2020-02-20 21:32:13
 9  6      0 1069128192  58464 4072700    0    0 333420   745 79288 417461  3  8 84  4  0 2020-02-20 21:32:16
30 21      0 1069099264  58464 4076208    0    0 284137   599 72664 321889  4  7 83  6  0 2020-02-20 21:32:19
54 36      0 1069088512  58464 4076656    0    0 316250   550 76026 344064  6  8 79  8  0 2020-02-20 21:32:22
30  4      0 1069071616  58464 4077876    0    0 314418   244 73217 255224  8  7 78  7  0 2020-02-20 21:32:25
16  4      0 1069046080  58464 4079028    0    0 150079   615 62277 219353  8  6 83  3  0 2020-02-20 21:32:28
22 63      0 1069001600  58464 4081064    0    0 105322   133 60668 103462  9  5 75 12  0 2020-02-20 21:32:31
21 15      0 1068981056  58464 4081412    0    0 119284   605 67336 91855  8  4 71 17  0 2020-02-20 21:32:34
11 19      0 1068850688  58464 4081920    0    0 118628   253 68120 93658  9  5 70 17  0 2020-02-20 21:32:37
20 51      0 1068849984  58464 4081868    0    0 133354   956 75775 97953  8  4 68 19  0 2020-02-20 21:32:40
29 94      0 1068927488  58464 4082160    0    0 113193   559 68868 88435  8  4 71 18  0 2020-02-20 21:32:43
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
28 106      0 1068928128  58464 4082612    0    0 131100  1149 72334 96357  8  4 69 19  0 2020-02-20 21:32:46
12 18      0 1068923520  58464 4082680    0    0 131655   889 72332 95261  8  4 68 20  0 2020-02-20 21:32:49
19 43      0 1068926848  58464 4083328    0    0 138183  1614 77355 102709  9  5 65 22  0 2020-02-20 21:32:52
18 33      0 1068841088  55436 4076508    0    0 141721  1885 81420 107402  9  5 65 21  0 2020-02-20 21:32:55
23 52      0 1068919424  58464 4083580    0    0 122602  1023 70128 93590 10  5 68 17  0 2020-02-20 21:32:58
15 62      0 1068923712  58464 4083596    0    0 113221  1008 67785 87767 10  5 69 17  0 2020-02-20 21:33:01
20 29      0 1068911040  58464 4083400    0    0 109780  1227 66819 86257 10  4 70 16  0 2020-02-20 21:33:04
22 101      0 1068921024  58464 4083460    0    0 209567  1549 74165 98488 10  5 69 16  0 2020-02-20 21:33:07
19 70      0 1068918912  58464 4083512    0    0 395535  1114 71831 91534 11  5 72 12  0 2020-02-20 21:33:10
20  3      0 1068912448  58464 4083516    0    0 405156  1282 69972 86843 12  6 67 15  0 2020-02-20 21:33:13
18  2      0 1068901184  58464 4081888    0    0 415288  1475 71678 93029 14  7 65 14  0 2020-02-20 21:33:16
27 18      0 1068914944  58464 4083564    0    0 393164   551 68759 85250 14  6 66 14  0 2020-02-20 21:33:19
