Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/20/2020 	_x86_64_	(128 CPU)

02/20/2020 09:13:22 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.14    0.00    2.05    4.79    0.00   92.02

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.03    0.00     0.00     0.00    56.00     0.00    0.16    0.16    0.00   0.14   0.00
sdf               0.00     0.00   14.63    0.00     0.06     0.00     8.06     0.00    0.15    0.15    8.67   0.15   0.22
sde               0.00     0.00   14.63    0.00     0.06     0.00     8.06     0.00    0.16    0.16    5.67   0.16   0.23
sdc               0.03     0.12    3.95   21.13     0.18     0.31    40.57     0.27   10.68    3.33   12.06   1.59   3.99
sdg               0.00     0.00   14.64    0.00     0.06     0.00     8.05     0.00    0.16    0.16    6.00   0.16   0.23
sdi               0.00     0.00   14.64    0.00     0.06     0.00     8.05     0.00    0.16    0.16    3.67   0.15   0.23
sdd               0.00     0.00   36.09    2.38     0.15     0.00     7.91     0.01    0.32    0.13    3.25   0.32   1.22
sdh               0.00     0.00   14.64    0.00     0.06     0.00     8.05     0.00    0.16    0.16    6.67   0.16   0.23
sdk               0.00     0.00   14.64    0.00     0.06     0.00     8.05     0.00    0.15    0.15    5.33   0.15   0.23
sdl               0.00     0.00   14.64    0.00     0.06     0.00     8.05     0.00    0.16    0.15    7.00   0.15   0.23
sdm               0.00     0.00   14.70    0.32     0.06     0.00     8.05     0.00    0.22    0.15    3.31   0.22   0.33
sdj               0.00     0.00   14.70    0.00     0.06     0.00     8.05     0.00    0.16    0.15    4.57   0.15   0.23
sdo               0.00     0.00   14.64    0.00     0.06     0.00     8.05     0.00    0.15    0.15    5.00   0.15   0.22
sdp               0.00     0.00   14.64    0.00     0.06     0.00     8.05     0.00    0.15    0.15    6.00   0.15   0.23
sdn               0.00     0.00   30.85    0.00     0.13     0.00     8.73     0.00    0.12    0.12   10.00   0.12   0.38
sdq               0.00     0.00   14.64    0.00     0.06     0.00     8.05     0.00    0.15    0.15    6.67   0.15   0.22
sds               0.00     0.00   14.64    0.00     0.06     0.00     8.05     0.00    0.16    0.16    5.40   0.16   0.23
sdr               0.00     0.00   14.64    0.00     0.06     0.00     8.05     0.00    0.15    0.15    5.67   0.15   0.23
sdw               0.00     0.00   31.02    0.00     0.13     0.00     8.70     0.00    0.12    0.12    0.33   0.12   0.38
sdt               0.00     0.00   14.64    0.00     0.06     0.00     8.05     0.00    0.16    0.16    4.57   0.16   0.23
sdu               0.00     0.00   14.71    0.32     0.06     0.00     8.05     0.00    0.17    0.15    0.97   0.17   0.25
sdv               0.00     0.00   14.64    0.00     0.06     0.00     8.09     0.00    0.15    0.15    0.20   0.15   0.22
sdx               0.00     0.00   32.38   20.06     0.17     0.11    10.75     0.05    1.03    0.13    2.49   0.81   4.27
sdz               0.00     0.00 3109.59   15.53    24.66     0.14    16.25    20.33    6.50    6.52    3.49   0.12  36.64
sdaa              0.00     0.00 3125.96   14.72    24.75     0.13    16.23    21.98    6.99    7.01    3.60   0.12  36.83
sdab              0.00     0.00 3113.40   16.43    24.67     0.16    16.25    20.97    6.69    6.71    3.64   0.12  37.72
sdy               0.00     0.00 3108.09   15.47    24.63     0.14    16.24    20.63    6.60    6.62    3.57   0.12  36.44
sda               0.00     0.15    6.38    7.00     0.11     0.06    26.03     0.34   25.30    3.93   44.76   2.42   3.23
dm-0              0.00     0.00    4.08   21.24     0.18     0.31    40.16     0.27   10.84    3.38   12.27   1.57   3.98
sdac              0.00     0.00    0.27    0.00     0.00     0.00     8.01     0.00    0.65    0.63    3.62   0.61   0.02
dm-1              0.00     0.00    0.12    0.00     0.00     0.00     8.03     0.00    0.75    0.70    3.75   0.73   0.01
sdad              0.00     0.00    0.79    0.00     0.00     0.00     8.00     0.00    0.57    0.57    0.00   0.55   0.04
dm-2              0.00     0.00    0.63    0.00     0.00     0.00     8.00     0.00    0.61    0.61    0.00   0.61   0.04
sdae              0.00     0.00    2.72    0.97     0.01     0.00     3.49     0.01    1.58    0.69    4.08   1.57   0.58
dm-3              0.00     0.00    2.57    0.97     0.01     0.00     3.30     0.01    1.72    0.79    4.19   1.70   0.60
sdaf              0.00     0.00    0.27    0.00     0.00     0.00     8.01     0.00    0.80    0.78    3.86   0.72   0.02
dm-4              0.00     0.00    0.12    0.00     0.00     0.00     8.03     0.00    0.79    0.75    3.86   0.76   0.01
sdag              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    0.75    0.74    8.33   0.70   0.02
dm-5              0.00     0.00    0.12    0.00     0.00     0.00     7.99     0.00    0.92    0.88    8.33   0.88   0.01
sdah              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    0.77    0.74    5.00   0.70   0.02
dm-6              0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    0.92    0.86    5.14   0.89   0.01
sdai              0.00     0.00    2.73    1.42     0.01     0.00     5.03     0.01    1.88    0.72    4.12   1.85   0.77
dm-7              0.00     0.00    2.58    1.42     0.01     0.00     4.92     0.01    2.04    0.84    4.23   2.00   0.80
sdaj              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    0.84    0.83    5.33   0.79   0.02
dm-8              0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    1.16    1.13    5.33   1.14   0.01
sdak              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    0.88    0.86    5.67   0.83   0.02
dm-9              0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    1.21    1.19    5.67   1.18   0.01
sdal              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    0.89    0.88    6.67   0.83   0.02
dm-10             0.00     0.00    0.12    0.00     0.00     0.00     7.99     0.00    1.18    1.15    6.67   1.16   0.01
sdam              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    0.72    0.70    8.33   0.66   0.02
dm-11             0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    0.85    0.81    8.33   0.82   0.01
sdan              0.00     0.00    0.27    0.32     0.00     0.00     8.00     0.00    2.57    0.92    3.97   2.54   0.15
dm-12             0.00     0.00    0.12    0.32     0.00     0.00     8.00     0.00    3.33    1.26    4.10   3.32   0.14
sdao              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    0.91    0.90    5.33   0.86   0.02
dm-13             0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    1.27    1.25    5.33   1.24   0.01
sdap              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    0.76    0.75    6.67   0.71   0.02
dm-14             0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    0.91    0.88    6.67   0.88   0.01
sdaq              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    0.76    0.74    8.67   0.72   0.02
dm-15             0.00     0.00    0.12    0.00     0.00     0.00     7.99     0.00    0.92    0.88    8.67   0.89   0.01
sdar              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    0.82    0.80    9.67   0.76   0.02
dm-16             0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    0.94    0.89    9.67   0.90   0.01
sdas              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    0.98    0.98    3.67   0.93   0.02
dm-17             0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    1.32    1.31    3.67   1.30   0.01
sdat              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    0.95    0.93    9.00   0.90   0.02
dm-18             0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    1.33    1.28    9.00   1.30   0.01
sdau              0.00     0.00    0.27    0.00     0.00     0.00     8.99     0.00    1.03    1.00    8.40   0.96   0.03
dm-19             0.00     0.00    0.11    0.00     0.00     0.00    10.30     0.00    1.48    1.42    8.40   1.41   0.02
sdav              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    1.18    1.16    8.00   1.13   0.03
dm-20             0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    1.71    1.66    8.00   1.68   0.02
sdaw              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    0.85    0.82    7.80   0.79   0.02
dm-21             0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    0.98    0.92    8.00   0.95   0.01
sdax              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    1.13    1.13    0.67   1.07   0.03
dm-22             0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    1.69    1.70    0.67   1.66   0.02
sday              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    1.44    1.44    0.83   1.39   0.04
dm-23             0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    2.26    2.28    0.83   2.24   0.03
sdaz              0.00     0.00    1.02    8.05     0.01     0.08    20.28     0.05    6.01    7.20    5.86   1.41   1.28
dm-24             0.00     0.00    0.87    8.05     0.01     0.08    20.49     0.07    7.64    7.55    7.65   1.37   1.23
sdba              0.00     0.00    1.17    8.26     0.02     0.08    20.40     0.06    6.17    6.12    6.18   1.47   1.39
dm-25             0.00     0.00    1.02    8.26     0.01     0.08    20.61     0.08    8.82    6.27    9.13   1.45   1.35
sdbb              0.00     0.00    0.27    0.32     0.00     0.00     8.00     0.00    1.62    1.64    1.60   1.49   0.09
dm-26             0.00     0.00    0.12    0.32     0.00     0.00     8.00     0.00    1.82    2.20    1.67   1.67   0.07
sdbc              0.00     0.00    0.27    8.04     0.00     0.07    17.93     0.05    6.25    4.47    6.31   0.78   0.65
dm-27             0.00     0.00    0.12    8.04     0.00     0.07    18.12     0.07    9.08    4.27    9.15   0.75   0.61
sdbd              0.00     0.00    0.27    8.16     0.00     0.07    17.41     0.05    5.87    5.08    5.89   0.89   0.75
dm-28             0.00     0.00    0.12    8.16     0.00     0.07    17.58     0.06    7.73    4.38    7.78   0.84   0.69
sdbe              0.00     0.00    0.28   10.12     0.00     0.05    11.04     0.04    3.42    1.88    3.47   2.92   3.03
dm-29             0.00     0.00    0.12   10.12     0.00     0.05    11.08     0.04    3.57    3.37    3.57   3.04   3.11

02/20/2020 09:13:25 PM
