Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/20/2020 	_x86_64_	(128 CPU)

01:30:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:30:43 PM  all    1.00    0.00    1.07    0.01    0.00    0.05    0.00    0.00    0.00   97.86
01:30:43 PM    0    0.34    0.00    0.34    0.00    0.00    0.34    0.00    0.00    0.00   98.98
01:30:43 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM    2    1.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.66
01:30:43 PM    3    2.69    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   88.22
01:30:43 PM    4   41.14    0.00   19.73    0.00    0.00    0.33    0.00    0.00    0.00   38.80
01:30:43 PM    5    2.01    0.00    3.02    0.00    0.00    0.00    0.00    0.00    0.00   94.97
01:30:43 PM    6    0.00    0.00    2.04    0.00    0.00    0.34    0.00    0.00    0.00   97.62
01:30:43 PM    7    1.01    0.00    2.68    0.00    0.00    0.34    0.00    0.00    0.00   95.97
01:30:43 PM    8    0.67    0.00    1.34    0.00    0.00    0.33    0.00    0.00    0.00   97.66
01:30:43 PM    9    0.67    0.00    1.01    0.00    0.00    0.34    0.00    0.00    0.00   97.99
01:30:43 PM   10    1.69    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   96.95
01:30:43 PM   11    0.33    0.00    1.34    0.00    0.00    0.33    0.00    0.00    0.00   97.99
01:30:43 PM   12    1.01    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.32
01:30:43 PM   13    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:30:43 PM   14    1.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.33
01:30:43 PM   15    0.33    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:30:43 PM   16    1.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.33
01:30:43 PM   17    1.34    0.00    1.34    0.00    0.00    0.34    0.00    0.00    0.00   96.98
01:30:43 PM   18    2.34    0.00    1.34    0.00    0.00    0.33    0.00    0.00    0.00   95.99
01:30:43 PM   19    1.00    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   97.66
01:30:43 PM   20    1.69    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   97.64
01:30:43 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   22    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.66
01:30:43 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   24    0.67    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:30:43 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   26    0.67    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:30:43 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   28    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   30    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   33    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:30:43 PM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   35    3.02    0.00    5.70    0.34    0.00    0.00    0.00    0.00    0.00   90.94
01:30:43 PM   36    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM   37    1.68    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.28
01:30:43 PM   38    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM   39    1.33    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.67
01:30:43 PM   40    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM   41    1.00    0.00    3.01    0.00    0.00    0.00    0.00    0.00    0.00   95.99
01:30:43 PM   42    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM   43    1.34    0.00    2.34    0.00    0.00    0.00    0.00    0.00    0.00   96.32
01:30:43 PM   44    0.34    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:30:43 PM   45    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:30:43 PM   46    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM   47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   48    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM   49    0.67    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.33
01:30:43 PM   50    1.01    0.00    0.34    0.00    0.00    0.34    0.00    0.00    0.00   98.31
01:30:43 PM   51    1.35    0.00    1.01    0.00    0.00    0.34    0.00    0.00    0.00   97.31
01:30:43 PM   52    2.02    0.00    0.67    0.00    0.00    0.67    0.00    0.00    0.00   96.63
01:30:43 PM   53    1.34    0.00    0.67    0.00    0.00    0.34    0.00    0.00    0.00   97.65
01:30:43 PM   54    1.34    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.99
01:30:43 PM   55    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   56    0.67    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:30:43 PM   57    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   58    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:30:43 PM   59    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   60    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM   61    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   62    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM   63    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:30:43 PM   64    0.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.66
01:30:43 PM   65    0.00    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   99.32
01:30:43 PM   66    0.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.66
01:30:43 PM   67    2.01    0.00    4.36    0.00    0.00    0.00    0.00    0.00    0.00   93.62
01:30:43 PM   68    0.34    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   98.98
01:30:43 PM   69    1.34    0.00    2.35    0.00    0.00    0.00    0.00    0.00    0.00   96.31
01:30:43 PM   70    0.67    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.32
01:30:43 PM   71    1.00    0.00    2.33    0.00    0.00    0.00    0.00    0.00    0.00   96.67
01:30:43 PM   72    1.00    0.00    0.67    0.67    0.00    0.00    0.00    0.00    0.00   97.66
01:30:43 PM   73    0.67    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   98.00
01:30:43 PM   74    0.67    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:30:43 PM   75    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
01:30:43 PM   76    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.66
01:30:43 PM   77    1.00    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   96.99
01:30:43 PM   78    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM   79    0.33    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   98.33
01:30:43 PM   80    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.66
01:30:43 PM   81    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM   82    1.68    0.00    0.67    0.00    0.00    0.34    0.00    0.00    0.00   97.31
01:30:43 PM   83    2.01    0.00    0.67    0.00    0.00    0.34    0.00    0.00    0.00   96.98
01:30:43 PM   84    2.03    0.00    1.01    0.00    0.00    0.34    0.00    0.00    0.00   96.62
01:30:43 PM   85    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   86    1.01    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   98.66
01:30:43 PM   87    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:30:43 PM   88    0.67    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:30:43 PM   89    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   90    0.67    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:30:43 PM   91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   92    0.67    0.00    0.33    0.00    0.00    0.33    0.00    0.00    0.00   98.66
01:30:43 PM   93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   94    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM   95    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   96    0.33    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM   97    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM   98    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:30:43 PM   99    4.03    0.00    6.71    0.00    0.00    0.00    0.00    0.00    0.00   89.26
01:30:43 PM  100    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM  101    3.01    0.00    8.36    0.00    0.00    0.33    0.00    0.00    0.00   88.29
01:30:43 PM  102    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:30:43 PM  103    1.01    0.00    3.69    0.00    0.00    0.00    0.00    0.00    0.00   95.30
01:30:43 PM  104    0.00    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.66
01:30:43 PM  105    0.67    0.00    2.67    0.00    0.00    0.00    0.00    0.00    0.00   96.67
01:30:43 PM  106    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM  107    0.67    0.00    2.34    0.00    0.00    0.00    0.00    0.00    0.00   96.99
01:30:43 PM  108    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM  109    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:30:43 PM  110    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:30:43 PM  111    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:43 PM  112    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
