procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 4  0      0 1073947776  58464 4353224    0    0   798    35   70    6  1  2 93  4  0 2020-02-20 13:30:40
 1  0      0 1073244160  58464 4353416    0    0   111  3191 5274 29151  1  1 98  0  0 2020-02-20 13:30:43
 3  0      0 1072466560  58464 4354452    0    0   241  3594 6377 30857  1  1 98  0  0 2020-02-20 13:30:46
 1  0      0 1071694848  58464 4354908    0    0   116  3395 5531 29718  1  1 98  0  0 2020-02-20 13:30:49
 1  0      0 1070953216  58464 4359316    0    0 10864  2635 9282 38960  1  1 97  1  0 2020-02-20 13:30:52
 2  1      0 1070148928  58464 4365232    0    0   274  3172 6118 30868  1  1 97  0  0 2020-02-20 13:30:55
 1  0      0 1070137152  58464 4365460    0    0    96  2509 2185 23759  0  0 100  0  0 2020-02-20 13:30:58
25 52      0 1069423424  58464 4375316    0    0 116941  3509 24079 66836  5  4 87  5  0 2020-02-20 13:31:01
15 52      0 1069405888  58464 4376556    0    0 672388 39153 108990 216638  4  8 65 24  0 2020-02-20 13:31:04
 9 37      0 1069392384  58464 4379432    0    0 662036 42734 112403 200018  4  9 65 23  0 2020-02-20 13:31:07
21 42      0 1069304448  58464 4380156    0    0 655719 49932 112288 198931  4  9 65 23  0 2020-02-20 13:31:10
26 61      0 1069365376  58464 4380272    0    0 610115 39443 107638 191983  3  8 66 22  0 2020-02-20 13:31:13
17 33      0 1069357120  58464 4380024    0    0 643185 43498 110650 194188  4  8 67 21  0 2020-02-20 13:31:16
11 51      0 1069353664  58464 4379932    0    0 641985 43643 112611 196296  3  8 67 22  0 2020-02-20 13:31:19
21 46      0 1069352000  58464 4379732    0    0 664459  4420 116803 199050  4  8 66 22  0 2020-02-20 13:31:22
 5 45      0 1069344832  58464 4379580    0    0 659798  5140 110371 192210  3  7 69 21  0 2020-02-20 13:31:25
30 74      0 1069346752  58464 4379604    0    0 669566  4857 112742 199507  4  7 65 24  0 2020-02-20 13:31:28
16 49      0 1069326784  57164 4378216    0    0 644946  5041 112127 192798  4  8 67 22  0 2020-02-20 13:31:31
 7 55      0 1069320192  58464 4379888    0    0 656441  4110 112496 195469  4  7 66 23  0 2020-02-20 13:31:34
18 44      0 1069330560  58464 4380636    0    0 693633  5779 112991 203150  4  8 65 23  0 2020-02-20 13:31:37
11 51      0 1069326848  58464 4380672    0    0 677511  6592 115866 202149  4  8 64 24  0 2020-02-20 13:31:40
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 7 60      0 1069321536  58464 4380632    0    0 674268  4890 112599 200043  4  8 65 23  0 2020-02-20 13:31:43
 8 43      0 1069323904  58464 4380496    0    0 655893  6140 112006 192919  4  7 68 21  0 2020-02-20 13:31:46
21 53      0 1069324736  58464 4380508    0    0 693248  5864 115411 202561  4  7 66 23  0 2020-02-20 13:31:49
18 48      0 1069318592  58464 4380580    0    0 690904  5885 116199 209041  4  9 63 24  0 2020-02-20 13:31:52
22 72      0 1069312064  58464 4380764    0    0 724966  6118 117636 210767  4  9 64 24  0 2020-02-20 13:31:55
 9 51      0 1069211648  58464 4380804    0    0 695822  5591 112629 205626  4  8 65 23  0 2020-02-20 13:31:58
29 45      0 1069202112  58464 4381824    0    0 673383  5709 113484 203088  5  9 63 23  0 2020-02-20 13:32:01
30 72      0 1069178368  58464 4381592    0    0 673280  4486 113607 207758  5  9 62 24  0 2020-02-20 13:32:04
 4 85      0 1069194304  58464 4381608    0    0 692973  5837 117993 209940  5  9 64 23  0 2020-02-20 13:32:07
24 43      0 1069064704  58464 4381644    0    0 673849  5015 116261 204278  5  8 64 22  0 2020-02-20 13:32:11
 9 59      0 1069311232  58464 4381048    0    0 625614  5797 113181 197479  4  8 67 21  0 2020-02-20 13:32:14
11 49      0 1069312448  58464 4381256    0    0 670652  4380 115865 200546  4  8 65 23  0 2020-02-20 13:32:17
 8 105      0 1069310208  58464 4381276    0    0 692716  4506 113788 201518  4  8 66 23  0 2020-02-20 13:32:20
 9 53      0 1069308224  58464 4381204    0    0 711927  5434 117209 209969  4  8 64 24  0 2020-02-20 13:32:23
12 44      0 1069303424  58464 4381168    0    0 661526  4972 112527 193073  3  7 68 21  0 2020-02-20 13:32:26
22 44      0 1069302016  58464 4381172    0    0 734183  4116 110170 206530  4  7 65 24  0 2020-02-20 13:32:29
 2 49      0 1069296896  56888 4376108    0    0 688384  4606 97232 191023  4  7 68 22  0 2020-02-20 13:32:32
 7 55      0 1069293248  58464 4381748    0    0 711113  3396 86655 183132  3  5 70 22  0 2020-02-20 13:32:35
 7 53      0 1069303168  58464 4381696    0    0 713029  1681 110996 201228  4  7 65 24  0 2020-02-20 13:32:38
 8 48      0 1069303616  58464 4382408    0    0 715813  1351 114343 204001  4  8 64 24  0 2020-02-20 13:32:41
16 53      0 1069304256  58464 4382440    0    0 678483  2050 116942 199491  4  7 67 22  0 2020-02-20 13:32:44
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
11 44      0 1069297536  58464 4381976    0    0 650360  1897 108772 190669  4  8 66 23  0 2020-02-20 13:32:47
27 43      0 1069298624  58464 4382012    0    0 677649  1338 109218 193912  4  7 67 22  0 2020-02-20 13:32:50
10 70      0 1069301056  58464 4382356    0    0 707113  1971 106793 199656  4  7 64 24  0 2020-02-20 13:32:53
21 73      0 1069320000  58464 4379792    0    0 674123  1681 115500 201162  4  8 66 22  0 2020-02-20 13:32:56
29 66      0 1069320640  58464 4382240    0    0 703101  1464 110409 198207  3  7 68 21  0 2020-02-20 13:32:59
35 59      0 1069321472  58464 4382440    0    0 691916  1290 112476 201313  4  8 64 24  0 2020-02-20 13:33:02
21 45      0 1069316352  58464 4382600    0    0 670396  1532 114041 199605  4  8 66 23  0 2020-02-20 13:33:05
26 54      0 1069321856  58464 4382380    0    0 704798  1762 103464 195268  4  7 67 23  0 2020-02-20 13:33:08
33 72      0 1069244032  58464 4382420    0    0 675948  1761 108299 196018  4  7 64 24  0 2020-02-20 13:33:11
15 57      0 1069319872  58464 4382364    0    0 703552  1368 110808 205905  4  8 62 26  0 2020-02-20 13:33:14
12 39      0 1069322624  58464 4382404    0    0 666025  1648 107373 192028  3  7 67 23  0 2020-02-20 13:33:17
20 45      0 1069322688  58464 4382448    0    0 726398  1914 98317 193575  3  6 68 23  0 2020-02-20 13:33:20
24 54      0 1069324416  58464 4382472    0    0 684594  2240 110339 192596  4  7 68 21  0 2020-02-20 13:33:23
22 41      0 1069324288  58464 4382420    0    0 685923  1391 112948 197541  4  8 66 23  0 2020-02-20 13:33:26
15 49      0 1069323200  58464 4382700    0    0 701643  1839 117278 203683  4  8 66 23  0 2020-02-20 13:33:29
22 43      0 1069326272  57664 4372528    0    0 693349  1674 118543 210136  4 10 61 25  0 2020-02-20 13:33:32
 5 46      0 1069320256  58464 4383276    0    0 698119  1817 97279 187332  3  6 70 21  0 2020-02-20 13:33:35
18 42      0 1069330112  58464 4383280    0    0 734915  1527 113841 206340  4  8 63 25  0 2020-02-20 13:33:38
13 48      0 1069336832  58464 4383620    0    0 730973  1869 118399 209966  4  9 63 24  0 2020-02-20 13:33:41
22 70      0 1069340288  58464 4383652    0    0 737447  1614 116824 211094  4  8 63 25  0 2020-02-20 13:33:44
18 75      0 1069330176  58464 4384152    0    0 699351  1576 115975 204040  4  8 64 24  0 2020-02-20 13:33:47
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
28 43      0 1069324864  58464 4384160    0    0 723132  1526 116123 208167  4  8 63 24  0 2020-02-20 13:33:50
 7 58      0 1069326464  58464 4384212    0    0 707656  1856 118419 209491  4  9 62 24  0 2020-02-20 13:33:53
20 42      0 1069327616  58464 4384160    0    0 670301  1131 116016 199381  4  8 65 23  0 2020-02-20 13:33:56
16 48      0 1069327808  58464 4384188    0    0 668973  1924 117106 198495  4  7 67 23  0 2020-02-20 13:33:59
12 50      0 1069335232  58464 4384152    0    0 717809  1531 117298 203642  4  9 64 23  0 2020-02-20 13:34:02
46 46      0 1069327872  58464 4384860    0    0 707937  1404 116448 200748  4  8 65 23  0 2020-02-20 13:34:05
22 58      0 1069331328  58464 4384856    0    0 667488  1613 116514 200759  4  8 65 23  0 2020-02-20 13:34:08
13 48      0 1069253312  58464 4384616    0    0 727655  1588 117608 207918  4  8 65 23  0 2020-02-20 13:34:11
18 48      0 1069331968  58464 4384652    0    0 696858  1391 116313 206794  4  8 63 24  0 2020-02-20 13:34:14
19 47      0 1069334208  58464 4384680    0    0 676004  1562 113252 196651  4  7 67 22  0 2020-02-20 13:34:17
23 47      0 1069317056  58464 4384688    0    0 738324  1808 114892 206129  4  7 67 22  0 2020-02-20 13:34:20
17 50      0 1069332736  58464 4384492    0    0 711363  1707 119336 210215  4  9 63 24  0 2020-02-20 13:34:23
15 41      0 1069332608  58464 4384432    0    0 663125  1487 114542 195662  4  8 67 21  0 2020-02-20 13:34:26
55 37      0 1069332800  58464 4384436    0    0 722255  1580 114847 207212  4  8 64 24  0 2020-02-20 13:34:29
18 68      0 1069340480  42468 4377900    0    0 704852  1279 116611 199696  4  8 65 23  0 2020-02-20 13:34:32
22 98      0 1069323072  58464 4384876    0    0 695588  1867 114911 200578  4  8 65 23  0 2020-02-20 13:34:35
 4 57      0 1069330816  58464 4384888    0    0 749820  1716 122653 216461  4  9 63 24  0 2020-02-20 13:34:38
28 53      0 1069332864  58464 4385248    0    0 694062  1115 117376 203150  4  8 64 23  0 2020-02-20 13:34:41
13 53      0 1069335424  58464 4385292    0    0 678508  3992 112526 196126  4  7 68 22  0 2020-02-20 13:34:44
19 49      0 1069331136  58464 4386112    0    0 719784  1504 109395 202849  4  8 64 24  0 2020-02-20 13:34:47
18 48      0 1069311296  58464 4386128    0    0 697478  1552 113783 196577  4  7 69 21  0 2020-02-20 13:34:50
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
13 48      0 1069322816  58464 4386140    0    0 702355  1761 121474 212074  4 10 61 25  0 2020-02-20 13:34:53
13 50      0 1069321728  58464 4386024    0    0 696520  1249 116515 198478  4  8 68 21  0 2020-02-20 13:34:56
 7 54      0 1069326720  58464 4386296    0    0 715192  1111 118759 207155  4  8 64 23  0 2020-02-20 13:34:59
 5 64      0 1069326144  58464 4386308    0    0 710263  1183 118543 204050  4  8 66 21  0 2020-02-20 13:35:02
10 50      0 1069327232  58464 4386884    0    0 732172  1076 115693 206788  4  9 64 24  0 2020-02-20 13:35:05
29 68      0 1069326336  58464 4386756    0    0 756937  1546 119499 215369  4  9 62 25  0 2020-02-20 13:35:08
14 45      0 1069245312  58480 4386768    0    0 699606  1341 99103 189194  4  6 69 22  0 2020-02-20 13:35:11
28 50      0 1069323392  58464 4386804    0    0 683262  1479 115056 205125  4  9 64 24  0 2020-02-20 13:35:14
 7 100      0 1069323072  58464 4386836    0    0 704697  1430 113690 200226  4  8 65 23  0 2020-02-20 13:35:17
21 63      0 1069296448  58464 4386852    0    0 745361  1480 119782 212026  4  8 63 24  0 2020-02-20 13:35:20
17 86      0 1069323264  58464 4386892    0    0 683535  1645 114250 198347  4  7 66 22  0 2020-02-20 13:35:23
34 45      0 1069323392  58464 4386800    0    0 708321  1200 110956 201811  4  8 65 23  0 2020-02-20 13:35:26
22 46      0 1069324096  58464 4386836    0    0 733633  1232 117115 209724  4  8 64 23  0 2020-02-20 13:35:29
16 53      0 1069315584  58464 4385196    0    0 714438  1554 116833 206596  4  9 63 23  0 2020-02-20 13:35:32
 9 58      0 1069310400  58464 4387316    0    0 720532  1325 117872 206545  4  8 65 23  0 2020-02-20 13:35:35
19 46      0 1069317888  58464 4387276    0    0 720330  1401 116669 201179  4  8 66 22  0 2020-02-20 13:35:38
 8 103      0 1069322240  58464 4387636    0    0 706559  1334 120017 206672  4  8 64 23  0 2020-02-20 13:35:41
 8 42      0 1069322944  58464 4387664    0    0 730900  1309 113559 203017  4  7 68 21  0 2020-02-20 13:35:44
20 45      0 1069307392  58464 4387700    0    0 713519  2272 117881 205881  4  9 66 22  0 2020-02-20 13:35:47
15 49      0 1069288640  58464 4387768    0    0 711572  1506 119487 209761  4  9 64 23  0 2020-02-20 13:35:50
30 49      0 1069323520  58464 4388244    0    0 731164  1768 121116 208532  4  9 65 22  0 2020-02-20 13:35:53
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
32 48      0 1069323520  58464 4388064    0    0 717687  1388 117949 203809  4  8 66 22  0 2020-02-20 13:35:56
29 36      0 1069326080  58464 4388080    0    0 732979  1945 118286 213066  4  8 64 23  0 2020-02-20 13:35:59
22  4      0 1072376192  55336 4371168    0    0 504933  1187 107320 185945  4 10 70 16  0 2020-02-20 13:36:02
 4  0      0 1073190976  58464 4375060    0    0 20272   521 39120 63595  1  3 96  0  0 2020-02-20 13:36:05
 0  0      0 1073844608  58464 4373208    0    0    91   583 3973 23858  0  0 100  0  0 2020-02-20 13:36:08
 0  0      0 1073848192  58464 4373072    0    0   211   303 1443 20564  0  0 99  0  0 2020-02-20 13:36:11
 0  0      0 1073848576  58464 4373112    0    0    84   171 1186 20595  0  0 100  0  0 2020-02-20 13:36:14
 0  1      0 1073843200  58464 4372592    0    0 10913   186 5137 29070  0  1 98  1  0 2020-02-20 13:36:17
 5  0      0 1073825152  58464 4372564    0    0    95   232 1263 20237  0  0 100  0  0 2020-02-20 13:36:20
 1  0      0 1073822976  58464 4372664    0    0   578  1002 8706 29659  1  0 99  0  0 2020-02-20 13:36:23
 2  0      0 1073808000  58464 4372664    0    0   181   193 2117 20891  1  0 99  0  0 2020-02-20 13:36:26
 1  0      0 1073806336  58464 4372692    0    0   124   454 1953 21521  1  0 99  0  0 2020-02-20 13:36:29
 1  0      0 1073793920  58464 4373272    0    0 10890   195 5146 30041  1  1 97  1  0 2020-02-20 13:36:32
 3  0      0 1073800448  58464 4372996    0    0   145   351 1555 20866  1  0 99  0  0 2020-02-20 13:36:35
 2  0      0 1073804032  58464 4373072    0    0   324  2420 2934 22490  1  0 98  0  0 2020-02-20 13:36:38
 1  0      0 1073801088  58464 4373032    0    0   371   368 1791 20802  1  0 98  0  0 2020-02-20 13:36:41
 1  0      0 1073801344  58464 4373076    0    0   105   256 1210 20515  1  0 99  0  0 2020-02-20 13:36:44
 2  0      0 1073800192  58464 4373380    0    0   211   320 1747 21256  1  0 99  0  0 2020-02-20 13:36:47
 6  0      0 1073762432  58464 4373320    0    0    89   321 1429 20343  1  0 99  0  0 2020-02-20 13:36:50
 1  0      0 1073793408  58464 4373476    0    0 10917   462 4761 29501  1  1 98  1  0 2020-02-20 13:36:53
 1  0      0 1073801344  58464 4373740    0    0   205   242 1734 20796  1  0 99  0  0 2020-02-20 13:36:56
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 6  0      0 1073703872  58464 4373796    0    0   418   243 6170 30616  1  0 98  0  0 2020-02-20 13:36:59
 3  0      0 1073723584  58464 4374188    0    0   215   425 11460 41403  2  1 97  0  0 2020-02-20 13:37:02
 4  0      0 1073704448  58464 4374188    0    0   177   360 8937 35431  2  1 97  0  0 2020-02-20 13:37:05
 2  0      0 1073615616  58464 4374220    0    0   123   400 8683 36064  2  1 98  0  0 2020-02-20 13:37:08
 2  2      0 1073817856  58388 4367384    0    0 10880   516 5861 30253  1  1 97  1  0 2020-02-20 13:37:11
 1  0      0 1073826432  58464 4374212    0    0   123   231 1294 20608  1  0 99  0  0 2020-02-20 13:37:14
 3  0      0 1073830016  58464 4374160    0    0   234   246 1813 21323  1  0 99  0  0 2020-02-20 13:37:17
 5  0      0 1073796608  58464 4374188    0    0    63   438 1320 20126  1  0 99  0  0 2020-02-20 13:37:20
 1  0      0 1073838208  58464 4374216    0    0   220   304 1377 21043  1  0 99  0  0 2020-02-20 13:37:23
