Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/20/2020 	_x86_64_	(128 CPU)

02/20/2020 02:26:55 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.54    0.00    2.66    6.80    0.00   89.00

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.03    0.00     0.00     0.00    56.00     0.00    0.18    0.18    0.00   0.13   0.00
sdd               0.00     0.00   31.27    2.53     0.12     0.07    11.86     0.04    1.19    0.22   13.15   0.52   1.75
sdc               0.01     0.05    2.71   20.08     0.14     0.28    38.25     0.26   11.63    0.29   13.16   1.34   3.05
sde               0.00     0.00 1501.77   67.95    12.01     0.57    16.42     3.94    2.51    2.37    5.62   0.27  43.01
sdf               0.00     0.00 1500.39   68.04    11.99     0.57    16.41     3.63    2.32    2.20    4.82   0.27  42.95
sdg               0.00     0.00 1529.00   68.79    12.22     0.58    16.41     3.51    2.20    2.10    4.43   0.27  42.82
sdh               0.00     0.00 1543.43   69.45    12.34     0.59    16.41     3.68    2.28    2.17    4.74   0.27  42.95
sdi               0.00     0.00 1486.55   67.58    11.88     0.58    16.42     3.85    2.48    2.34    5.46   0.28  42.93
sdj               0.00     0.00 1506.92   68.57    12.09     0.59    16.47     3.42    2.17    2.07    4.37   0.27  42.83
sdl               0.00     0.00 1504.07   67.99    12.02     0.58    16.42     3.83    2.43    2.31    5.19   0.27  42.94
sdk               0.00     0.00 1502.04   67.80    12.00     0.58    16.41     3.72    2.37    2.25    5.06   0.27  42.89
sdm               0.00     0.00 1538.44   69.19    12.32     0.59    16.45     4.02    2.50    2.36    5.64   0.27  43.23
sdn               0.00     0.00 1514.07   67.81    12.07     0.58    16.39     3.80    2.40    2.27    5.39   0.27  43.01
sdo               0.00     0.00 1548.53   69.27    12.41     0.59    16.46     3.76    2.32    2.20    5.08   0.27  43.12
sdp               0.00     0.00 1523.48   69.12    12.19     0.59    16.43     3.75    2.35    2.23    5.06   0.27  42.99
sds               0.00     0.00 1520.17   68.86    12.16     0.58    16.43     3.65    2.30    2.18    4.84   0.27  42.98
sdt               0.00     0.00 1521.66   68.31    12.18     0.58    16.44     3.53    2.22    2.12    4.55   0.27  42.77
sdr               0.00     0.00 1505.15   67.91    12.05     0.58    16.44     3.89    2.47    2.33    5.52   0.27  43.04
sdq               0.00     0.00 1501.94   67.82    12.00     0.57    16.40     4.04    2.57    2.43    5.79   0.27  42.99
sdu               0.00     0.00   15.06   15.77     0.14     0.33    30.97     0.07    2.23    0.27    4.10   1.38   4.25
sdv               0.00     0.00   14.63   15.54     0.13     0.32    31.03     0.07    2.22    0.27    4.07   1.37   4.15
sdw               0.00     0.00   26.56    0.45     0.11     0.04    11.65     0.01    0.29    0.22    4.34   0.27   0.72
sdy               0.00     0.00   14.13    0.05     0.06     0.02    10.54     0.03    2.28    2.23   17.09   2.24   3.17
sdx               0.00     0.00   28.40   14.62     0.20     0.33    24.89     0.07    1.51    0.21    4.05   0.95   4.08
sdab              0.00     0.00   14.22    0.06     0.06     0.03    11.71     0.03    2.23    2.22    5.69   2.18   3.12
sdaa              0.00     0.00   17.32    0.43     0.08     0.03    12.06     0.04    2.31    2.28    3.54   2.26   4.02
sdz               0.00     0.00   14.14    0.08     0.06     0.02    11.33     0.03    2.30    2.28    5.27   2.25   3.19
sda               0.00     0.07    5.71    5.60     0.09     0.05    25.56     0.57   49.95    0.12  100.78   2.22   2.51
dm-0              0.00     0.00    2.78   20.13     0.14     0.28    38.04     0.27   11.64    0.28   13.21   1.33   3.04
sdac              0.00     0.00    0.25    0.00     0.00     0.00     8.00     0.00    1.62    1.62    0.00   1.56   0.04
dm-1              0.00     0.00    0.10    0.00     0.00     0.00     8.00     0.00    2.10    2.10    0.00   2.10   0.02
sdad              0.00     0.00    0.25   48.71     0.00     0.41    17.20     2.16   44.21    5.87   44.40   2.06  10.10
dm-2              0.00     0.00    0.10   48.71     0.00     0.41    17.22     4.19   85.74    7.13   85.90   2.13  10.39
sdae              0.00     0.00    0.75    0.00     0.00     0.00     8.00     0.00    2.37    2.37    0.00   2.35   0.18
dm-3              0.00     0.00    0.61    0.00     0.00     0.00     8.00     0.00    2.55    2.55    0.00   2.54   0.15
sdaf              0.00     0.00    0.25   48.37     0.00     0.40    17.06     2.35   48.35    9.84   48.55   2.30  11.19
dm-4              0.00     0.00    0.10   48.37     0.00     0.40    17.08     4.56   93.99    7.32   94.17   2.36  11.46
sdag              0.00     0.00    2.47    0.97     0.00     0.00     2.55     0.01    2.35    1.35    4.91   2.26   0.78
dm-5              0.00     0.00    2.33    0.97     0.00     0.00     2.31     0.01    2.51    1.46    5.03   2.41   0.79
sdah              0.00     0.00    2.48    0.97     0.01     0.00     3.38     0.01    3.28    2.04    6.45   2.96   1.02
dm-6              0.00     0.00    2.33    0.97     0.00     0.00     3.18     0.01    3.37    2.05    6.56   3.04   1.00
sdai              0.00     0.00    0.25    0.00     0.00     0.00     8.00     0.00    1.63    1.63    0.00   1.58   0.04
dm-7              0.00     0.00    0.10    0.00     0.00     0.00     8.00     0.00    2.16    2.16    0.00   2.15   0.02
sdaj              0.00     0.00    0.25   47.10     0.00     0.39    16.86     2.04   43.07    6.78   43.26   2.11   9.99
dm-8              0.00     0.00    0.10   47.10     0.00     0.39    16.89     3.84   81.39    7.97   81.55   2.15  10.16
sdak              0.00     0.00    0.25   48.47     0.00     0.40    16.92     2.15   44.22    7.05   44.41   2.09  10.18
dm-9              0.00     0.00    0.10   48.47     0.00     0.40    16.95     4.22   86.76    7.97   86.93   2.13  10.37
sdal              0.00     0.00    0.25   48.89     0.00     0.41    17.07     2.21   45.01    7.32   45.20   2.07  10.17
dm-10             0.00     0.00    0.10   48.89     0.00     0.41    17.10     4.47   91.16    8.72   91.33   2.15  10.52
sdam              0.00     0.00    0.25   47.72     0.00     0.40    17.22     2.08   43.32    6.23   43.51   2.11  10.12
dm-11             0.00     0.00    0.10   47.72     0.00     0.40    17.24     3.98   83.22    6.96   83.39   2.15  10.28
sdan              0.00     0.00    0.25   47.67     0.00     0.40    17.03     2.17   45.38    8.20   45.57   2.11  10.12
dm-12             0.00     0.00    0.10   47.67     0.00     0.40    17.05     4.28   89.59   10.18   89.75   2.18  10.42
sdao              0.00     0.00    0.25   47.57     0.00     0.40    16.99     2.17   45.39    7.06   45.59   2.14  10.25
dm-13             0.00     0.00    0.10   47.57     0.00     0.40    17.01     4.14   86.75    7.04   86.92   2.19  10.43
sdap              0.00     0.00    0.25   47.78     0.00     0.40    16.91     2.07   43.09    7.14   43.27   2.04   9.81
dm-14             0.00     0.00    0.10   47.78     0.00     0.40    16.94     4.01   83.77    8.78   83.93   2.12  10.16
sdaq              0.00     0.00    0.25   48.31     0.00     0.40    16.97     2.22   45.65   10.09   45.83   2.07  10.07
dm-15             0.00     0.00    0.10   48.31     0.00     0.40    17.00     4.39   90.50   10.83   90.67   2.14  10.37
sdar              0.00     0.00    0.25   47.52     0.00     0.39    16.85     2.01   42.10   10.13   42.26   2.05   9.81
dm-16             0.00     0.00    0.10   47.52     0.00     0.39    16.88     3.78   79.35   12.75   79.50   2.09   9.95
sdas              0.00     0.00    0.25   47.25     0.00     0.39    17.05     2.11   44.47    9.40   44.65   2.14  10.16
dm-17             0.00     0.00    0.10   47.25     0.00     0.39    17.07     4.11   86.69   10.51   86.85   2.18  10.30
