Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/20/2020 	_x86_64_	(128 CPU)

02:26:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:26:58 PM  all    1.49    0.00    1.18    0.01    0.00    0.04    0.00    0.00    0.00   97.27
02:26:58 PM    0    0.00    0.00    0.68    0.00    0.00    0.34    0.00    0.00    0.00   98.97
02:26:58 PM    1    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
02:26:58 PM    2    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
02:26:58 PM    3    2.34    0.00    5.02    0.00    0.00    0.00    0.00    0.00    0.00   92.64
02:26:58 PM    4    0.67    0.00    1.01    0.00    0.00    0.34    0.00    0.00    0.00   97.99
02:26:58 PM    5    2.68    0.00    4.70    0.00    0.00    0.00    0.00    0.00    0.00   92.62
02:26:58 PM    6    1.01    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   98.65
02:26:58 PM    7    1.68    0.00    3.70    0.00    0.00    0.00    0.00    0.00    0.00   94.61
02:26:58 PM    8    1.68    0.00    0.67    0.00    0.00    0.34    0.00    0.00    0.00   97.31
02:26:58 PM    9    1.01    0.00    2.69    0.00    0.00    0.00    0.00    0.00    0.00   96.30
02:26:58 PM   10    0.67    0.00    0.67    0.00    0.00    0.34    0.00    0.00    0.00   98.32
02:26:58 PM   11    0.33    0.00    0.67    0.00    0.00    0.33    0.00    0.00    0.00   98.66
02:26:58 PM   12    1.68    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   97.98
02:26:58 PM   13    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.34
02:26:58 PM   14    1.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.33
02:26:58 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:26:58 PM   16    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.66
02:26:58 PM   17    1.68    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.64
02:26:58 PM   18   13.38    0.00    0.67    0.00    0.00    0.33    0.00    0.00    0.00   85.62
02:26:58 PM   19    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.66
02:26:58 PM   20    1.34    0.00    0.67    0.00    0.00    0.34    0.00    0.00    0.00   97.65
02:26:58 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:26:58 PM   22    0.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.66
02:26:58 PM   23    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
