procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 8  0      0 1073366592  58464 4526524    0    0  1595   146    5   24  2  3 89  7  0 2020-02-20 14:26:55
 6  0      0 1072492416  58464 4526612    0    0    63   296 6975 33463  1  1 97  0  0 2020-02-20 14:26:58
 7  0      0 1071735936  58464 4527148    0    0   484   264 14711 48525  2  2 96  0  0 2020-02-20 14:27:01
 7  0      0 1070854144  58464 4529048    0    0   195   209 12942 45466  2  2 96  0  0 2020-02-20 14:27:04
 3  0      0 1070192640  58464 4532488    0    0   107   541 9298 38063  1  1 97  0  0 2020-02-20 14:27:07
 1  1      0 1069385664  58492 4537952    0    0   699   755 9120 38475  2  2 96  0  0 2020-02-20 14:27:10
 2  0      0 1069418880  58464 4538520    0    0 10296   239 4475 30215  0  0 99  1  0 2020-02-20 14:27:13
20 19      0 1069015104  58464 4545488    0    0 71543  2111 20919 69801  3  3 92  2  0 2020-02-20 14:27:16
12 22      0 1068943232  58464 4548592    0    0 668114  6311 99856 213291  4  8 73 15  0 2020-02-20 14:27:19
15 105      0 1068929920  58464 4551156    0    0 670464  5764 92291 184470  4  6 76 14  0 2020-02-20 14:27:22
 8 14      0 1068919872  58464 4551884    0    0 672184  7839 97366 179027  3  6 77 14  0 2020-02-20 14:27:25
15 13      0 1068918528  58464 4552112    0    0 672559 17390 102328 185083  3  6 77 14  0 2020-02-20 14:27:28
11 18      0 1068892352  57992 4551320    0    0 640551 57677 100718 183880  4  7 77 13  0 2020-02-20 14:27:31
18 17      0 1068876864  58464 4553892    0    0 641804 48588 110491 185401  3  7 79 11  0 2020-02-20 14:27:34
24 36      0 1068887680  58464 4553400    0    0 623108 46319 109706 183489  3  6 80 11  0 2020-02-20 14:27:37
17 13      0 1068813504  58464 4553176    0    0 638375 51405 111169 188056  4  7 78 12  0 2020-02-20 14:27:40
20 32      0 1068886656  58464 4553168    0    0 637719 49680 116684 190257  4  7 78 12  0 2020-02-20 14:27:43
 9 24      0 1068882560  58464 4553744    0    0 641195 51620 116040 193439  4  7 77 12  0 2020-02-20 14:27:46
17 17      0 1068881856  58464 4553652    0    0 648324 38461 112556 188486  4  6 78 12  0 2020-02-20 14:27:49
 7 19      0 1068876992  58464 4553468    0    0 630957 60735 114532 191266  4  7 78 11  0 2020-02-20 14:27:52
14 13      0 1068883776  58464 4553776    0    0 662142 40479 106119 185481  4  6 79 11  0 2020-02-20 14:27:55
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
18 13      0 1068887552  58464 4553528    0    0 644193 58001 113092 191990  4  7 75 15  0 2020-02-20 14:27:58
18 15      0 1068886528  58464 4553908    0    0 655271 50130 114735 189572  4  7 78 11  0 2020-02-20 14:28:01
28 18      0 1068873472  58464 4554452    0    0 658595 54205 113924 191586  4  7 77 12  0 2020-02-20 14:28:04
13  9      0 1068890368  58464 4554280    0    0 643888 54208 107142 179710  3  6 81 10  0 2020-02-20 14:28:07
10 13      0 1068810560  58492 4554252    0    0 664980 56075 105420 180771  4  6 81 10  0 2020-02-20 14:28:10
 8 23      0 1068883072  58464 4554256    0    0 672704 56350 113894 193050  4  7 78 11  0 2020-02-20 14:28:13
 9 12      0 1068885120  58464 4553744    0    0 654016 57300 119089 194364  4  7 77 12  0 2020-02-20 14:28:16
10 19      0 1068887936  58464 4553544    0    0 655617 46933 113912 192067  3  7 79 11  0 2020-02-20 14:28:19
 9 16      0 1068890624  58464 4553360    0    0 658231 50575 101757 180004  3  6 81 10  0 2020-02-20 14:28:22
 9 11      0 1068891136  58464 4553468    0    0 656165 56478 113192 192410  3  7 79 10  0 2020-02-20 14:28:25
13 18      0 1068893312  58464 4553492    0    0 665132 47736 112697 193797  4  6 79 11  0 2020-02-20 14:28:28
13 36      0 1068889472  57692 4552524    0    0 656877 51169 117407 194703  4  7 78 11  0 2020-02-20 14:28:31
12 17      0 1068880320  58464 4553628    0    0 655952 49682 115828 190297  3  7 79 11  0 2020-02-20 14:28:34
14 20      0 1068890944  58464 4553964    0    0 673521 52989 110763 187856  4  6 79 11  0 2020-02-20 14:28:37
15 32      0 1068850816  58464 4553968    0    0 663907 50567 110438 187610  4  7 78 12  0 2020-02-20 14:28:40
16 21      0 1068891968  58464 4553992    0    0 666812 51907 114656 191888  4  7 78 12  0 2020-02-20 14:28:43
10 14      0 1068892032  58464 4553824    0    0 643452 46744 111291 183799  3  6 79 11  0 2020-02-20 14:28:46
15 12      0 1068893120  58464 4553844    0    0 645695 56765 116344 188587  3  7 77 13  0 2020-02-20 14:28:49
11 15      0 1068889408  58464 4554008    0    0 661675 53007 117203 198488  4  7 76 13  0 2020-02-20 14:28:52
 5 16      0 1068896000  58076 4553588    0    0 606983 54662 112180 178372  3  6 81 10  0 2020-02-20 14:28:55
12 15      0 1068899520  58464 4553848    0    0 667716 53629 115603 195805  4  7 76 13  0 2020-02-20 14:28:58
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
44 49      0 1068900800  58464 4553880    0    0 669196 48485 121971 199109  4  8 77 12  0 2020-02-20 14:29:01
15 13      0 1068894720  58464 4554084    0    0 661155 59278 113589 192319  4  7 79 11  0 2020-02-20 14:29:04
16 20      0 1068903552  58464 4554564    0    0 654614 51282 113774 189273  3  6 79 11  0 2020-02-20 14:29:07
 9 28      0 1068825088  58464 4554596    0    0 678785 43481 107688 183209  4  6 79 11  0 2020-02-20 14:29:10
12 17      0 1068889536  58464 4554660    0    0 680580 53239 118833 198962  4  7 76 13  0 2020-02-20 14:29:13
