Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/20/2020 	_x86_64_	(64 CPU)

02/20/2020 10:36:38 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           4.75    0.00    6.73   15.78    0.00   72.73

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.04    0.00     0.00     0.00    56.00     0.00    0.20    0.20    0.00   0.16   0.00
sdf               0.00     0.00  958.60   49.24     7.80     0.40    16.67    18.41   18.26   18.83    7.10   0.51  51.86
sdd               0.00     0.00   27.05    2.38     0.11     0.00     7.86     0.04    1.41    0.78    8.57   0.98   2.90
sdc               0.03     0.11    4.50   21.60     0.20     0.32    41.26     0.76   29.14    3.52   34.48   2.30   5.99
sdk               0.00     0.00  964.66   49.24     7.84     0.40    16.64    16.95   16.71   17.24    6.20   0.51  51.79
sdi               0.00     0.00 1017.35   49.87     8.26     0.41    16.64    16.72   15.66   16.13    6.16   0.49  52.03
sdl               0.00     0.00  985.85   49.91     8.01     0.41    16.63    16.85   16.25   16.76    6.36   0.50  51.97
sdm               0.00     0.00  987.88   48.83     8.04     0.40    16.67    18.17   17.51   18.02    7.22   0.50  52.01
sdg               0.00     0.00  986.40   49.55     8.01     0.40    16.63    17.17   16.56   17.05    6.74   0.50  52.03
sdh               0.00     0.00  966.79   49.70     7.87     0.41    16.68    17.61   17.31   17.84    7.01   0.51  51.85
sdr               0.00     0.00  983.54   49.06     7.99     0.40    16.64    17.42   16.86   17.36    6.79   0.50  51.89
sdq               0.00     0.00 1025.82   49.98     8.32     0.41    16.62    17.50   16.26   16.71    6.91   0.48  52.07
sdj               0.00     0.00  992.90   49.38     8.06     0.40    16.63    17.47   16.75   17.24    6.92   0.50  51.93
sds               0.00     0.00  968.35   49.15     7.90     0.40    16.70    17.34   17.03   17.55    6.94   0.51  51.68
sdu               0.00     0.00   14.37   27.48     0.20     0.21    19.98     0.13    3.01    0.49    4.32   1.91   8.00
sdt               0.00     0.00  939.93   49.76     7.64     0.40    16.65    17.14   17.31   17.86    6.95   0.52  51.71
sdv               0.00     0.00   14.40   27.23     0.20     0.23    21.09     0.13    3.11    0.51    4.48   1.97   8.19
sdw               0.00     0.00   23.14   26.11     0.24     0.22    19.22     0.12    2.49    0.42    4.33   1.58   7.77
sdp               0.00     0.00  955.46   50.07     7.78     0.42    16.68    17.88   17.77   18.33    7.13   0.52  51.94
sdn               0.00     0.00 1022.11   49.22     8.27     0.40    16.57    17.15   16.00   16.45    6.58   0.49  52.05
