Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/20/2020 	_x86_64_	(64 CPU)

10:36:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:36:41 AM  all    1.58    0.00    1.90    0.03    0.00    0.09    0.00    0.00    0.00   96.40
10:36:41 AM    0    1.01    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   98.65
10:36:41 AM    1    1.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.33
10:36:41 AM    2    1.01    0.00    1.34    0.00    0.00    0.34    0.00    0.00    0.00   97.32
10:36:41 AM    3    4.04    0.00    6.40    0.00    0.00    0.00    0.00    0.00    0.00   89.56
10:36:41 AM    4    1.01    0.00    1.35    0.00    0.00    0.00    0.00    0.00    0.00   97.64
10:36:41 AM    5    3.36    0.00    6.71    0.00    0.00    0.34    0.00    0.00    0.00   89.60
10:36:41 AM    6    3.03    0.00    1.68    0.00    0.00    0.34    0.00    0.00    0.00   94.95
10:36:41 AM    7    3.03    0.00    5.05    0.00    0.00    0.34    0.00    0.00    0.00   91.58
10:36:41 AM    8    2.02    0.00    1.35    0.00    0.00    0.34    0.00    0.00    0.00   96.30
10:36:41 AM    9    1.68    0.00    3.69    0.00    0.00    0.00    0.00    0.00    0.00   94.63
10:36:41 AM   10    2.34    0.00    1.34    0.00    0.00    0.33    0.00    0.00    0.00   95.99
10:36:41 AM   11    2.35    0.00    3.36    0.00    0.00    0.00    0.00    0.00    0.00   94.30
10:36:41 AM   12    1.34    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.65
10:36:41 AM   13    2.01    0.00    3.01    0.00    0.00    0.00    0.00    0.00    0.00   94.98
10:36:41 AM   14    1.01    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.32
10:36:41 AM   15    1.34    0.00    2.34    0.00    0.00    0.00    0.00    0.00    0.00   96.32
10:36:41 AM   16    1.01    0.00    1.01    0.34    0.00    0.00    0.00    0.00    0.00   97.65
10:36:41 AM   17    1.01    0.00    1.68    0.00    0.00    0.00    0.00    0.00    0.00   97.32
10:36:41 AM   18    1.34    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.99
10:36:41 AM   19    1.01    0.00    1.68    0.00    0.00    0.00    0.00    0.00    0.00   97.32
