procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 3  0      0 529484480  58464 3608268    0    0  2118   170  135    3  5  7 73 16  0 2020-02-20 10:36:38
 1  0      0 528632480  58464 3608464    0    0   219   379 4721 23801  2  2 96  0  0 2020-02-20 10:36:41
 2  4      0 528002912  56684 3608400    0    0  8900   223 7058 27669  2  2 96  1  0 2020-02-20 10:36:44
 2  0      0 527604288  58464 3611164    0    0   756   433 3434 20578  1  1 97  0  0 2020-02-20 10:36:47
 2  0      0 527603648  58464 3611832    0    0   131    86 1200 14877  0  0 99  0  0 2020-02-20 10:36:50
15 27      0 527238144  58464 3612412    0    0 70742 34974 48302 117103  5  7 72 16  0 2020-02-20 10:36:53
 9 39      0 527232320  58464 3613808    0    0 77030 122914 71385 161804  4  7 67 22  0 2020-02-20 10:36:56
 7 41      0 527210368  58464 3613620    0    0 175825 124786 81553 111370  2  6 56 36  0 2020-02-20 10:36:59
 0 28      0 527189056  58464 3613648    0    0 182948 120360 77507 110958  3  6 53 38  0 2020-02-20 10:37:03
 4 89      0 527171584  56920 3613076    0    0 256515 44011 65104 109632  3  7 51 38  0 2020-02-20 10:37:06
 0 59      0 527171648  58464 3613704    0    0 298333 11129 65753 110299  3  5 47 46  0 2020-02-20 10:37:09
 8 85      0 527175488  58464 3614000    0    0 280072  7558 57582 101041  3  4 50 43  0 2020-02-20 10:37:12
12 94      0 527178336  58464 3613928    0    0 342184  8608 70920 118361  3  6 43 47  0 2020-02-20 10:37:15
 4 98      0 527178336  58464 3614292    0    0 321284 10775 67614 113171  3  6 46 45  0 2020-02-20 10:37:18
 4 90      0 527177664  58464 3614252    0    0 320172  9025 69571 113221  3  6 44 48  0 2020-02-20 10:37:21
 5 83      0 527137440  58464 3614236    0    0 283769 16520 65657 107281  3  5 45 47  0 2020-02-20 10:37:24
 5 77      0 527140064  58464 3615608    0    0 272205 24666 69271 113709  4  7 43 46  0 2020-02-20 10:37:27
 4 69      0 527153568  58464 3615552    0    0 275492 25394 66395 106819  2  5 45 47  0 2020-02-20 10:37:30
 2 62      0 527161216  58464 3615836    0    0 267662 26637 67569 108481  3  5 48 44  0 2020-02-20 10:37:33
11 82      0 527156896  58464 3616028    0    0 264080 29099 65877 106327  3  6 47 44  0 2020-02-20 10:37:36
 2 79      0 527158656  58464 3615868    0    0 266672 27029 65513 106681  2  5 50 43  0 2020-02-20 10:37:39
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 4 83      0 527160928  58464 3615984    0    0 287384 29209 70434 113877  3  5 48 44  0 2020-02-20 10:37:42
23 98      0 527083552  42304 3608928    0    0 280111 33888 71433 115119  3  6 46 45  0 2020-02-20 10:37:45
 6 75      0 527144576  58464 3615612    0    0 274624 34400 70462 112738  3  6 49 43  0 2020-02-20 10:37:48
 4 76      0 527148384  58464 3615556    0    0 292391 49221 74079 114760  3  6 46 45  0 2020-02-20 10:37:51
 5 55      0 527133792  58464 3615568    0    0 231973 54881 71694 108501  3  5 52 41  0 2020-02-20 10:37:54
15 64      0 527147904  58464 3615836    0    0 234980 68756 68047 105084  3  6 54 37  0 2020-02-20 10:37:57
16 77      0 527148992  58464 3615540    0    0 258274 55531 70404 109234  3  5 51 42  0 2020-02-20 10:38:00
 8 80      0 527148128  58464 3615712    0    0 264480 66501 72177 113236  3  5 48 44  0 2020-02-20 10:38:03
 6 61      0 527162784  58464 3615388    0    0 283651 46444 73286 120059  4  8 44 44  0 2020-02-20 10:38:06
 6 84      0 527171872  58464 3615428    0    0 294050 30352 71268 113654  3  6 44 48  0 2020-02-20 10:38:09
 4 89      0 527177472  58464 3615444    0    0 290724 19216 65929 107831  3  5 45 47  0 2020-02-20 10:38:12
 2 88      0 527182336  58464 3615468    0    0 313104 16014 67964 112121  3  6 44 47  0 2020-02-20 10:38:15
 5 77      0 527180384  58464 3615596    0    0 296660 24504 67708 111876  3  6 45 47  0 2020-02-20 10:38:18
 4 62      0 527180928  58464 3615612    0    0 277055 22594 63078 104058  2  5 49 44  0 2020-02-20 10:38:21
 6 86      0 527149824  58464 3615632    0    0 263732 21805 61438 102070  2  4 50 43  0 2020-02-20 10:38:24
 1 75      0 527164896  58464 3616128    0    0 281486 33432 68333 115662  3  7 46 44  0 2020-02-20 10:38:27
 6 75      0 527175968  58464 3615924    0    0 277436 31205 65650 109042  2  5 50 43  0 2020-02-20 10:38:30
 3 80      0 527174528  58464 3616168    0    0 282748 23355 67982 109740  3  5 48 43  0 2020-02-20 10:38:33
10 96      0 527171136  58464 3616148    0    0 290971 23627 67301 108478  4  6 48 42  0 2020-02-20 10:38:36
 4 88      0 527174912  58464 3616112    0    0 277528 27305 68940 110363  3  5 47 45  0 2020-02-20 10:38:39
11 87      0 527177216  58464 3616132    0    0 326604 31365 75463 120135  3  6 45 46  0 2020-02-20 10:38:42
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
