Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/17/2020 	_x86_64_	(64 CPU)

02/17/2020 10:51:49 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.11    0.00    5.07    6.82    0.00   85.00

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.08    0.00     0.00     0.00    53.27     0.00    0.17    0.17    0.00   0.13   0.00
sdd               0.00     0.00   26.36    2.43     0.11     0.00     8.40     0.01    0.43    0.17    3.19   0.41   1.17
sdf               0.00     0.00  913.07   45.76     7.12     0.38    16.01     1.01    1.05    0.81    5.87   0.24  23.27
sdg               0.00     0.00  927.62   44.24     7.22     0.36    15.98     0.97    1.00    0.76    6.11   0.24  23.38
sdc               0.01     0.12    8.05   20.56     0.40     0.45    60.67     0.33   11.37    3.31   14.53   1.75   5.01
sdi               0.00     0.00  918.73   43.21     7.15     0.35    15.99     0.93    0.97    0.76    5.45   0.24  23.20
sdj               0.00     0.00  983.44   48.40     7.68     0.40    16.04     1.03    1.00    0.78    5.37   0.23  23.70
sdl               0.00     0.00  965.24   46.44     7.53     0.38    16.01     1.02    1.01    0.79    5.58   0.23  23.54
sdh               0.00     0.00  969.31   46.32     7.55     0.38    15.99     0.98    0.96    0.77    5.07   0.23  23.56
sdk               0.00     0.00  974.64   47.81     7.60     0.39    16.01     1.01    0.99    0.78    5.28   0.23  23.67
sdm               0.00     0.00  949.38   46.36     7.40     0.38    16.00     1.00    1.00    0.77    5.78   0.24  23.52
sdn               0.00     0.00  943.39   46.98     7.35     0.39    15.99     1.04    1.05    0.79    6.13   0.24  23.59
sde               0.00     0.00  967.14   46.88     7.54     0.38    16.00     1.04    1.02    0.79    5.91   0.23  23.66
sdo               0.00     0.00  910.17   43.04     7.11     0.36    16.04     0.89    0.93    0.76    4.69   0.24  23.02
sdp               0.00     0.00 1004.18   48.86     7.83     0.40    16.01     1.08    1.03    0.77    6.32   0.23  23.79
sdq               0.00     0.00  868.42   43.42     6.76     0.36    16.00     0.95    1.05    0.78    6.36   0.25  23.11
sdr               0.00     0.00  864.87   43.45     6.74     0.36    16.01     0.94    1.04    0.77    6.43   0.25  22.90
sdt               0.00     0.00  893.63   43.70     6.98     0.36    16.04     0.97    1.03    0.79    6.06   0.25  23.27
sds               0.00     0.00  832.41   42.25     6.48     0.35    15.99     0.90    1.03    0.80    5.64   0.26  22.77
sdu               0.00     0.00   15.15   32.03     0.17     0.23    17.12     0.18    3.73    0.25    5.38   2.07   9.79
sdw               0.00     0.00   20.65   32.07     0.21     0.23    17.26     0.18    3.40    0.21    5.46   1.89   9.96
sdv               0.00     0.00   15.28   33.61     0.19     0.23    17.78     0.18    3.72    0.24    5.31   2.06  10.06
sda               0.01     0.38   13.42    5.55     0.22     0.06    30.03     0.22   11.49    3.36   31.15   2.20   4.17
dm-0              0.00     0.00    8.08   20.67     0.40     0.45    60.35     0.33   11.47    3.33   14.65   1.74   5.00
sdx               0.00     0.00    0.41    0.00     0.00     0.00     8.00     0.00    0.48    0.48    0.00   0.44   0.02
dm-1              0.00     0.00    0.19    0.00     0.00     0.00     8.00     0.00    0.51    0.51    0.00   0.51   0.01
sdy               0.00     0.00    0.41   29.71     0.00     0.25    16.88     0.56   18.67    1.32   18.91   1.33   4.00
dm-2              0.00     0.00    0.18   29.71     0.00     0.25    16.95     0.76   25.51    0.72   25.66   1.59   4.76
sdz               0.00     0.00    0.89    0.00     0.00     0.00     8.00     0.00    0.77    0.77    0.00   0.73   0.07
dm-3              0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.78    0.78    0.00   0.77   0.05
sdaa              0.00     0.00    0.41   32.42     0.00     0.27    16.79     0.66   20.04    1.48   20.27   1.36   4.47
dm-4              0.00     0.00    0.19   32.42     0.00     0.27    16.84     0.83   25.53    0.93   25.67   1.51   4.92
sdab              0.00     0.00    2.77    0.95     0.01     0.00     3.51     0.01    1.53    0.64    4.14   1.51   0.56
dm-5              0.00     0.00    2.55    0.95     0.01     0.00     3.23     0.01    1.66    0.71    4.21   1.64   0.57
sdac              0.00     0.00    2.78    0.95     0.01     0.00     5.58     0.01    1.62    0.78    4.08   1.59   0.59
dm-6              0.00     0.00    2.56    0.95     0.01     0.00     5.43     0.01    1.75    0.87    4.15   1.73   0.61
sdad              0.00     0.00    0.41    0.00     0.00     0.00     8.00     0.00    0.83    0.83    0.00   0.72   0.03
dm-7              0.00     0.00    0.19    0.00     0.00     0.00     8.00     0.00    0.58    0.58    0.00   0.58   0.01
sdae              0.00     0.00    0.41   28.11     0.00     0.23    16.66     0.47   16.52    1.23   16.74   1.39   3.95
dm-8              0.00     0.00    0.19   28.11     0.00     0.23    16.73     0.57   20.13    0.64   20.26   1.52   4.29
sdaf              0.00     0.00    0.41   33.58     0.00     0.27    16.57     0.69   20.40    0.70   20.64   1.28   4.34
dm-9              0.00     0.00    0.18   33.58     0.00     0.27    16.63     0.91   26.87    0.69   27.02   1.42   4.81
sdag              0.00     0.00    0.41   33.49     0.00     0.27    16.71     0.60   17.67    1.22   17.87   1.14   3.86
dm-10             0.00     0.00    0.18   33.49     0.00     0.27    16.77     0.82   24.48    1.18   24.61   1.37   4.63
sdah              0.00     0.00    0.41   29.82     0.00     0.25    16.86     0.57   18.75    1.54   18.98   1.40   4.24
dm-11             0.00     0.00    0.19   29.82     0.00     0.25    16.92     0.74   24.74    1.30   24.89   1.58   4.73
sdai              0.00     0.00    0.41   27.73     0.00     0.23    16.64     0.53   18.79    1.43   19.04   1.47   4.14
dm-12             0.00     0.00    0.18   27.73     0.00     0.23    16.70     0.64   23.04    1.41   23.18   1.64   4.58
sdaj              0.00     0.00    0.41   32.02     0.00     0.26    16.62     0.59   18.34    1.20   18.55   1.46   4.73
dm-13             0.00     0.00    0.18   32.02     0.00     0.26    16.68     0.74   23.08    1.39   23.20   1.57   5.07
sdak              0.00     0.00    0.41   36.61     0.00     0.30    16.64     0.62   16.84    1.57   17.00   1.10   4.06
dm-14             0.00     0.00    0.18   36.61     0.00     0.30    16.70     0.85   23.16    1.80   23.27   1.29   4.74
sdal              0.00     0.00    0.41   32.47     0.00     0.27    16.64     0.60   18.28    1.15   18.50   1.34   4.39
dm-15             0.00     0.00    0.18   32.47     0.00     0.27    16.70     0.74   22.68    1.19   22.81   1.45   4.75
sdam              0.00     0.00    0.41   32.43     0.00     0.26    16.60     0.57   17.37    1.20   17.57   1.15   3.77
dm-16             0.00     0.00    0.18   32.43     0.00     0.26    16.66     0.75   23.09    0.62   23.22   1.39   4.54
sdan              0.00     0.00    0.41   34.66     0.00     0.28    16.57     0.61   17.48    1.69   17.67   1.20   4.21
dm-17             0.00     0.00    0.19   34.66     0.00     0.28    16.62     0.79   22.64    1.12   22.76   1.32   4.59
sdao              0.00     0.00    0.41   33.20     0.00     0.27    16.69     0.61   18.02    1.10   18.23   1.13   3.78
dm-18             0.00     0.00    0.18   33.20     0.00     0.27    16.75     0.84   25.18    1.03   25.31   1.37   4.57
sdap              0.00     0.00    0.41   31.21     0.00     0.26    16.75     0.57   18.05    1.37   18.27   1.21   3.81
dm-19             0.00     0.00    0.18   31.21     0.00     0.26    16.81     0.78   24.85    1.14   24.99   1.43   4.50
sdaq              0.00     0.00    0.41   32.49     0.00     0.27    16.68     0.58   17.53    1.85   17.73   1.26   4.13
dm-20             0.00     0.00    0.19   32.49     0.00     0.27    16.74     0.73   22.48    1.99   22.60   1.39   4.53
sdar              0.00     0.00    0.41   34.52     0.00     0.28    16.61     0.76   21.71    1.39   21.95   1.46   5.09
dm-21             0.00     0.00    0.18   34.52     0.00     0.28    16.66     0.99   28.46    1.63   28.61   1.58   5.49
sdas              0.00     0.00    0.41   18.17     0.00     0.16    17.65     0.13    7.04    1.00    7.17   3.98   7.40
dm-22             0.00     0.00    0.19   18.17     0.00     0.16    17.76     0.13    7.28    0.77    7.35   4.08   7.49
sdat              0.00     0.00    0.41   18.47     0.00     0.16    17.44     0.13    6.93    1.33    7.06   3.93   7.41
dm-23             0.00     0.00    0.19   18.47     0.00     0.16    17.55     0.13    7.18    1.68    7.23   4.02   7.49
sdau              0.00     0.00    0.41   18.85     0.00     0.16    16.86     0.13    6.83    0.62    6.96   3.90   7.51
dm-24             0.00     0.00    0.19   18.85     0.00     0.16    16.96     0.13    7.06    0.65    7.12   3.99   7.60

02/17/2020 10:51:52 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.54    0.00    2.04    0.03    0.00   96.39

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdd               0.00     0.00    5.00    2.33     0.00     0.00     1.64     0.01    0.86    0.00    2.71   0.86   0.63
sdf               0.00     0.00    0.33    1.00     0.00     0.01    14.00     0.00    2.50    0.00    3.33   2.50   0.33
sdg               0.00     0.00    1.00    0.33     0.00     0.00    10.25     0.00    1.50    0.67    4.00   1.50   0.20
sdc               0.00     0.00    0.00    9.33     0.00     0.06    13.14     0.03    3.18    0.00    3.18   1.68   1.57
sdi               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdj               0.00     0.00    2.33    1.00     0.03     0.01    28.00     0.00    1.00    0.00    3.33   1.00   0.33
sdl               0.00     0.00    0.33    0.33     0.00     0.00    12.00     0.00    2.00    1.00    3.00   2.00   0.13
sdh               0.00     0.00    0.33    0.33     0.00     0.00    12.00     0.00    2.00    0.00    4.00   2.00   0.13
