Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/17/2020 	_x86_64_	(64 CPU)

10:51:49 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:51:52 AM  all    1.54    0.00    1.95    0.03    0.00    0.09    0.00    0.00    0.00   96.39
10:51:52 AM    0    0.68    0.00    1.02    0.34    0.00    0.00    0.00    0.00    0.00   97.97
10:51:52 AM    1    1.01    0.00    0.67    0.34    0.00    0.00    0.00    0.00    0.00   97.99
10:51:52 AM    2    1.34    0.00    1.01    0.00    0.00    0.67    0.00    0.00    0.00   96.98
10:51:52 AM    3    2.36    0.00    4.38    0.00    0.00    0.00    0.00    0.00    0.00   93.27
10:51:52 AM    4    2.36    0.00    1.35    0.34    0.00    0.34    0.00    0.00    0.00   95.62
10:51:52 AM    5    2.70    0.00    3.38    0.00    0.00    0.00    0.00    0.00    0.00   93.92
10:51:52 AM    6    4.73    0.00    1.69    0.00    0.00    0.00    0.00    0.00    0.00   93.58
10:51:52 AM    7    2.67    0.00    3.33    0.33    0.00    0.67    0.00    0.00    0.00   93.00
10:51:52 AM    8    2.34    0.00    2.68    0.00    0.00    0.33    0.00    0.00    0.00   94.65
10:51:52 AM    9    2.01    0.00    3.34    0.33    0.00    0.00    0.00    0.00    0.00   94.31
10:51:52 AM   10    3.02    0.00    1.68    0.00    0.00    0.67    0.00    0.00    0.00   94.63
10:51:52 AM   11    2.01    0.00    3.01    0.00    0.00    0.33    0.00    0.00    0.00   94.65
10:51:52 AM   12    1.67    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   96.32
10:51:52 AM   13    1.34    0.00    2.35    0.00    0.00    0.00    0.00    0.00    0.00   96.31
10:51:52 AM   14    1.68    0.00    1.68    0.00    0.00    0.00    0.00    0.00    0.00   96.64
10:51:52 AM   15    1.01    0.00    2.68    0.00    0.00    0.00    0.00    0.00    0.00   96.31
10:51:52 AM   16    1.33    0.00    2.33    0.00    0.00    0.00    0.00    0.00    0.00   96.33
10:51:52 AM   17    2.33    0.00    3.67    0.00    0.00    0.00    0.00    0.00    0.00   94.00
10:51:52 AM   18    1.01    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   98.66
10:51:52 AM   19    2.01    0.00    3.01    0.00    0.00    0.00    0.00    0.00    0.00   94.98
10:51:52 AM   20    1.34    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.65
