procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 6  1      0 532543104  48044 3142320    0    0  1915   194  301   38  3  5 85  7  0 2020-02-17 10:51:49
 1  0      0 531804960  48044 3142472    0    0   189   250 5195 23146  2  2 96  0  0 2020-02-17 10:51:52
 2  0      0 530935040  48044 3146796    0    0   119   446 4725 22726  2  2 95  0  0 2020-02-17 10:51:55
 1  0      0 530544096  48044 3147808    0    0   127   378 3129 19405  1  1 98  0  0 2020-02-17 10:51:58
 1  0      0 530535680  48044 3149776    0    0   212   852 4946 22588  1  1 99  0  0 2020-02-17 10:52:01
12 40      0 530074112  48044 3153132    0    0 117416 12505 79474 150989 11 14 69  7  0 2020-02-17 10:52:04
30 40      0 530083712  48044 3155100    0    0 526552 51215 139700 215759 12 20 46 22  0 2020-02-17 10:52:07
33 65      0 529990528  48044 3155648    0    0 568208 52399 145444 228525 14 23 40 23  0 2020-02-17 10:52:10
27 20      0 529957632  48044 3155892    0    0 575500 61334 155110 242441 15 24 38 24  0 2020-02-17 10:52:13
25 24      0 529887200  48044 3156220    0    0 569036 53174 148232 232706 15 23 40 22  0 2020-02-17 10:52:16
43 50      0 529983328  48044 3156016    0    0 582766 54207 148300 235820 14 22 40 23  0 2020-02-17 10:52:19
12 15      0 530086400  48044 3155172    0    0 578145 59560 147993 236456 14 24 39 23  0 2020-02-17 10:52:22
32 40      0 530006432  48068 3155544    0    0 568964 60771 140940 225129 12 21 45 22  0 2020-02-17 10:52:25
36 68      0 530074016  48044 3155840    0    0 583739 55667 148405 237238 13 23 39 24  0 2020-02-17 10:52:28
16 10      0 530073568  48044 3155828    0    0 578441 57343 144507 230737 13 22 42 23  0 2020-02-17 10:52:31
36 76      0 530020224  48044 3155828    0    0 568159 63061 137459 222888 12 20 47 21  0 2020-02-17 10:52:34
30 23      0 530068928  48044 3155844    0    0 579183 62646 146006 232803 13 23 40 24  0 2020-02-17 10:52:37
19 20      0 530063264  48044 3156388    0    0 567324 63237 146209 227536 12 21 44 22  0 2020-02-17 10:52:40
42 56      0 530067584  48044 3156596    0    0 576591 61846 146024 234612 13 21 44 22  0 2020-02-17 10:52:43
22 29      0 530058112  48044 3156408    0    0 563939 64782 145877 233357 13 23 41 23  0 2020-02-17 10:52:46
40 46      0 530066048  48044 3156432    0    0 569049 63763 146368 236456 12 22 42 23  0 2020-02-17 10:52:49
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
30 29      0 530063296  48044 3156204    0    0 566458 68233 150551 238914 13 23 41 23  0 2020-02-17 10:52:52
30 25      0 530065792  48044 3156284    0    0 564007 60866 141303 223205 12 20 47 21  0 2020-02-17 10:52:55
22 35      0 530069728  48044 3156304    0    0 581471 69010 147933 232580 12 21 45 22  0 2020-02-17 10:52:58
20 18      0 530074112  48044 3156536    0    0 569585 62758 142189 230511 12 21 45 21  0 2020-02-17 10:53:01
24 22      0 530020704  48044 3156500    0    0 578820 66408 152879 240093 13 23 41 24  0 2020-02-17 10:53:04
20 18      0 530063968  48044 3156528    0    0 559283 65444 141427 231249 12 20 47 21  0 2020-02-17 10:53:07
15 13      0 530070336  48044 3156752    0    0 563471 66179 143019 229114 12 22 45 21  0 2020-02-17 10:53:10
34 39      0 530071904  48044 3156768    0    0 561911 65417 144156 229686 12 20 48 20  0 2020-02-17 10:53:13
