procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 3  0      0 531788896  48044 3558832    0    0  2668   199   72   69  2  5 86  6  0 2020-02-17 09:08:45
 2  0      0 531172864  48044 3558832    0    0   142   505 11069 29323  1  2 97  0  0 2020-02-17 09:08:48
 3  0      0 530260192  48044 3561516    0    0   577   643 5851 24803  2  2 96  0  0 2020-02-17 09:08:51
 1  0      0 529742176  48044 3563256    0    0   200   103 2970 20557  1  1 97  0  0 2020-02-17 09:08:54
 2  0      0 529740768  48044 3564436    0    0    84   339 1142 16206  0  0 99  0  0 2020-02-17 09:08:57
45 44      0 529269440  48044 3569408    0    0 358525  7750 89376 172811 16 20 49 15  0 2020-02-17 09:09:00
45 104      0 529227296  48044 3570760    0    0 629417 26330 137343 238153 16 30 13 41  0 2020-02-17 09:09:03
70 76      0 529228320  48044 3570836    0    0 636140 23239 133889 209925 13 28 12 47  0 2020-02-17 09:09:06
35 105      0 529226240  48044 3570980    0    0 604484 23148 130934 201426 12 24 20 43  0 2020-02-17 09:09:09
26 31      0 529226208  48044 3571028    0    0 633112 28367 131998 211183 13 26 17 44  0 2020-02-17 09:09:12
38 45      0 529213632  48044 3571896    0    0 637861 26032 124126 210612 13 25 20 42  0 2020-02-17 09:09:15
 3 122      0 529217664  48044 3572012    0    0 637736 26028 135362 215397 13 27 15 45  0 2020-02-17 09:09:18
56 105      0 529184896  48044 3572504    0    0 636173 23988 132698 212094 13 27 14 47  0 2020-02-17 09:09:21
 5 110      0 529194784  48044 3572700    0    0 628344 27065 136401 214691 14 28 12 46  0 2020-02-17 09:09:24
 2 147      0 529220800  35192 3574532    0    0 639167 25036 132050 211722 13 26 15 46  0 2020-02-17 09:09:27
 4 131      0 529205376  48044 3572524    0    0 631292 25757 135940 210866 13 28 13 47  0 2020-02-17 09:09:30
 3 135      0 529212096  48044 3572296    0    0 636932 25283 134557 210623 14 27 13 46  0 2020-02-17 09:09:33
 4 115      0 529207712  48044 3572228    0    0 636108 30855 133099 211089 14 27 13 47  0 2020-02-17 09:09:36
 3 116      0 529210016  48044 3572292    0    0 637579 27524 135445 208407 14 26 13 47  0 2020-02-17 09:09:39
 1 100      0 529053888  34676 3574532    0    0 635785 27978 133767 212386 14 27 15 44  0 2020-02-17 09:09:42
 7 117      0 529086336  48044 3572948    0    0 631690 27097 138572 220190 16 29 12 43  0 2020-02-17 09:09:45
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
10 126      0 529067296  48044 3573004    0    0 638383 25601 137416 222484 16 28 12 44  0 2020-02-17 09:09:48
 4 133      0 529047040  48044 3573120    0    0 636793 26198 134664 213518 15 27 13 45  0 2020-02-17 09:09:51
52 77      0 529021824  48044 3573144    0    0 639643 24011 133300 213541 15 27 14 44  0 2020-02-17 09:09:54
61 68      0 529169408  48044 3572860    0    0 636339 26972 137252 216402 15 27 14 44  0 2020-02-17 09:09:57
47 93      0 529170176  48044 3572788    0    0 636644 25745 134866 211029 13 26 13 47  0 2020-02-17 09:10:00
45 68      0 529154560  48044 3573016    0    0 630627 25163 134405 212712 14 28 13 46  0 2020-02-17 09:10:03
38 91      0 529158432  48044 3572836    0    0 637796 25634 134993 211478 13 27 15 45  0 2020-02-17 09:10:06
52 90      0 529160224  48044 3572824    0    0 640193 20450 138045 211539 13 26 13 48  0 2020-02-17 09:10:09
34 90      0 529158336  48044 3572988    0    0 632756 29380 132292 212719 14 26 15 45  0 2020-02-17 09:10:12
22 81      0 529150336  48044 3573704    0    0 630120 23286 133512 212026 13 27 15 45  0 2020-02-17 09:10:15
27 99      0 529159360  48044 3573580    0    0 636334 25574 131897 214312 13 26 16 45  0 2020-02-17 09:10:18
53 92      0 529135008  48044 3573488    0    0 640868 22739 132659 211126 13 26 13 47  0 2020-02-17 09:10:21
