Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/17/2020 	_x86_64_	(64 CPU)

09:25:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:25:25 AM  all    1.57    0.00    1.99    0.03    0.00    0.08    0.00    0.00    0.00   96.32
09:25:25 AM    0    0.68    0.00    0.34    0.34    0.00    0.00    0.00    0.00    0.00   98.65
09:25:25 AM    1    0.68    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   97.96
09:25:25 AM    2    2.36    0.00    1.35    0.00    0.00    0.00    0.00    0.00    0.00   96.28
09:25:25 AM    3    3.39    0.00    5.42    0.00    0.00    0.00    0.00    0.00    0.00   91.19
09:25:25 AM    4    1.69    0.00    1.35    0.34    0.00    0.00    0.00    0.00    0.00   96.62
09:25:25 AM    5    3.69    0.00    4.70    0.00    0.00    0.34    0.00    0.00    0.00   91.28
09:25:25 AM    6    3.72    0.00    3.38    0.34    0.00    0.00    0.00    0.00    0.00   92.57
09:25:25 AM    7    5.37    0.00    9.73    0.00    0.00    0.67    0.00    0.00    0.00   84.23
09:25:25 AM    8    2.69    0.00    1.01    0.34    0.00    0.34    0.00    0.00    0.00   95.62
09:25:25 AM    9    3.00    0.00    5.67    0.00    0.00    0.33    0.00    0.00    0.00   91.00
09:25:25 AM   10    2.35    0.00    2.01    0.00    0.00    0.34    0.00    0.00    0.00   95.30
09:25:25 AM   11    1.35    0.00    3.37    0.00    0.00    0.00    0.00    0.00    0.00   95.29
09:25:25 AM   12    1.69    0.00    1.35    0.00    0.00    0.00    0.00    0.00    0.00   96.96
09:25:25 AM   13    1.68    0.00    3.69    0.00    0.00    0.00    0.00    0.00    0.00   94.63
09:25:25 AM   14    1.35    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:25:25 AM   15    2.01    0.00    3.01    0.00    0.00    0.00    0.00    0.00    0.00   94.98
09:25:25 AM   16    1.68    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.64
09:25:25 AM   17    1.67    0.00    3.68    0.00    0.00    0.00    0.00    0.00    0.00   94.65
09:25:25 AM   18    1.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.66
09:25:25 AM   19    1.33    0.00    2.67    0.00    0.00    0.00    0.00    0.00    0.00   96.00
09:25:25 AM   20    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:25:25 AM   21    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:25:25 AM   22    1.68    0.00    1.35    0.00    0.00    0.00    0.00    0.00    0.00   96.97
