Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/17/2020 	_x86_64_	(64 CPU)

02/17/2020 09:34:15 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.32    0.00    6.66    9.75    0.00   80.27

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.03    0.00     0.00     0.00    53.27     0.00    0.22    0.22    0.00   0.16   0.00
sdd               0.00     0.00   24.18    2.36     0.10     0.00     7.65     0.02    0.81    0.51    3.93   0.79   2.10
sdc               0.01     0.09    2.76   19.59     0.13     0.24    34.11     0.31   13.77    3.37   15.24   1.83   4.10
sde               0.00     0.00 1581.87   86.82    12.31     0.71    15.97     5.73    3.43    3.23    6.98   0.20  33.94
sdg               0.00     0.00 1490.58   83.26    11.59     0.68    15.97     5.52    3.50    3.30    7.18   0.22  33.98
sdf               0.00     0.00 1605.36   91.47    12.49     0.75    15.98     5.65    3.33    3.11    7.11   0.20  34.00
sdi               0.00     0.00 1654.76   92.11    12.89     0.76    16.00     5.46    3.12    2.93    6.56   0.19  33.80
sdh               0.00     0.00 1581.19   88.53    12.30     0.73    15.98     4.74    2.84    2.64    6.43   0.20  32.99
sdj               0.00     0.00 1522.38   82.87    11.84     0.68    15.98     4.39    2.73    2.54    6.32   0.20  32.52
sdk               0.00     0.00 1602.20   88.44    12.47     0.72    15.98     4.98    2.94    2.75    6.44   0.20  33.20
sdl               0.00     0.00 1642.69   92.13    12.78     0.75    15.98     4.87    2.81    2.61    6.35   0.19  32.96
sdn               0.00     0.00 1588.90   91.02    12.35     0.74    15.97     6.02    3.58    3.37    7.19   0.20  34.29
sdp               0.00     0.00 1636.96   93.10    12.73     0.76    15.97     4.58    2.64    2.44    6.20   0.19  32.57
sdo               0.00     0.00 1615.88   80.89    12.59     0.67    16.00     4.27    2.51    2.33    6.15   0.19  32.32
sdr               0.00     0.00 1397.39   77.63    10.86     0.64    15.97     4.59    3.11    2.90    6.88   0.22  33.05
sdq               0.00     0.00 1427.56   80.54    11.11     0.66    15.98     4.56    3.02    2.81    6.70   0.22  33.03
sds               0.00     0.00 1451.47   79.29    11.29     0.65    15.98     5.46    3.57    3.36    7.31   0.22  34.02
sdv               0.00     0.00 1501.79   83.44    11.70     0.68    16.00     5.26    3.32    3.11    6.97   0.21  33.82
sdt               0.00     0.00   14.99   15.71     0.30     0.39    46.00     0.12    3.98    0.60    7.21   2.22   6.80
sdw               0.00     0.00   19.98   15.16     0.33     0.39    41.64     0.12    3.43    0.54    7.24   1.97   6.91
sdm               0.00     0.00 1542.86   86.16    12.00     0.71    15.98     5.20    3.19    2.99    6.82   0.21  33.72
sdu               0.00     0.00   15.25   15.76     0.31     0.40    46.53     0.12    3.91    0.60    7.12   2.23   6.90
sda               0.00     0.06    4.37    4.52     0.07     0.05    27.07     0.22   24.43    3.41   44.72   2.79   2.48
dm-0              0.00     0.00    2.77   19.67     0.13     0.24    33.94     0.31   13.83    3.41   15.30   1.82   4.09
sdx               0.00     0.00    0.23    0.00     0.00     0.00     8.00     0.00    0.76    0.76    0.00   0.73   0.02
dm-1              0.00     0.00    0.09    0.00     0.00     0.00     7.99     0.00    0.73    0.73    0.00   0.73   0.01
sdy               0.00     0.00    0.23   38.37     0.00     0.32    16.90     1.94   50.26    9.68   50.50   2.24   8.64
sdz               0.00     0.00    0.74    0.00     0.00     0.00     8.00     0.00    1.58    1.58    0.00   1.56   0.12
