Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/12/2020 	_x86_64_	(32 CPU)

02/12/2020 10:13:34 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.46    0.00    7.58   15.22    0.00   73.73

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdc               0.04     0.07    2.30   18.91     0.10     0.21    29.69     0.26   12.04    3.97   13.02   1.65   3.51
sdb               0.00     0.00    0.02    0.00     0.00     0.00    56.15     0.00    0.16    0.16    0.00   0.15   0.00
sde               0.00     0.00   15.70   38.33     0.39     0.52    34.36     0.27    4.98    0.19    6.94   2.29  12.38
sdd               0.00     0.00   35.63    2.35     0.14     0.00     7.70     0.01    0.34    0.14    3.33   0.33   1.24
sdf               0.00     0.00   15.53   37.72     0.41     0.51    35.44     0.28    5.26    0.19    7.35   2.35  12.50
sdg               0.00     0.00   32.49   38.03     0.49     0.52    29.27     0.28    4.03    0.15    7.35   1.86  13.11
sdh               0.00     0.00   17.64    0.32     0.08     0.00     9.24     0.04    2.42    2.41    3.27   2.37   4.27
sdi               0.00     0.00   17.69    0.32     0.08     0.00     9.24     0.04    2.44    2.43    3.21   2.28   4.10
sdj               0.00     0.00 4417.79 1324.21    35.15    10.89    16.42    37.09    6.45    6.53    6.20   0.07  38.45
sdk               0.00     0.00  298.85   60.83     2.35     0.50    16.20     2.60    7.22    6.86    8.95   0.31  11.14
sdl               0.00     0.00  299.10   61.09     2.36     0.50    16.25     2.75    7.64    7.30    9.28   0.29  10.50
sdq               0.00     0.00  299.35   61.21     2.37     0.50    16.30     3.00    8.33    7.93   10.29   0.29  10.63
sdp               0.00     0.00  300.34   61.11     2.36     0.50    16.23     2.95    8.16    7.80    9.92   0.29  10.48
sdo               0.00     0.00  291.04   60.35     2.31     0.49    16.34     2.54    7.23    7.00    8.35   0.30  10.61
sdn               0.00     0.00  296.57   60.90     2.33     0.50    16.21     2.61    7.29    6.90    9.18   0.29  10.52
sdm               0.00     0.00  296.48   60.84     2.35     0.50    16.31     3.09    8.63    8.17   10.88   0.30  10.85
sdr               0.00     0.00  303.32   61.55     2.40     0.50    16.27     4.17   11.42   11.02   13.40   0.29  10.56
sda               0.00     0.05    3.58    6.90     0.06     0.06    23.16     0.23   21.58    4.06   30.67   3.01   3.16
dm-0              0.00     0.00    2.38   18.98     0.10     0.21    29.48     0.26   12.14    3.83   13.18   1.62   3.46
sds               0.00     0.00    0.21    0.00     0.00     0.00     8.00     0.00    1.73    1.73    0.00   1.68   0.03
sdt               0.00     0.00    0.21    0.00     0.00     0.00     8.00     0.00   10.49   10.49    6.00  10.15   0.21
dm-1              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    1.74    1.74    0.00   1.74   0.01
dm-2              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00   11.70   11.71    6.00  11.69   0.10
sdu               0.00     0.00    0.72    0.00     0.00     0.00     8.00     0.00    1.51    1.51    0.00   1.49   0.11
dm-3              0.00     0.00    0.59    0.00     0.00     0.00     8.00     0.00    1.61    1.61    0.00   1.57   0.09
sdv               0.00     0.00    2.44    0.98     0.00     0.00     2.41     0.01    2.19    1.30    4.38   2.13   0.73
dm-4              0.00     0.00    2.31    0.98     0.00     0.00     2.19     0.01    2.35    1.41    4.55   2.30   0.76
sdw               0.00     0.00    0.21    0.00     0.00     0.00     8.00     0.00    1.82    1.82    0.00   1.76   0.04
dm-5              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    2.19    2.19    0.00   2.19   0.02
sdx               0.00     0.00    0.26    0.00     0.00     0.00     6.52     0.00    6.93    6.93    4.00   6.61   0.17
dm-6              0.00     0.00    0.14    0.00     0.00     0.00     5.16     0.00    6.51    6.51    4.00   6.50   0.09
sdy               0.00     0.00    0.21   41.98     0.00     0.34    16.68     0.49   11.68    4.97   11.71   0.65   2.73
dm-7              0.00     0.00    0.08   41.98     0.00     0.34    16.71     0.77   18.34    6.44   18.37   0.68   2.85
sdz               0.00     0.00    0.21   42.03     0.00     0.34    16.72     0.49   11.61    4.51   11.64   0.63   2.67
dm-8              0.00     0.00    0.08   42.03     0.00     0.34    16.74     0.81   19.18    5.59   19.21   0.68   2.86
sdaa              0.00     0.00    0.21   41.59     0.00     0.34    16.67     0.55   13.08    5.07   13.12   0.67   2.81
dm-9              0.00     0.00    0.08   41.59     0.00     0.34    16.70     0.89   21.28    6.37   21.31   0.70   2.91
sdab              0.00     0.00    0.21   42.15     0.00     0.34    16.68     0.56   13.21    4.80   13.25   0.68   2.87
dm-10             0.00     0.00    0.08   42.15     0.00     0.34    16.70     0.94   22.20    6.12   22.23   0.71   3.00
sdac              0.00     0.00    0.21   42.23     0.00     0.34    16.67     0.54   12.69    4.20   12.73   0.67   2.83
dm-11             0.00     0.00    0.08   42.23     0.00     0.34    16.70     0.85   20.16    4.80   20.19   0.69   2.94
sdad              0.00     0.00    0.21   42.38     0.00     0.35    16.69     0.53   12.55    4.75   12.59   0.65   2.77
dm-12             0.00     0.00    0.08   42.38     0.00     0.35    16.71     0.91   21.37    5.54   21.40   0.70   2.97
sdae              0.00     0.00    0.21   42.21     0.00     0.34    16.62     0.55   12.95    6.78   12.98   0.67   2.83
dm-13             0.00     0.00    0.08   42.21     0.00     0.34    16.65     0.95   22.49    7.47   22.52   0.71   3.02
sdaf              0.00     0.00    0.22  656.30     0.00     5.40    16.85     8.85   13.48    7.77   13.48   0.32  21.26
dm-14             0.00     0.00    0.09  656.30     0.00     5.40    16.85    20.37   31.03    9.18   31.03   0.33  21.36
sdag              0.00     0.00    2.44    0.98     0.00     0.00     2.91     0.01    2.06    1.17    4.24   2.03   0.70
dm-15             0.00     0.00    2.31    0.98     0.00     0.00     2.71     0.01    2.26    1.35    4.40   2.21   0.73
sdah              0.00     0.00    0.21   19.63     0.00     0.28    29.19     0.15    7.75    2.13    7.81   3.66   7.26
dm-16             0.00     0.00    0.08   19.63     0.00     0.28    29.33     0.16    8.07    3.35    8.09   3.74   7.38
sdai              0.00     0.00    0.21   19.81     0.00     0.29    29.39     0.15    7.62    2.10    7.67   3.62   7.24
dm-17             0.00     0.00    0.08   19.81     0.00     0.29    29.52     0.16    7.93    3.07    7.95   3.70   7.36
sdaj              0.00     0.00    0.21   41.13     0.00     0.34    16.67     0.53   12.79    3.96   12.83   0.67   2.77
dm-18             0.00     0.00    0.08   41.13     0.00     0.34    16.70     0.86   20.96    4.61   20.99   0.71   2.93
sdak              0.00     0.00    0.21   19.36     0.00     0.28    29.31     0.16    7.98    1.91    8.05   3.72   7.28
dm-19             0.00     0.00    0.08   19.36     0.00     0.28    29.45     0.16    8.32    2.66    8.34   3.81   7.40

02/12/2020 10:13:37 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           5.67    0.00    4.78    0.09    0.00   89.47

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdc               0.00     0.00    0.00   13.00     0.00     0.07    11.49     0.07    5.08    0.00    5.08   2.08   2.70
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sde               0.00     0.00    2.00   16.33     0.01     0.05     6.65     0.09    4.65    0.33    5.18   2.71   4.97
sdd               0.00     0.00    5.67    2.33     0.01     0.00     2.75     0.01    1.08    0.12    3.43   1.08   0.87
sdf               0.00     0.00    1.67    0.33     0.01     0.00     8.00     0.00    0.50    0.00    3.00   0.50   0.10
sdg               0.00     0.00    1.67   12.33     0.01     0.01     3.02     0.05    3.69    0.00    4.19   2.60   3.63
sdh               0.00     0.00    1.67    0.33     0.01     0.00     8.00     0.01    6.00    6.60    3.00   6.00   1.20
sdi               0.00     0.00    1.67    0.33     0.01     0.00     8.00     0.01    6.00    6.60    3.00   6.00   1.20
sdj               0.00     0.00    1.67    0.33     0.01     0.00     8.00     0.01    2.50    2.40    3.00   2.50   0.50
sdk               0.00     0.00    1.67   26.33     0.01     0.21    15.52     0.10    3.56   12.40    3.00   3.37   9.43
sdl               0.00     0.00    1.67   26.00     0.01     0.21    15.71     0.08    3.02    2.40    3.06   2.81   7.77
sdq               0.00     0.00    3.67   21.67     0.04     0.17    17.16     0.07    3.04    2.55    3.12   2.86   7.23
sdp               0.00     0.00    1.67   25.00     0.01     0.20    15.70     0.08    2.90    2.20    2.95   2.68   7.13
sdo               0.00     0.00    4.67   20.00     0.05     0.17    18.27     0.07    3.01    2.64    3.10   2.84   7.00
sdn               0.00     0.00    4.33   20.33     0.05     0.16    17.19     0.07    3.00    2.62    3.08   2.89   7.13
sdm               0.00     0.00    1.67   25.33     0.01     0.20    15.41     0.08    2.95    2.60    2.97   2.84   7.67
sdr               0.00     0.00    1.67   22.67     0.01     0.18    15.67     0.07    2.95    2.40    2.99   2.73   6.63
