Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/12/2020 	_x86_64_	(32 CPU)

10:13:34 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:13:37 AM  all    5.67    0.00    4.41    0.09    0.00    0.36    0.00    0.00    0.00   89.47
10:13:37 AM    0    3.44    0.00    3.78    0.00    0.00    0.00    0.00    0.00    0.00   92.78
10:13:37 AM    1    4.05    0.00    8.11    0.00    0.00    0.34    0.00    0.00    0.00   87.50
10:13:37 AM    2    2.74    0.00    3.42    0.00    0.00    0.34    0.00    0.00    0.00   93.49
10:13:37 AM    3   18.46    0.00    8.39    0.00    0.00    0.00    0.00    0.00    0.00   73.15
10:13:37 AM    4    2.05    0.00    2.39    0.00    0.00    0.00    0.00    0.00    0.00   95.56
10:13:37 AM    5    5.07    0.00    5.41    0.00    0.00    0.34    0.00    0.00    0.00   89.19
10:13:37 AM    6    2.73    0.00    2.05    0.00    0.00    0.68    0.00    0.00    0.00   94.54
10:13:37 AM    7   18.58    0.00    7.43    0.00    0.00    0.68    0.00    0.00    0.00   73.31
10:13:37 AM    8    2.74    0.00    2.05    0.34    0.00    0.68    0.00    0.00    0.00   94.18
10:13:37 AM    9    4.04    0.00    5.05    0.00    0.00    0.67    0.00    0.00    0.00   90.24
10:13:37 AM   10    4.91    0.00    6.32    0.00    0.00    0.70    0.00    0.00    0.00   88.07
10:13:37 AM   11    3.70    0.00    5.39    0.00    0.00    0.67    0.00    0.00    0.00   90.24
10:13:37 AM   12    3.77    0.00    4.11    0.34    0.00    0.34    0.00    0.00    0.00   91.44
10:13:37 AM   13    4.04    0.00    6.73    0.34    0.00    0.34    0.00    0.00    0.00   88.55
10:13:37 AM   14    3.06    0.00    3.40    0.00    0.00    0.34    0.00    0.00    0.00   93.20
10:13:37 AM   15   10.44    0.00    5.05    0.00    0.00    0.34    0.00    0.00    0.00   84.18
10:13:37 AM   16   10.54    0.00    4.76    0.00    0.00    0.34    0.00    0.00    0.00   84.35
10:13:37 AM   17    3.05    0.00    4.75    0.34    0.00    0.68    0.00    0.00    0.00   91.19
10:13:37 AM   18    2.74    0.00    2.74    0.00    0.00    0.34    0.00    0.00    0.00   94.18
10:13:37 AM   19    2.45    0.00    5.59    0.70    0.00    0.70    0.00    0.00    0.00   90.56
10:13:37 AM   20    5.50    0.00    4.12    0.00    0.00    0.69    0.00    0.00    0.00   89.69
10:13:37 AM   21   18.31    0.00    5.42    0.34    0.00    0.34    0.00    0.00    0.00   75.59
10:13:37 AM   22    3.42    0.00    3.08    0.00    0.00    0.34    0.00    0.00    0.00   93.15
10:13:37 AM   23    3.37    0.00    3.37    0.00    0.00    0.34    0.00    0.00    0.00   92.93
10:13:37 AM   24    2.05    0.00    2.05    0.34    0.00    0.34    0.00    0.00    0.00   95.21
10:13:37 AM   25    8.81    0.00    4.75    0.00    0.00    0.00    0.00    0.00    0.00   86.44
10:13:37 AM   26    2.41    0.00    2.06    0.00    0.00    0.34    0.00    0.00    0.00   95.19
10:13:37 AM   27    2.68    0.00    4.70    0.00    0.00    0.34    0.00    0.00    0.00   92.28
10:13:37 AM   28   10.88    0.00    3.74    0.00    0.00    0.34    0.00    0.00    0.00   85.03
10:13:37 AM   29    3.37    0.00    3.70    0.00    0.00    0.34    0.00    0.00    0.00   92.59
10:13:37 AM   30    2.72    0.00    2.38    0.00    0.00    0.34    0.00    0.00    0.00   94.56
10:13:37 AM   31    3.70    0.00    6.06    0.00    0.00    0.34    0.00    0.00    0.00   89.90

10:13:37 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
