procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 4  0      0 125028264  37624 3591664    0    0  1853   853   79   31  3  8 74 15  0 2020-02-12 10:13:34
 1  0      0 124275744  37624 3591804    0    0   232  3278 6422 24619  6  5 89  0  0 2020-02-12 10:13:37
 2  0      0 124074592  37624 3592412    0    0    93  1341 2522 16035  1  2 97  0  0 2020-02-12 10:13:40
13 58      0 123865744  37624 3593704    0    0 19084  6833 5524 20209  5  4 87  4  0 2020-02-12 10:13:43
 6 71      0 123644456  32408 3593404    0    0 207687 79653 49921 83135 12 23 22 43  0 2020-02-12 10:13:46
29 20      0 123838288  37624 3595976    0    0 235036 104219 47232 76314  8 22 26 45  0 2020-02-12 10:13:49
14 33      0 123842080  37624 3596220    0    0 276913 91864 35504 66168  6 21 30 44  0 2020-02-12 10:13:52
21 42      0 123688400  37624 3596460    0    0 264857 90972 42624 71005  9 22 30 39  0 2020-02-12 10:13:55
30 35      0 123845104  37624 3596508    0    0 246694 142873 47518 75121  8 22 30 40  0 2020-02-12 10:13:58
20 16      0 123842256  37624 3596648    0    0 210251 239582 43335 69262  6 22 32 40  0 2020-02-12 10:14:01
28 32      0 123845552  37624 3596520    0    0 288521 79393 37841 67373  6 24 24 46  0 2020-02-12 10:14:04
23 42      0 123641984  34332 3592580    0    0 311319 39698 39215 73295 10 25 20 45  0 2020-02-12 10:14:07
32 36      0 123831760  37624 3596588    0    0 217002 165019 52732 82200  7 24 26 42  0 2020-02-12 10:14:10
23 11      0 123831832  37624 3596628    0    0 166932 160248 53783 82772  5 20 41 33  0 2020-02-12 10:14:13
24 23      0 123841120  34576 3596748    0    0 222945 131405 47231 76977 10 22 35 33  0 2020-02-12 10:14:16
10 14      0 123842672  37624 3596656    0    0 197085 73378 42328 70651  5 15 51 29  0 2020-02-12 10:14:19
16 27      0 123833296  37624 3597372    0    0 191654 79334 49702 76077  6 19 43 31  0 2020-02-12 10:14:22
24 37      0 123689952  37624 3597252    0    0 250895 112488 47515 80533 10 23 30 38  0 2020-02-12 10:14:25
18 43      0 123813384  37444 3596024    0    0 236508 169236 49336 83647  8 24 26 41  0 2020-02-12 10:14:28
15 36      0 123807184  37624 3597476    0    0 259011 110598 47532 80318  6 22 28 43  0 2020-02-12 10:14:31
10 40      0 123814464  37624 3597776    0    0 233963 149253 50582 82403  7 22 31 39  0 2020-02-12 10:14:34
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
17 39      0 123818856  37624 3597784    0    0 233315 137131 49258 79750 11 23 25 40  0 2020-02-12 10:14:37
 2 51      0 123818216  37624 3598036    0    0 258672 111299 47863 79367  6 22 27 45  0 2020-02-12 10:14:40
 5 55      0 123815760  37624 3598316    0    0 262584 100506 52006 85486  7 24 25 45  0 2020-02-12 10:14:43
 6 46      0 123627808  28372 3598860    0    0 253566 108168 49247 83344 11 24 25 40  0 2020-02-12 10:14:46
23 39      0 123815696  37624 3598284    0    0 235388 128269 45871 81642  8 22 30 41  0 2020-02-12 10:14:49
14 46      0 123817456  37624 3598640    0    0 232706 125940 50430 83777  7 24 31 39  0 2020-02-12 10:14:52
35 36      0 123667200  37624 3599304    0    0 249471 112671 49032 81830  9 24 28 38  0 2020-02-12 10:14:55
27 42      0 123816120  37624 3599452    0    0 236352 126388 47250 81211  7 22 32 39  0 2020-02-12 10:14:58
25 37      0 123804384  37624 3599636    0    0 234592 144269 49592 81890  6 23 31 40  0 2020-02-12 10:15:01
15 39      0 123805424  37624 3601320    0    0 244068 130334 47723 80425  7 23 30 40  0 2020-02-12 10:15:04
16 26      0 123787440  36956 3599444    0    0 242772 122385 48005 83381 12 26 23 39  0 2020-02-12 10:15:07
15 31      0 123790240  37624 3601960    0    0 250344 113189 48546 80138  6 22 30 41  0 2020-02-12 10:15:10
11 45      0 123780192  37624 3601956    0    0 246969 119449 50430 84318  7 22 30 40  0 2020-02-12 10:15:13
26 34      0 123754896  37624 3601880    0    0 242581 131556 51297 82620 15 26 21 38  0 2020-02-12 10:15:16
10 33      0 123803840  37624 3601976    0    0 256895 105738 50517 80910  7 22 28 44  0 2020-02-12 10:15:19
28 35      0 123801904  37624 3602480    0    0 248979 117946 47744 80328  7 22 27 44  0 2020-02-12 10:15:22
16 25      0 123636224  37624 3602692    0    0 259708 110499 46675 76615 10 25 22 43  0 2020-02-12 10:15:25
31 37      0 123795032  37624 3602508    0    0 221290 158069 50195 83353  8 24 28 40  0 2020-02-12 10:15:28
 7 34      0 123801280  37624 3602428    0    0 252992 120931 44665 76558  6 21 30 43  0 2020-02-12 10:15:31
 8 24      0 123803272  37624 3602560    0    0 247318 116523 49813 80249  7 23 29 40  0 2020-02-12 10:15:34
12 38      0 123820576  33944 3602932    0    0 247011 110349 47227 80350 11 22 30 37  0 2020-02-12 10:15:37
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 3 48      0 123815768  37624 3602608    0    0 252004 115198 45415 77727  6 21 28 45  0 2020-02-12 10:15:40
 0 55      0 123816080  37624 3602532    0    0 240275 135170 49482 81903  7 24 24 45  0 2020-02-12 10:15:43
10 45      0 123527296  30420 3602916    0    0 243587 116565 47346 81354 12 25 25 39  0 2020-02-12 10:15:46
17 43      0 123726088  37624 3602876    0    0 238590 129247 54535 93509 12 27 25 37  0 2020-02-12 10:15:49
14 31      0 123697568  37624 3603152    0    0 246322 124550 51595 86435 10 27 27 37  0 2020-02-12 10:15:52
24 39      0 123569568  37624 3603228    0    0 255508 114429 49445 83819 15 28 21 37  0 2020-02-12 10:15:55
17 45      0 123585488  37624 3603332    0    0 246443 134507 47270 78473 12 25 24 39  0 2020-02-12 10:15:58
14 33      0 123590128  37624 3603372    0    0 235993 133622 48719 81876  9 24 29 38  0 2020-02-12 10:16:01
26 34      0 123590128  37624 3603504    0    0 243960 111566 47596 80181 10 23 30 37  0 2020-02-12 10:16:04
26 38      0 123793600  36044 3603728    0    0 260180 107390 51048 85814 14 29 21 36  0 2020-02-12 10:16:07
 5 51      0 123798328  37624 3603812    0    0 240546 121436 49292 80766  7 23 29 41  0 2020-02-12 10:16:10
27 36      0 123803232  37624 3604224    0    0 248463 122012 50933 83576  7 24 28 41  0 2020-02-12 10:16:13
 6 19      0 123805904  37624 3604184    0    0 241746 132613 48183 77740 11 25 26 38  0 2020-02-12 10:16:16
13 36      0 123800016  37624 3604284    0    0 244525 119036 48152 79226  6 21 33 39  0 2020-02-12 10:16:19
 6 33      0 123795960  37624 3604584    0    0 242344 130789 49328 81223  7 23 30 41  0 2020-02-12 10:16:22
12 38      0 123640512  37624 3604804    0    0 238671 130646 47439 78087 10 24 26 40  0 2020-02-12 10:16:25
10 40      0 123799712  37624 3604788    0    0 248028 123852 48420 81565  9 25 25 42  0 2020-02-12 10:16:28
 5 45      0 123803720  37624 3604732    0    0 246240 113092 49534 82745  7 22 32 39  0 2020-02-12 10:16:31
11 32      0 123803984  37624 3604684    0    0 243931 133858 49830 82494  7 23 29 41  0 2020-02-12 10:16:34
 6 38      0 123805680  37624 3604748    0    0 236637 118958 49053 82619 11 22 32 35  0 2020-02-12 10:16:37
13 15      0 123799744  37652 3604824    0    0 221509 117348 50307 81147  6 20 42 32  0 2020-02-12 10:16:40
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 1 57      0 123793776  37624 3605188    0    0 209527 104290 46049 77856  7 20 41 31  0 2020-02-12 10:16:43
10 52      0 123803280  37624 3605340    0    0 246680 125816 48633 79408 11 25 25 40  0 2020-02-12 10:16:46
17 39      0 123804352  37624 3605356    0    0 257570 112281 48373 80869  7 23 26 44  0 2020-02-12 10:16:49
13 42      0 123800480  37624 3605576    0    0 239876 141255 49375 82910  7 23 28 43  0 2020-02-12 10:16:52
21 52      0 123645312  37624 3605764    0    0 248676 119332 49449 83029 10 24 27 39  0 2020-02-12 10:16:55
12 48      0 123792112  37484 3605760    0    0 246776 119592 52497 87546  8 25 25 42  0 2020-02-12 10:16:58
16 42      0 123794688  37624 3605840    0    0 259473 110136 49428 83944  6 22 30 42  0 2020-02-12 10:17:01
12 37      0 123799232  37624 3605668    0    0 247468 123494 48901 82075  6 22 29 42  0 2020-02-12 10:17:04
18 34      0 123802760  37624 3605756    0    0 224368 145370 52455 85036 11 24 28 36  0 2020-02-12 10:17:07
13 35      0 123801544  37624 3605804    0    0 238423 115254 50437 83662  6 21 33 40  0 2020-02-12 10:17:10
17 41      0 123802272  37624 3605968    0    0 248840 106663 51456 85619  6 22 29 42  0 2020-02-12 10:17:13
18 52      0 123607792  22656 3606008    0    0 231237 102553 52844 80915 11 23 26 41  0 2020-02-12 10:17:16
 8 57      0 123796768  37004 3606256    0    0 231451 111690 53793 83813  7 22 28 43  0 2020-02-12 10:17:19
13 43      0 123792448  37624 3606540    0    0 214700 141144 54564 85477  7 23 29 41  0 2020-02-12 10:17:22
12 40      0 123639936  37624 3606908    0    0 232705 117235 49171 78761 10 22 29 39  0 2020-02-12 10:17:25
16 28      0 123799216  37624 3606856    0    0 247443 119915 51682 82502  7 22 31 39  0 2020-02-12 10:17:28
15 49      0 123792224  35276 3606448    0    0 255188 104288 49350 84749  7 22 29 42  0 2020-02-12 10:17:31
14 51      0 123789520  37624 3607048    0    0 236515 139118 51189 84285  7 23 26 43  0 2020-02-12 10:17:34
22 37      0 123796224  37624 3607100    0    0 240696 116041 48162 81710 11 23 27 39  0 2020-02-12 10:17:37
16 37      0 123799344  37624 3607164    0    0 241493 117442 49511 81679  6 22 31 40  0 2020-02-12 10:17:40
 6 43      0 123797984  37624 3607228    0    0 252367 103939 49993 83685  7 22 28 43  0 2020-02-12 10:17:43
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 4 52      0 123600480  37652 3607652    0    0 252991 116506 46910 78755 11 24 23 42  0 2020-02-12 10:17:46
10 45      0 123789120  37624 3607632    0    0 227620 144619 51896 86863  8 25 24 43  0 2020-02-12 10:17:49
 2 59      0 123792480  37624 3607908    0    0 236530 134030 51036 83386  6 23 28 42  0 2020-02-12 10:17:52
 6 53      0 123618008  37624 3608020    0    0 248296 125160 49880 78663 11 26 22 41  0 2020-02-12 10:17:55
 2 56      0 123799168  37624 3608088    0    0 257828 112765 48599 80275  7 23 25 45  0 2020-02-12 10:17:58
 3 42      0 123795792  37624 3608168    0    0 235198 143864 52085 84672  6 22 28 43  0 2020-02-12 10:18:01
 3 47      0 123796408  37624 3608256    0    0 247945 119164 49796 81263  7 23 28 42  0 2020-02-12 10:18:04
 2 60      0 123784976  37456 3608068    0    0 259718 110479 52633 88045 12 27 20 41  0 2020-02-12 10:18:07
 5 47      0 123794288  37624 3608408    0    0 254384 103129 49035 80071  6 22 30 42  0 2020-02-12 10:18:10
 9 63      0 123805984  33924 3606044    0    0 251729 126113 47511 78891  7 22 27 44  0 2020-02-12 10:18:13
 6 43      0 123796336  37624 3608600    0    0 237300 137937 50058 81378 12 24 26 38  0 2020-02-12 10:18:16
 4 44      0 123795968  37624 3608680    0    0 242971 134391 51489 82585  6 22 29 42  0 2020-02-12 10:18:19
 5 44      0 123792800  37624 3609060    0    0 256965 104834 46712 77790  6 21 33 40  0 2020-02-12 10:18:22
 7 53      0 123618112  37624 3609120    0    0 250216 122648 47967 79209 10 24 27 39  0 2020-02-12 10:18:25
 1 60      0 123785416  37624 3609368    0    0 243691 138499 50927 84114  8 25 24 43  0 2020-02-12 10:18:28
 2 41      0 123794944  37624 3609496    0    0 245609 121068 46482 78658  6 21 30 43  0 2020-02-12 10:18:31
10 38      0 123793776  37624 3609728    0    0 248597 116535 46327 78076  6 21 32 40  0 2020-02-12 10:18:34
22 33      0 123794864  37624 3609772    0    0 235854 140561 52737 82970 12 25 25 39  0 2020-02-12 10:18:37
31 32      0 123793048  37624 3609840    0    0 259287 115525 48023 78719  7 22 28 44  0 2020-02-12 10:18:40
11 44      0 123792032  37624 3609956    0    0 248476 118770 49774 81944  7 22 30 41  0 2020-02-12 10:18:43
41 46      0 123600728  28440 3609536    0    0 253752 118805 49390 81125 11 26 23 40  0 2020-02-12 10:18:46
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
13 35      0 123787848  37624 3610368    0    0 249496 126288 50041 82256  8 24 22 46  0 2020-02-12 10:18:49
18 33      0 123785800  37624 3610768    0    0 236029 128922 51399 84016  7 23 30 40  0 2020-02-12 10:18:52
35 40      0 123612848  37624 3610720    0    0 247219 130589 46512 78222 10 24 26 39  0 2020-02-12 10:18:55
13 40      0 123794992  37624 3610772    0    0 258705 107050 48448 79396  7 23 25 45  0 2020-02-12 10:18:58
12 35      0 123791152  37624 3610928    0    0 241060 135078 50446 82056  6 23 30 41  0 2020-02-12 10:19:01
26 38      0 123794400  37624 3610844    0    0 235522 129798 51736 83132  7 24 27 42  0 2020-02-12 10:19:04
24 45      0 123780144  37140 3610316    0    0 259959 119383 49899 84074 12 27 21 40  0 2020-02-12 10:19:07
 3 43      0 123787192  37624 3610992    0    0 242264 125853 53286 83965  7 24 28 42  0 2020-02-12 10:19:10
11 36      0 123792032  37624 3611104    0    0 250281 131476 51584 82667  6 23 31 40  0 2020-02-12 10:19:13
15 36      0 123794016  37624 3611172    0    0 236237 130860 53477 84147 11 25 26 38  0 2020-02-12 10:19:16
 0 54      0 123792272  37624 3611240    0    0 244167 129984 50733 81625  6 22 30 42  0 2020-02-12 10:19:19
10 53      0 123787264  37624 3611512    0    0 253417 121855 51654 84069  7 24 25 44  0 2020-02-12 10:19:22
28 41      0 123610304  37624 3611748    0    0 251708 109623 49632 80755 11 25 24 40  0 2020-02-12 10:19:25
22 43      0 123783760  37624 3611940    0    0 240718 143989 53236 86733  8 25 26 41  0 2020-02-12 10:19:28
20 32      0 123792200  37624 3611908    0    0 248353 121446 49276 81914  6 22 30 42  0 2020-02-12 10:19:31
35 32      0 123789248  37624 3611980    0    0 246383 126684 48467 80706  7 23 28 42  0 2020-02-12 10:19:34
22 31      0 123793112  37624 3612168    0    0 256229 114630 49147 80078 11 24 23 42  0 2020-02-12 10:19:37
16 37      0 123793056  37624 3612248    0    0 241353 133095 50676 80468  7 23 26 44  0 2020-02-12 10:19:40
15 42      0 123792832  37624 3612432    0    0 235812 133165 53136 85899  7 24 28 41  0 2020-02-12 10:19:43
11 40      0 123595744  37652 3612504    0    0 256084 115246 49946 81767 11 25 22 41  0 2020-02-12 10:19:46
13 43      0 123783968  37624 3612512    0    0 263681 105589 50669 83644  7 25 24 44  0 2020-02-12 10:19:49
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
17 31      0 123782768  37624 3612920    0    0 239924 134557 52904 85585  7 23 29 40  0 2020-02-12 10:19:52
16 42      0 123607296  37624 3613404    0    0 236445 140439 53080 82911 11 26 24 39  0 2020-02-12 10:19:55
20 27      0 123790544  37624 3613536    0    0 247046 122722 52605 83803  8 23 28 41  0 2020-02-12 10:19:58
25 35      0 123786800  37624 3613600    0    0 247025 118687 49612 80757  6 22 29 43  0 2020-02-12 10:20:01
 4 47      0 123786352  37624 3613672    0    0 241705 135409 48902 80547  7 23 29 41  0 2020-02-12 10:20:04
11 55      0 123783344  36464 3612508    0    0 246710 137979 50607 84613 12 27 22 39  0 2020-02-12 10:20:07
16 27      0 123789856  37624 3613808    0    0 234406 128123 50607 82784  6 22 32 40  0 2020-02-12 10:20:10
 3 49      0 123794240  37624 3613784    0    0 258423 104072 50964 82192  7 23 28 42  0 2020-02-12 10:20:13
13 51      0 123797680  37556 3613620    0    0 250305 120471 51509 83266 12 26 24 39  0 2020-02-12 10:20:16
39 30      0 123800784  37624 3613868    0    0 239771 121593 53292 85591  7 22 29 42  0 2020-02-12 10:20:19
30 37      0 123792976  37624 3614124    0    0 253164 125210 51086 82314  7 24 26 43  0 2020-02-12 10:20:22
30 37      0 123604152  37624 3614324    0    0 259750 109217 48753 79583 11 25 23 41  0 2020-02-12 10:20:25
28 41      0 123791544  37244 3613432    0    0 244138 140670 50870 83194  7 25 24 44  0 2020-02-12 10:20:28
17 36      0 123793872  37624 3614364    0    0 239809 137798 51226 80845  7 23 28 42  0 2020-02-12 10:20:31
31 28      0 123795264  37624 3614416    0    0 237135 133869 49290 79778  7 22 34 38  0 2020-02-12 10:20:34
 9 28      0 123798032  37624 3614480    0    0 252515 112311 49375 80043 11 24 26 39  0 2020-02-12 10:20:37
