Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/12/2020 	_x86_64_	(32 CPU)

02/12/2020 12:56:11 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.11    0.00    6.71   10.43    0.00   79.75

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdd               0.00     0.00   35.12    2.64     0.14     0.13    14.68     0.04    0.97    0.17   11.66   0.48   1.81
sda               0.01     0.13   10.20    6.91     0.17     0.07    28.05     0.27   15.99    3.70   34.15   2.06   3.53
sdc               0.03     0.08    6.25   18.78     0.30     0.35    52.92     0.24    9.59    4.15   11.40   1.73   4.33
sdf               0.00     0.00   16.93   23.80     0.75     1.20    98.37     0.21    5.16    0.34    8.59   2.62  10.67
sdg               0.00     0.00   32.23   23.13     0.83     1.20    74.85     0.22    3.90    0.24    9.00   1.98  10.94
sde               0.00     0.00   16.47   22.58     0.71     1.20   100.26     0.24    6.22    0.34   10.51   3.05  11.90
sdi               0.00     0.00  853.27  530.55     6.87     4.37    16.63     6.23    4.50    4.99    3.73   0.37  51.84
sdj               0.00     0.00  855.77  530.41     6.89     4.37    16.62     6.06    4.37    4.72    3.80   0.37  51.10
sdk               0.00     0.00  855.09  531.78     6.89     4.38    16.63     6.22    4.49    4.87    3.87   0.37  51.49
sdl               0.00     0.00  848.59  530.08     6.86     4.35    16.65     6.19    4.49    4.88    3.88   0.37  51.23
sdm               0.00     0.00  850.95  531.09     6.82     4.36    16.57     6.00    4.34    4.81    3.60   0.37  50.97
sdh               0.00     0.00  862.67  530.70     6.87     4.37    16.51     5.59    4.01    4.24    3.64   0.36  50.42
sdo               0.00     0.00  856.74  533.67     6.92     4.39    16.67     6.23    4.48    4.91    3.80   0.37  51.23
sdp               0.00     0.00   17.85    0.59     0.08     0.09    18.94     0.05    2.49    2.42    4.44   2.23   4.12
sdr               0.00     0.00   17.63    0.64     0.08     0.11    21.48     0.04    2.45    2.38    4.49   2.20   4.02
sdq               0.00     0.00   17.82    0.58     0.08     0.08    18.24     0.05    2.48    2.41    4.60   2.34   4.31
