Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/12/2020 	_x86_64_	(32 CPU)

12:56:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:56:14 PM  all    2.72    0.00    3.44    0.07    0.00    0.32    0.00    0.00    0.00   93.44
12:56:14 PM    0    3.40    0.00    3.40    0.00    0.00    0.68    0.00    0.00    0.00   92.52
12:56:14 PM    1    2.35    0.00    4.03    0.34    0.00    0.00    0.00    0.00    0.00   93.29
12:56:14 PM    2    2.41    0.00    2.07    0.00    0.00    0.34    0.00    0.00    0.00   95.17
12:56:14 PM    3    2.36    0.00    3.72    0.00    0.00    0.00    0.00    0.00    0.00   93.92
12:56:14 PM    4    1.72    0.00    1.72    0.69    0.00    0.34    0.00    0.00    0.00   95.53
12:56:14 PM    5    2.36    0.00    6.08    0.00    0.00    0.34    0.00    0.00    0.00   91.22
12:56:14 PM    6    3.77    0.00    2.40    0.68    0.00    0.34    0.00    0.00    0.00   92.81
12:56:14 PM    7    4.75    0.00    4.75    0.00    0.00    0.68    0.00    0.00    0.00   89.83
12:56:14 PM    8    2.72    0.00    2.38    0.00    0.00    0.68    0.00    0.00    0.00   94.22
12:56:14 PM    9    2.83    0.00    6.36    0.00    0.00    0.00    0.00    0.00    0.00   90.81
12:56:14 PM   10    2.77    0.00    3.46    0.00    0.00    0.69    0.00    0.00    0.00   93.08
12:56:14 PM   11    3.69    0.00    5.03    0.00    0.00    0.67    0.00    0.00    0.00   90.60
12:56:14 PM   12    1.71    0.00    2.40    0.00    0.00    0.34    0.00    0.00    0.00   95.55
12:56:14 PM   13    3.37    0.00    5.05    0.00    0.00    0.34    0.00    0.00    0.00   91.25
12:56:14 PM   14    1.77    0.00    3.53    0.00    0.00    0.35    0.00    0.00    0.00   94.35
12:56:14 PM   15    3.01    0.00    4.68    0.00    0.00    0.33    0.00    0.00    0.00   91.97
12:56:14 PM   16    2.78    0.00    2.08    0.00    0.00    0.35    0.00    0.00    0.00   94.79
12:56:14 PM   17    3.37    0.00    4.38    0.00    0.00    0.34    0.00    0.00    0.00   91.92
12:56:14 PM   18    2.78    0.00    2.78    0.00    0.00    0.35    0.00    0.00    0.00   94.10
12:56:14 PM   19    3.72    0.00    6.76    0.00    0.00    0.34    0.00    0.00    0.00   89.19
12:56:14 PM   20    2.42    0.00    2.08    0.00    0.00    0.35    0.00    0.00    0.00   95.16
12:56:14 PM   21    2.69    0.00    3.37    0.00    0.00    0.00    0.00    0.00    0.00   93.94
12:56:14 PM   22    2.40    0.00    1.71    0.34    0.00    0.34    0.00    0.00    0.00   95.21
12:56:14 PM   23    2.70    0.00    2.70    0.00    0.00    0.00    0.00    0.00    0.00   94.59
12:56:14 PM   24    2.40    0.00    2.40    0.00    0.00    0.34    0.00    0.00    0.00   94.86
12:56:14 PM   25    2.35    0.00    3.02    0.00    0.00    0.34    0.00    0.00    0.00   94.30
12:56:14 PM   26    2.42    0.00    2.42    0.00    0.00    0.35    0.00    0.00    0.00   94.81
12:56:14 PM   27    2.69    0.00    2.69    0.00    0.00    0.00    0.00    0.00    0.00   94.61
12:56:14 PM   28    2.75    0.00    3.44    0.00    0.00    0.34    0.00    0.00    0.00   93.47
12:56:14 PM   29    2.34    0.00    2.68    0.00    0.00    0.33    0.00    0.00    0.00   94.65
12:56:14 PM   30    3.08    0.00    2.74    0.34    0.00    0.68    0.00    0.00    0.00   93.15
12:56:14 PM   31    1.68    0.00    3.36    0.00    0.00    0.00    0.00    0.00    0.00   94.97

12:56:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:56:17 PM  all    3.20    0.00    3.98    0.07    0.00    0.22    0.00    0.00    0.00   92.51
12:56:17 PM    0    3.77    0.00    3.42    0.00    0.00    0.34    0.00    0.00    0.00   92.47
12:56:17 PM    1    2.69    0.00    2.36    0.67    0.00    0.34    0.00    0.00    0.00   93.94
12:56:17 PM    2    3.47    0.00    4.17    0.00    0.00    0.35    0.00    0.00    0.00   92.01
12:56:17 PM    3    2.70    0.00   11.15    0.34    0.00    0.00    0.00    0.00    0.00   85.81
12:56:17 PM    4    3.09    0.00    2.75    0.00    0.00    0.00    0.00    0.00    0.00   94.16
12:56:17 PM    5    3.38    0.00    5.41    0.00    0.00    0.34    0.00    0.00    0.00   90.88
12:56:17 PM    6    3.41    0.00    3.07    1.02    0.00    0.34    0.00    0.00    0.00   92.15
12:56:17 PM    7    3.39    0.00    4.41    0.00    0.00    0.34    0.00    0.00    0.00   91.86
12:56:17 PM    8    2.75    0.00    2.41    0.00    0.00    0.34    0.00    0.00    0.00   94.50
12:56:17 PM    9    3.48    0.00    6.62    0.00    0.00    0.70    0.00    0.00    0.00   89.20
12:56:17 PM   10    3.12    0.00    2.78    0.00    0.00    0.35    0.00    0.00    0.00   93.75
12:56:17 PM   11    3.04    0.00    4.73    0.00    0.00    0.34    0.00    0.00    0.00   91.89
12:56:17 PM   12    3.08    0.00    2.05    0.00    0.00    0.00    0.00    0.00    0.00   94.86
12:56:17 PM   13    4.01    0.00    5.69    0.00    0.00    0.33    0.00    0.00    0.00   89.97
12:56:17 PM   14    2.13    0.00    3.90    0.00    0.00    0.35    0.00    0.00    0.00   93.62
12:56:17 PM   15    4.07    0.00    4.41    0.00    0.00    0.00    0.00    0.00    0.00   91.53
12:56:17 PM   16    2.08    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   95.83
12:56:17 PM   17    3.39    0.00    5.76    0.00    0.00    0.00    0.00    0.00    0.00   90.85
12:56:17 PM   18    3.44    0.00    3.44    0.00    0.00    0.34    0.00    0.00    0.00   92.78
12:56:17 PM   19    4.04    0.00    4.71    0.00    0.00    0.34    0.00    0.00    0.00   90.91
12:56:17 PM   20    3.44    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   93.47
12:56:17 PM   21    3.01    0.00    5.69    0.00    0.00    0.33    0.00    0.00    0.00   90.97
12:56:17 PM   22    2.44    0.00    1.74    0.35    0.00    0.35    0.00    0.00    0.00   95.12
12:56:17 PM   23    3.37    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   92.59
12:56:17 PM   24    2.78    0.00    2.43    0.00    0.00    0.00    0.00    0.00    0.00   94.79
12:56:17 PM   25    3.38    0.00    5.07    0.00    0.00    0.00    0.00    0.00    0.00   91.55
12:56:17 PM   26    3.14    0.00    2.44    0.00    0.00    0.35    0.00    0.00    0.00   94.08
12:56:17 PM   27    3.38    0.00    4.39    0.00    0.00    0.34    0.00    0.00    0.00   91.89
12:56:17 PM   28    3.17    0.00    3.52    0.00    0.00    0.00    0.00    0.00    0.00   93.31
12:56:17 PM   29    1.68    0.00    3.37    0.00    0.00    0.00    0.00    0.00    0.00   94.95
12:56:17 PM   30    4.17    0.00    3.82    0.00    0.00    0.35    0.00    0.00    0.00   91.67
