procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 4  0      0 125575280  37624 3005880    0    0  1953  1641  434  129  3  7 80 10  0 2020-02-12 12:56:11
 3  0      0 124920280  37624 3005996    0    0  2916   760 5235 21551  3  4 93  0  0 2020-02-12 12:56:14
 3  0      0 124070000  37624 3007104    0    0  2834   668 4948 23539  3  4 93  0  0 2020-02-12 12:56:17
 1  0      0 123661536  37624 3012624    0    0  3086   744 3791 19828  4  3 92  0  0 2020-02-12 12:56:20
 0  0      0 123658976  37624 3013140    0    0  2939   777 1716 15449  1  1 98  0  0 2020-02-12 12:56:23
17 71      0 123031160  37624 3281556    0    0 205733 24045 64210 105224 15 25 34 26  0 2020-02-12 12:56:26
 9 32      0 122815808  37624 3282456    0    0 244626 55030 84318 123024 12 26 21 41  0 2020-02-12 12:56:29
11 22      0 123012240  37624 3282336    0    0 296122 73665 67861 112766  8 23 35 34  0 2020-02-12 12:56:32
 2  6      0 122996376  37624 3282232    0    0 275288 50449 55980 95061  7 17 49 27  0 2020-02-12 12:56:35
 5  4      0 122997024  37624 3282056    0    0 137555 103385 49512 81381  3 10 68 18  0 2020-02-12 12:56:38
12 18      0 122999752  37624 3282332    0    0 149669 140997 51344 84764  7 13 58 22  0 2020-02-12 12:56:41
20  7      0 122995992  37624 3282396    0    0 195618 117515 54240 85432  4 14 56 26  0 2020-02-12 12:56:44
11 20      0 123002872  37624 3282440    0    0 193795 176554 58747 89137  5 17 50 28  0 2020-02-12 12:56:47
11 14      0 122802160  36844 3279452    0    0 200064 198833 63783 98459 10 22 37 31  0 2020-02-12 12:56:50
 8 30      0 122995376  37624 3282352    0    0 213084 216188 66122 94206  7 21 41 31  0 2020-02-12 12:56:53
13 20      0 122999728  37624 3282348    0    0 158132 117876 57176 86332  4 14 56 25  0 2020-02-12 12:56:56
 7  6      0 122991888  37624 3282492    0    0 146927 106655 55265 85186  8 15 57 20  0 2020-02-12 12:56:59
 1 11      0 122995472  37624 3282372    0    0 93819 96386 43242 70250  2 10 70 18  0 2020-02-12 12:57:02
 5 15      0 122997568  37624 3282404    0    0 92284 83113 41353 67581  3  9 71 17  0 2020-02-12 12:57:05
 5  6      0 123004664  37624 3282348    0    0 87492 112099 45057 71862  3  9 71 17  0 2020-02-12 12:57:08
 4  1      0 122997672  37624 3282412    0    0 100932 92841 46888 77447  8 13 64 16  0 2020-02-12 12:57:11
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 3 10      0 123005864  37624 3282452    0    0 102032 97107 42837 70130  3  9 70 18  0 2020-02-12 12:57:14
13  2      0 122994768  37624 3282436    0    0 120510 99361 44527 73723  3 11 71 15  0 2020-02-12 12:57:17
 2  4      0 122998360  37624 3282804    0    0 120775 120824 49612 80738  7 13 64 17  0 2020-02-12 12:57:20
 0  2      0 123005176  37624 3283292    0    0 95552 105429 45400 72825  3 10 71 16  0 2020-02-12 12:57:23
12 12      0 123023056  37624 3283260    0    0 106625 88692 42117 69470  3  9 69 19  0 2020-02-12 12:57:26
