Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/12/2020 	_x86_64_	(32 CPU)

02/12/2020 02:55:45 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.13    0.00    6.48    8.61    0.00   81.78

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdd               0.00     0.00   35.39    2.42     0.14     0.04     9.70     0.02    0.57    0.18    6.18   0.41   1.55
sda               0.00     0.06    3.12    6.16     0.05     0.05    22.42     0.19   20.30    3.71   28.70   2.74   2.54
sdc               0.01     0.06    2.09   19.05     0.09     0.21    29.50     0.25   11.64    3.95   12.48   1.59   3.35
sdf               0.00     0.00   16.36   19.06     0.62     1.03    95.64     0.18    5.06    0.34    9.12   2.54   8.98
sdg               0.00     0.00   32.29   18.50     0.70     1.03    69.60     0.17    3.43    0.24    9.01   1.73   8.81
sde               0.00     0.00   16.06   18.32     0.63     1.03    99.03     0.19    5.53    0.35   10.07   2.72   9.35
sdi               0.00     0.00  837.96  463.34     6.63     3.81    16.44     5.80    4.46    4.77    3.90   0.31  39.89
sdj               0.00     0.00  844.01  464.31     6.69     3.82    16.46     6.07    4.64    4.91    4.14   0.30  39.76
sdk               0.00     0.00  841.20  464.66     6.68     3.83    16.49     6.26    4.79    5.11    4.22   0.31  40.23
sdl               0.00     0.00  834.41  463.09     6.63     3.81    16.47     6.09    4.69    4.96    4.21   0.31  39.85
sdm               0.00     0.00  836.46  464.16     6.62     3.82    16.43     5.90    4.54    4.91    3.88   0.30  39.54
sdh               0.00     0.00  849.44  463.87     6.67     3.82    16.35     5.48    4.17    4.31    3.92   0.30  39.29
sdo               0.00     0.00  843.11  465.83     6.70     3.84    16.49     6.14    4.69    5.01    4.10   0.30  39.74
sdp               0.00     0.00   17.74    0.41     0.08     0.03    12.22     0.05    2.54    2.51    3.83   2.33   4.23
sdr               0.00     0.00   17.64    0.42     0.08     0.03    12.99     0.04    2.48    2.45    3.83   2.28   4.11
sdq               0.00     0.00   17.69    0.40     0.08     0.03    12.01     0.04    2.47    2.44    3.88   2.39   4.32
sdn               0.00     0.00  836.33  462.18     6.62     3.80    16.45     6.28    4.83    5.14    4.28   0.30  39.60
sdb               0.00     0.00    0.02    0.00     0.00     0.00    56.15     0.00    0.15    0.15    0.00   0.12   0.00
dm-0              0.00     0.00    2.12   19.11     0.09     0.21    29.37     0.25   11.71    3.98   12.56   1.57   3.34
sds               0.00     0.00    0.21    0.00     0.00     0.00     8.00     0.00    2.27    2.27    4.67   2.23   0.05
dm-1              0.00     0.00    0.08    0.00     0.00     0.00     7.99     0.00    1.55    1.54    4.67   1.54   0.01
sdt               0.00     0.00    0.71    0.00     0.00     0.00     8.00     0.00    1.55    1.55    0.00   1.54   0.11
dm-2              0.00     0.00    0.59    0.00     0.00     0.00     8.00     0.00    1.30    1.30    0.00   1.28   0.08
sdu               0.00     0.00    2.46    0.98     0.00     0.00     2.37     0.01    2.27    1.36    4.55   2.25   0.77
dm-3              0.00     0.00    2.34    0.98     0.00     0.00     2.16     0.01    2.38    1.41    4.68   2.35   0.78
sdv               0.00     0.00    0.21    0.00     0.00     0.00     8.00     0.00    2.25    2.25    0.00   2.20   0.05
dm-4              0.00     0.00    0.08    0.00     0.00     0.00     7.99     0.00    1.39    1.39    0.00   1.39   0.01
sdw               0.00     0.00    0.28    0.02     0.03     0.00   188.13     0.00   11.42   12.15    3.13   9.19   0.28
dm-5              0.00     0.00    0.15    0.02     0.03     0.00   313.59     0.00   10.74   11.92    3.28   7.23   0.13
sdx               0.00     0.00    0.33    0.02     0.03     0.00   148.12     0.00   11.48   12.10    3.11   9.30   0.33
dm-6              0.00     0.00    0.20    0.02     0.02     0.00   225.07     0.00   10.99   11.91    3.28   7.83   0.18
sdy               0.00     0.00    0.22  131.53     0.01     1.08    16.81     4.97   37.70   16.74   37.74   1.43  18.80
dm-7              0.00     0.00    0.10  131.53     0.00     1.08    16.82     8.44   64.14   12.73   64.18   1.44  18.93
sdz               0.00     0.00    0.22  131.29     0.00     1.07    16.76     4.42   33.65   11.98   33.68   1.36  17.93
dm-8              0.00     0.00    0.09  131.29     0.00     1.07    16.77     7.49   57.04   12.24   57.07   1.38  18.11
sdaa              0.00     0.00    0.22  131.41     0.00     1.07    16.74     5.38   40.87   14.22   40.91   1.47  19.36
dm-9              0.00     0.00    0.09  131.41     0.00     1.07    16.75     9.46   71.90   16.18   71.93   1.49  19.55
sdab              0.00     0.00    0.22  131.24     0.01     1.07    16.77     5.37   40.82   14.41   40.87   1.47  19.34
dm-10             0.00     0.00    0.09  131.24     0.00     1.07    16.78     9.60   73.10   15.35   73.14   1.49  19.53
sdac              0.00     0.00    0.22  131.40     0.00     1.08    16.82     4.90   37.20   14.04   37.24   1.41  18.61
dm-11             0.00     0.00    0.09  131.40     0.00     1.08    16.83     8.37   63.68   14.64   63.71   1.43  18.76
sdad              0.00     0.00    0.22  131.73     0.00     1.08    16.75     4.93   37.33   14.09   37.37   1.41  18.67
dm-12             0.00     0.00    0.09  131.73     0.00     1.08    16.76     8.62   65.40   14.01   65.44   1.43  18.84
sdae              0.00     0.00    0.22  132.13     0.00     1.08    16.80     5.67   42.86   16.82   42.91   1.52  20.07
dm-13             0.00     0.00    0.09  132.13     0.00     1.08    16.81    10.50   79.37   14.23   79.42   1.53  20.28
sdaf              0.00     0.00    0.22    0.00     0.00     0.00     8.38     0.00   13.29   13.30    3.00  12.99   0.28
dm-14             0.00     0.00    0.09    0.00     0.00     0.00     8.89     0.00   13.61   13.62    3.00  13.60   0.13
sdag              0.00     0.00    2.45    0.98     0.00     0.00     2.88     0.03    8.76    7.81   11.14   7.87   2.69
dm-15             0.00     0.00    2.32    0.98     0.00     0.00     2.69     0.03    8.74    7.67   11.28   8.06   2.66
sdah              0.00     0.00    0.20    6.27     0.00     0.30    93.82     0.17   26.87   13.97   27.29  14.00   9.07
dm-16             0.00     0.00    0.08    6.27     0.00     0.30    95.50     0.17   27.31   11.06   27.52  14.15   8.99
sdai              0.00     0.00    0.20    5.92     0.00     0.29    97.96     0.17   27.99   12.14   28.54  14.47   8.86
dm-17             0.00     0.00    0.08    5.92     0.00     0.29    99.83     0.17   28.56   12.40   28.78  14.69   8.81
sdaj              0.00     0.00    0.21  131.28     0.00     1.07    16.79     4.76   36.22   13.80   36.26   1.40  18.43
dm-18             0.00     0.00    0.09  131.28     0.00     1.07    16.80     8.13   61.86   14.90   61.89   1.42  18.63
sdak              0.00     0.00    0.20    6.38     0.00     0.29    90.61     0.15   23.39    9.65   23.83  12.39   8.15
dm-19             0.00     0.00    0.08    6.38     0.00     0.29    92.21     0.15   23.88    9.31   24.06  12.57   8.12

02/12/2020 02:55:48 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.22    0.00    4.07    0.06    0.00   92.64

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdd               0.00     0.00    4.33    2.33     0.00     0.00     1.70     0.01    1.35    0.23    3.43   1.35   0.90
sda               0.00     0.00    0.00    5.00     0.00     0.03    11.73     0.02    3.73    0.00    3.73   2.00   1.00
sdc               0.00     0.00    0.00   24.67     0.00     0.16    13.41     0.82   33.11    0.00   33.11   1.93   4.77
sdf               0.00     0.00    1.00    0.67     0.01     0.01    27.20     0.00    1.40    0.33    3.00   1.40   0.23
sdg               0.00     0.00    1.00    6.33     0.00     0.01     2.23     0.03    3.55    0.00    4.11   2.73   2.00
sde               0.00     0.00    0.67   11.33     0.00     0.03     4.75     0.05    3.81    0.00    4.03   2.92   3.50
sdi               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdj               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.00    2.00    0.00    4.00   2.00   0.13
sdk               0.00     0.00    3.00    0.67     0.04     0.01    29.82     0.00    0.64    0.00    3.50   0.64   0.23
sdl               0.00     0.00    3.67    0.00     0.05     0.00    29.82     0.00    0.18    0.18    0.00   0.18   0.07
sdm               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
sdh               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdo               0.00     0.00    4.00    0.00     0.06     0.00    30.00     0.00    0.17    0.17    0.00   0.17   0.07
sdp               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.00    2.50    2.00    3.00   2.50   0.17
sdr               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.00    3.00    3.00    3.00   3.00   0.20
sdq               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.00    3.50    3.00    4.00   3.50   0.23
sdn               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00   24.67     0.00     0.16    13.41     0.82   33.09    0.00   33.09   1.92   4.73
sds               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdt               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdu               0.00     0.00    2.33    1.00     0.00     0.00     1.70     0.01    2.10    1.14    4.33   2.10   0.70
dm-3              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    2.22    1.17    4.33   2.22   0.67
sdv               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdw               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
