Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/14/2020 	_x86_64_	(32 CPU)

02/14/2020 08:33:13 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.97    0.00    2.61    1.32    0.00   94.10

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdd               0.00     0.00   36.27    2.37     0.14     0.01     7.87     0.01    0.33    0.11    3.64   0.31   1.19
sdc               0.00     0.04    0.38   20.61     0.01     0.15    15.61     0.27   12.82    3.76   12.98   1.51   3.16
sdb               0.00     0.00    0.00    0.00     0.00     0.00    56.15     0.00    0.16    0.16    0.00   0.10   0.00
sde               0.00     0.00   15.22    4.92     0.16     0.21    37.35     0.03    1.70    0.15    6.50   1.10   2.21
sdh               0.00     0.00  119.34   79.05     2.53     3.88    66.20     0.68    3.42    3.07    3.95   0.51  10.11
sdi               0.00     0.00  104.54   80.01     2.50     3.90    71.08     0.68    3.67    3.46    3.94   0.56  10.30
sdf               0.00     0.00   15.46    5.17     0.16     0.22    37.36     0.04    1.71    0.15    6.39   1.11   2.29
sdj               0.00     0.00  102.50   78.96     2.46     3.89    71.62     0.62    3.43    3.18    3.75   0.55   9.98
sdl               0.00     0.00  103.62   80.08     2.46     3.89    70.87     0.70    3.80    3.67    3.97   0.55  10.18
sdo               0.00     0.00  102.36   79.18     2.46     3.89    71.73     0.69    3.79    3.67    3.93   0.55   9.99
sdn               0.00     0.00  104.42   79.32     2.49     3.89    71.15     0.67    3.66    3.48    3.89   0.54  10.01
sdp               0.00     0.00   18.03    0.34     0.08     0.00     9.64     0.04    2.43    2.42    3.40   2.25   4.14
sdm               0.00     0.00  101.98   78.54     2.45     3.88    71.78     0.67    3.70    3.55    3.89   0.55   9.94
sdr               0.00     0.00   17.97    0.34     0.08     0.00     9.62     0.04    2.40    2.38    3.39   2.33   4.27
sdk               0.00     0.00  104.22   78.86     2.48     3.88    71.18     0.68    3.72    3.52    3.97   0.55  10.03
sdg               0.00     0.00   31.93    4.40     0.24     0.20    24.82     0.03    0.90    0.12    6.59   0.59   2.13
sdq               0.00     0.00   17.97    0.34     0.08     0.01     9.75     0.04    2.41    2.39    3.40   2.23   4.09
sda               0.00     0.03    0.45    6.70     0.01     0.05    15.95     0.20   28.46    3.91   30.11   3.52   2.52
dm-0              0.00     0.00    0.38   20.66     0.01     0.15    15.57     0.27   12.86    3.79   13.03   1.50   3.15
sds               0.00     0.00    0.16    0.00     0.00     0.00     8.00     0.00    1.49    1.49    0.00   1.49   0.02
dm-1              0.00     0.00    0.06    0.00     0.00     0.00     8.00     0.00    1.83    1.83    0.00   1.83   0.01
sdt               0.00     0.00    0.16    0.00     0.00     0.00     8.00     0.00    8.24    8.24    5.00   8.19   0.13
dm-2              0.00     0.00    0.06    0.00     0.00     0.00     8.00     0.00    4.02    4.02    5.00   4.02   0.02
sdu               0.00     0.00    0.69    0.00     0.00     0.00     8.00     0.00    1.09    1.09    0.00   1.09   0.08
dm-3              0.00     0.00    0.59    0.00     0.00     0.00     8.00     0.00    1.14    1.14    0.00   1.13   0.07
sdv               0.00     0.00    2.38    0.99     0.00     0.00     2.18     0.01    2.19    1.22    4.51   2.18   0.73
dm-4              0.00     0.00    2.27    0.99     0.00     0.00     1.99     0.01    2.35    1.34    4.67   2.34   0.76
sdw               0.00     0.00    0.22    0.00     0.00     0.00     6.15     0.00    6.41    6.41    3.00   6.37   0.14
dm-5              0.00     0.00    0.11    0.00     0.00     0.00     4.48     0.00    3.51    3.51    3.00   3.51   0.04
sdx               0.00     0.00    0.16    0.00     0.00     0.00     8.00     0.00    1.58    1.58    0.00   1.58   0.03
dm-6              0.00     0.00    0.06    0.00     0.00     0.00     8.00     0.00    1.80    1.80    0.00   1.80   0.01
sdy               0.00     0.00    0.16   34.02     0.00     2.06   123.35     0.46   13.53    2.26   13.58   1.44   4.92
dm-7              0.00     0.00    0.06   34.02     0.00     2.06   123.70     0.79   23.13    2.25   23.16   1.47   5.01
sdz               0.00     0.00    0.16   34.08     0.00     2.06   123.22     0.45   13.15    2.21   13.20   1.42   4.87
dm-8              0.00     0.00    0.06   34.08     0.00     2.06   123.57     0.78   22.71    2.42   22.75   1.45   4.96
sdaa              0.00     0.00    0.16   34.10     0.00     2.06   123.33     0.46   13.51    2.09   13.57   1.43   4.91
dm-9              0.00     0.00    0.06   34.10     0.00     2.06   123.68     0.80   23.28    2.54   23.32   1.46   5.00
sdab              0.00     0.00    0.16   34.16     0.00     2.05   122.61     0.52   15.10    2.27   15.16   1.47   5.03
dm-10             0.00     0.00    0.06   34.16     0.00     2.05   122.96     0.91   26.69    2.69   26.73   1.49   5.10
sdac              0.00     0.00    0.16   34.14     0.00     2.07   123.49     0.48   13.95    2.35   14.00   1.45   4.97
dm-11             0.00     0.00    0.06   34.14     0.00     2.07   123.84     0.81   23.71    2.64   23.74   1.47   5.04
sdad              0.00     0.00    0.16   34.08     0.00     2.06   123.22     0.46   13.38    2.37   13.43   1.41   4.84
dm-12             0.00     0.00    0.06   34.08     0.00     2.06   123.57     0.78   22.92    2.63   22.95   1.44   4.91
sdae              0.00     0.00    0.16   34.45     0.00     2.07   122.37     0.48   13.76    2.37   13.82   1.49   5.16
dm-13             0.00     0.00    0.06   34.45     0.00     2.07   122.72     0.84   24.45    2.55   24.49   1.51   5.22
sdaf              0.00     0.00    0.16    0.00     0.00     0.00     8.08     0.00    7.41    7.41    7.00   7.39   0.12
dm-14             0.00     0.00    0.06    0.00     0.00     0.00     8.00     0.00    4.39    4.39    7.00   4.39   0.03
sdag              0.00     0.00    2.38    0.99     0.00     0.00     2.24     0.01    2.29    1.36    4.53   2.26   0.76
