Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/14/2020 	_x86_64_	(32 CPU)

09:53:32 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:53:35 AM  all    3.22    0.00    4.25    0.11    0.00    0.26    0.00    0.00    0.00   92.17
09:53:35 AM    0    2.41    0.00    3.10    0.00    0.00    0.34    0.00    0.00    0.00   94.14
09:53:35 AM    1    2.39    0.00    4.44    0.00    0.00    0.00    0.00    0.00    0.00   93.17
09:53:35 AM    2    3.17    0.00    3.52    0.00    0.00    0.35    0.00    0.00    0.00   92.96
09:53:35 AM    3    3.44    0.00    6.87    0.00    0.00    0.00    0.00    0.00    0.00   89.69
09:53:35 AM    4    4.11    0.00    9.59    0.00    0.00    0.34    0.00    0.00    0.00   85.96
09:53:35 AM    5    3.74    0.00    5.44    0.34    0.00    0.34    0.00    0.00    0.00   90.14
09:53:35 AM    6    2.76    0.00    3.10    0.00    0.00    0.34    0.00    0.00    0.00   93.79
09:53:35 AM    7    3.38    0.00    5.74    0.00    0.00    1.01    0.00    0.00    0.00   89.86
09:53:35 AM    8    3.73    0.00    3.05    0.00    0.00    0.68    0.00    0.00    0.00   92.54
09:53:35 AM    9    3.39    0.00    6.10    0.00    0.00    0.34    0.00    0.00    0.00   90.17
09:53:35 AM   10    2.41    0.00    2.06    0.00    0.00    0.69    0.00    0.00    0.00   94.85
09:53:35 AM   11    3.05    0.00    6.10    0.34    0.00    0.34    0.00    0.00    0.00   90.17
09:53:35 AM   12    3.41    0.00    2.05    0.00    0.00    0.00    0.00    0.00    0.00   94.54
09:53:35 AM   13    5.10    0.00    5.78    0.00    0.00    0.00    0.00    0.00    0.00   89.12
09:53:35 AM   14    2.41    0.00    3.09    0.00    0.00    0.34    0.00    0.00    0.00   94.16
09:53:35 AM   15    5.03    0.00    7.05    0.00    0.00    0.00    0.00    0.00    0.00   87.92
09:53:35 AM   16    2.38    0.00    2.38    0.00    0.00    0.34    0.00    0.00    0.00   94.90
09:53:35 AM   17    3.70    0.00    5.72    0.00    0.00    0.00    0.00    0.00    0.00   90.57
09:53:35 AM   18    3.46    0.00    2.08    0.00    0.00    0.35    0.00    0.00    0.00   94.12
09:53:35 AM   19    3.70    0.00    5.39    0.00    0.00    0.00    0.00    0.00    0.00   90.91
09:53:35 AM   20    3.77    0.00    4.45    0.00    0.00    0.34    0.00    0.00    0.00   91.44
09:53:35 AM   21    2.35    0.00    4.03    0.34    0.00    0.34    0.00    0.00    0.00   92.95
09:53:35 AM   22    2.76    0.00    3.79    0.00    0.00    0.00    0.00    0.00    0.00   93.45
09:53:35 AM   23    3.69    0.00    5.03    0.00    0.00    0.34    0.00    0.00    0.00   90.94
09:53:35 AM   24    2.41    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   95.53
09:53:35 AM   25    2.70    0.00    4.73    0.00    0.00    0.00    0.00    0.00    0.00   92.57
09:53:35 AM   26    2.40    0.00    2.74    2.05    0.00    0.00    0.00    0.00    0.00   92.81
09:53:35 AM   27    3.68    0.00    4.35    0.00    0.00    0.33    0.00    0.00    0.00   91.64
09:53:35 AM   28    2.76    0.00    2.07    0.00    0.00    0.34    0.00    0.00    0.00   94.83
09:53:35 AM   29    2.69    0.00    4.38    0.00    0.00    0.00    0.00    0.00    0.00   92.93
09:53:35 AM   30    2.08    0.00    1.38    0.35    0.00    0.00    0.00    0.00    0.00   96.19
09:53:35 AM   31    3.38    0.00    4.73    0.00    0.00    0.34    0.00    0.00    0.00   91.55

09:53:35 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:53:38 AM  all    5.52    0.00    3.91    0.06    0.00    0.24    0.00    0.00    0.00   90.26
09:53:38 AM    0    2.74    0.00    2.40    0.00    0.00    0.34    0.00    0.00    0.00   94.52
09:53:38 AM    1    3.03    0.00    4.71    0.00    0.00    0.00    0.00    0.00    0.00   92.26
09:53:38 AM    2    1.76    0.00    4.23    0.00    0.00    0.35    0.00    0.00    0.00   93.66
09:53:38 AM    3    5.23    0.00    6.97    0.00    0.00    0.00    0.00    0.00    0.00   87.80
09:53:38 AM    4    2.07    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   96.90
09:53:38 AM    5   10.44    0.00    5.39    0.00    0.00    0.67    0.00    0.00    0.00   83.50
09:53:38 AM    6    3.07    0.00    2.73    0.00    0.00    0.34    0.00    0.00    0.00   93.86
09:53:38 AM    7    3.39    0.00    4.07    0.00    0.00    0.34    0.00    0.00    0.00   92.20
09:53:38 AM    8    3.42    0.00    4.45    0.00    0.00    0.68    0.00    0.00    0.00   91.44
09:53:38 AM    9    6.10    0.00    3.73    0.00    0.00    0.34    0.00    0.00    0.00   89.83
09:53:38 AM   10    3.75    0.00    2.39    0.00    0.00    0.34    0.00    0.00    0.00   93.52
09:53:38 AM   11   11.11    0.00    6.40    0.67    0.00    0.67    0.00    0.00    0.00   81.14
09:53:38 AM   12   14.58    0.00    3.39    0.00    0.00    0.34    0.00    0.00    0.00   81.69
09:53:38 AM   13    2.35    0.00    3.69    0.00    0.00    0.34    0.00    0.00    0.00   93.62
09:53:38 AM   14    2.40    0.00    2.05    0.00    0.00    0.34    0.00    0.00    0.00   95.21
09:53:38 AM   15    4.38    0.00    5.39    0.00    0.00    0.34    0.00    0.00    0.00   89.90
09:53:38 AM   16    2.77    0.00    2.77    0.00    0.00    0.35    0.00    0.00    0.00   94.12
09:53:38 AM   17    3.02    0.00    4.03    0.00    0.00    0.34    0.00    0.00    0.00   92.62
09:53:38 AM   18    4.12    0.00    2.75    0.00    0.00    0.34    0.00    0.00    0.00   92.78
09:53:38 AM   19   17.51    0.00    5.39    0.00    0.00    0.00    0.00    0.00    0.00   77.10
09:53:38 AM   20   10.58    0.00    3.41    0.00    0.00    0.34    0.00    0.00    0.00   85.67
09:53:38 AM   21    2.03    0.00    2.70    0.34    0.00    0.00    0.00    0.00    0.00   94.93
09:53:38 AM   22    5.08    0.00    4.75    0.34    0.00    0.34    0.00    0.00    0.00   89.49
09:53:38 AM   23    2.69    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   93.27
09:53:38 AM   24    4.10    0.00    3.41    0.00    0.00    0.00    0.00    0.00    0.00   92.49
09:53:38 AM   25   10.47    0.00    6.08    0.00    0.00    0.34    0.00    0.00    0.00   83.11
09:53:38 AM   26    3.07    0.00    2.73    0.68    0.00    0.34    0.00    0.00    0.00   93.17
09:53:38 AM   27    3.70    0.00    4.71    0.00    0.00    0.00    0.00    0.00    0.00   91.58
09:53:38 AM   28    2.05    0.00    2.05    0.00    0.00    0.34    0.00    0.00    0.00   95.55
09:53:38 AM   29    4.03    0.00    4.36    0.00    0.00    0.34    0.00    0.00    0.00   91.28
09:53:38 AM   30    3.42    0.00    2.05    0.34    0.00    0.00    0.00    0.00    0.00   94.18
09:53:38 AM   31   18.58    0.00    6.42    0.00    0.00    0.00    0.00    0.00    0.00   75.00

09:53:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:53:41 AM  all    2.85    0.00    3.54    0.06    0.00    0.24    0.00    0.00    0.00   93.30
09:53:41 AM    0    2.08    0.00    2.77    0.00    0.00    0.35    0.00    0.00    0.00   94.81
09:53:41 AM    1    2.74    0.00    4.45    0.00    0.00    0.00    0.00    0.00    0.00   92.81
09:53:41 AM    2    2.10    0.00    3.85    0.00    0.00    0.35    0.00    0.00    0.00   93.71
09:53:41 AM    3    2.78    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   92.01
09:53:41 AM    4    2.08    0.00    7.61    0.00    0.00    0.00    0.00    0.00    0.00   90.31
09:53:41 AM    5    3.39    0.00    4.75    0.00    0.00    0.34    0.00    0.00    0.00   91.53
