Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/15/2020 	_x86_64_	(64 CPU)

02/15/2020 05:53:25 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.29    0.00    2.20    0.60    0.00   95.92

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00    0.00     0.00     0.00    56.15     0.00    0.15    0.15    0.00   0.12   0.00
sdd               0.00     0.00   36.16    2.37     0.15     0.00     8.17     0.02    0.41    0.22    3.34   0.35   1.34
sdf               0.00     0.00   15.68    7.49     0.07     0.56    55.47     0.05    2.31    0.17    6.79   1.22   2.83
sde               0.00     0.00   14.91    7.23     0.06     0.55    56.62     0.06    2.57    0.17    7.51   1.32   2.92
sdg               0.00     0.00   31.72    6.80     0.14     0.55    36.62     0.05    1.38    0.15    7.12   0.73   2.80
sdc               0.01     0.06    1.18   20.82     0.05     0.20    22.55     0.38   17.41    3.55   18.20   1.60   3.52
sdh               0.00     0.00  222.05  108.02     2.10    15.89   111.59     0.87    2.63    1.30    5.37   0.34  11.08
sdi               0.00     0.00  236.63  108.81     2.16    15.91   107.12     0.92    2.67    1.33    5.59   0.33  11.23
sdj               0.00     0.00  221.91  108.23     2.09    15.89   111.52     0.92    2.78    1.53    5.36   0.33  10.88
sdk               0.00     0.00  222.96  107.87     2.11    15.89   111.46     0.96    2.90    1.63    5.53   0.34  11.19
sdl               0.00     0.00  222.83  107.88     2.11    15.90   111.53     0.99    3.00    1.74    5.61   0.33  11.00
sdm               0.00     0.00  220.56  108.28     2.08    15.90   111.99     0.84    2.54    1.18    5.32   0.33  10.82
sdn               0.00     0.00  221.05  107.84     2.08    15.89   111.93     1.02    3.09    1.85    5.65   0.34  11.02
sdo               0.00     0.00  221.67  108.09     2.09    15.91   111.78     1.05    3.17    1.97    5.64   0.33  10.81
sdp               0.00     0.00   17.88    0.34     0.09     0.00    10.27     0.04    2.43    2.41    3.34   2.25   4.09
sdq               0.00     0.00   17.91    0.34     0.09     0.00    10.06     0.05    2.50    2.48    3.45   2.32   4.23
