Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/15/2020 	_x86_64_	(64 CPU)

05:53:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:53:28 PM  all    1.94    0.00    2.50    1.15    0.00    0.22    0.00    0.00    0.00   94.20
05:53:28 PM    0    3.86    0.00    3.51    1.40    0.00    0.35    0.00    0.00    0.00   90.88
05:53:28 PM    1    0.34    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.63
05:53:28 PM    2    1.39    0.00    3.83    1.05    0.00    0.35    0.00    0.00    0.00   93.38
05:53:28 PM    3    2.36    0.00    5.74    0.00    0.00    0.00    0.00    0.00    0.00   91.89
05:53:28 PM    4    0.68    0.00    1.37    1.37    0.00    2.39    0.00    0.00    0.00   94.20
05:53:28 PM    5    2.03    0.00    2.70    0.00    0.00    0.34    0.00    0.00    0.00   94.93
05:53:28 PM    6    1.70    0.00    1.70    1.36    0.00    0.34    0.00    0.00    0.00   94.90
05:53:28 PM    7    1.69    0.00    2.36    0.68    0.00    0.00    0.00    0.00    0.00   95.27
05:53:28 PM    8    2.41    0.00    1.72    0.00    0.00    0.00    0.00    0.00    0.00   95.86
05:53:28 PM    9    1.68    0.00    3.36    0.00    0.00    0.34    0.00    0.00    0.00   94.63
05:53:28 PM   10    2.71    0.00    2.37    0.00    0.00    0.34    0.00    0.00    0.00   94.58
05:53:28 PM   11    1.34    0.00    2.35    0.00    0.00    0.34    0.00    0.00    0.00   95.97
05:53:28 PM   12    2.03    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   96.61
05:53:28 PM   13    1.01    0.00    1.68    0.00    0.00    0.00    0.00    0.00    0.00   97.32
05:53:28 PM   14    1.36    0.00    1.36    0.34    0.00    0.00    0.00    0.00    0.00   96.94
05:53:28 PM   15    0.67    0.00    1.35    0.00    0.00    0.00    0.00    0.00    0.00   97.98
05:53:28 PM   16    1.02    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   98.29
05:53:28 PM   17    2.01    0.00    3.68    0.00    0.00    0.00    0.00    0.00    0.00   94.31
05:53:28 PM   18    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.95
05:53:28 PM   19    2.69    0.00    2.36    0.34    0.00    0.34    0.00    0.00    0.00   94.28
05:53:28 PM   20    2.05    0.00    1.37    0.00    0.00    0.34    0.00    0.00    0.00   96.25
05:53:28 PM   21    1.00    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   97.67
05:53:28 PM   22    3.78    0.00    1.37    0.00    0.00    0.34    0.00    0.00    0.00   94.50
05:53:28 PM   23    1.34    0.00    1.67    0.00    0.00    0.33    0.00    0.00    0.00   96.66
05:53:28 PM   24    4.08    0.00    5.10    0.00    0.00    0.34    0.00    0.00    0.00   90.48
05:53:28 PM   25    1.68    0.00    3.37    0.00    0.00    0.00    0.00    0.00    0.00   94.95
05:53:28 PM   26    2.36    0.00    1.69    0.00    0.00    0.34    0.00    0.00    0.00   95.61
05:53:28 PM   27    1.35    0.00    2.36    0.34    0.00    0.00    0.00    0.00    0.00   95.95
05:53:28 PM   28    3.10    0.00    2.41    0.69    0.00    0.00    0.00    0.00    0.00   93.79
05:53:28 PM   29    0.68    0.00    1.01    0.68    0.00    0.00    0.00    0.00    0.00   97.64
05:53:28 PM   30    2.36    0.00    2.03    0.68    0.00    0.00    0.00    0.00    0.00   94.93
05:53:28 PM   31    0.34    0.00    1.36   22.79    0.00    0.00    0.00    0.00    0.00   75.51
05:53:28 PM   32    1.03    0.00    1.03    0.34    0.00    0.69    0.00    0.00    0.00   96.91
05:53:28 PM   33    1.34    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   97.32
05:53:28 PM   34    0.68    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   97.96
05:53:28 PM   35    4.42    0.00    8.84    0.34    0.00    0.00    0.00    0.00    0.00   86.39
05:53:28 PM   36    2.04    0.00    0.68    0.34    0.00    0.00    0.00    0.00    0.00   96.94
05:53:28 PM   37    2.39    0.00    5.46    0.00    0.00    0.00    0.00    0.00    0.00   92.15
05:53:28 PM   38    1.71    0.00    1.37    0.00    0.00    0.00    0.00    0.00    0.00   96.92
05:53:28 PM   39    3.05    0.00    5.42    0.00    0.00    0.00    0.00    0.00    0.00   91.53
05:53:28 PM   40    2.08    0.00    3.82    1.74    0.00    0.00    0.00    0.00    0.00   92.36
05:53:28 PM   41    2.05    0.00    8.53    1.37    0.00    0.34    0.00    0.00    0.00   87.71
05:53:28 PM   42    1.37    0.00    2.05    2.39    0.00    0.00    0.00    0.00    0.00   94.20
05:53:28 PM   43    1.34    0.00    3.01    1.00    0.00    0.33    0.00    0.00    0.00   94.31
05:53:28 PM   44    0.68    0.00    1.70    2.04    0.00    0.00    0.00    0.00    0.00   95.58
05:53:28 PM   45    2.70    0.00    3.38    1.01    0.00    0.34    0.00    0.00    0.00   92.57
05:53:28 PM   46    1.36    0.00    1.70    3.40    0.00    0.34    0.00    0.00    0.00   93.20
05:53:28 PM   47    1.34    0.00    3.36    0.00    0.00    0.00    0.00    0.00    0.00   95.30
05:53:28 PM   48    4.76    0.00    2.72    3.06    0.00    0.34    0.00    0.00    0.00   89.12
05:53:28 PM   49    1.01    0.00    2.36    1.01    0.00    0.00    0.00    0.00    0.00   95.62
05:53:28 PM   50    4.44    0.00    2.39    8.53    0.00    0.00    0.00    0.00    0.00   84.64
05:53:28 PM   51    2.03    0.00    3.04    0.00    0.00    0.34    0.00    0.00    0.00   94.59
05:53:28 PM   52    1.71    0.00    1.37    1.03    0.00    0.34    0.00    0.00    0.00   95.55
05:53:28 PM   53    2.70    0.00    3.04    0.00    0.00    0.34    0.00    0.00    0.00   93.92
05:53:28 PM   54    2.70    0.00    2.36    6.42    0.00    0.68    0.00    0.00    0.00   87.84
05:53:28 PM   55    2.01    0.00    3.36    0.67    0.00    0.67    0.00    0.00    0.00   93.29
05:53:28 PM   56    1.73    0.00    1.38    1.73    0.00    0.00    0.00    0.00    0.00   95.16
05:53:28 PM   57    3.03    0.00    2.69    0.00    0.00    0.34    0.00    0.00    0.00   93.94
05:53:28 PM   58    2.37    0.00    2.37    3.05    0.00    0.68    0.00    0.00    0.00   91.53
05:53:28 PM   59    1.35    0.00    1.68    0.00    0.00    0.00    0.00    0.00    0.00   96.97
05:53:28 PM   60    1.35    0.00    1.69    1.01    0.00    0.34    0.00    0.00    0.00   95.61
05:53:28 PM   61    1.69    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   96.28
05:53:28 PM   62    1.71    0.00    2.05    1.03    0.00    0.34    0.00    0.00    0.00   94.86
05:53:28 PM   63    1.68    0.00    1.34    0.67    0.00    0.34    0.00    0.00    0.00   95.97

05:53:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:53:31 PM  all    2.13    0.00    2.55    0.05    0.00    0.11    0.00    0.00    0.00   95.16
05:53:31 PM    0    2.46    0.00    2.11    0.35    0.00    0.35    0.00    0.00    0.00   94.72
05:53:31 PM    1    0.69    0.00    1.72    0.00    0.00    0.00    0.00    0.00    0.00   97.59
05:53:31 PM    2    1.03    0.00    1.71    0.34    0.00    0.34    0.00    0.00    0.00   96.58
05:53:31 PM    3    2.69    0.00    4.38    0.00    0.00    0.00    0.00    0.00    0.00   92.93
05:53:31 PM    4    1.36    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   97.28
05:53:31 PM    5    1.35    0.00    3.72    0.00    0.00    0.00    0.00    0.00    0.00   94.93
05:53:31 PM    6    1.37    0.00    1.37    0.68    0.00    0.00    0.00    0.00    0.00   96.59
05:53:31 PM    7    1.68    0.00    3.03    0.00    0.00    0.34    0.00    0.00    0.00   94.95
05:53:31 PM    8    1.36    0.00    1.69    0.34    0.00    0.34    0.00    0.00    0.00   96.27
05:53:31 PM    9    1.01    0.00    1.34    0.00    0.00    0.34    0.00    0.00    0.00   97.32
05:53:31 PM   10    1.70    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   96.94
05:53:31 PM   11    0.67    0.00    1.35    0.00    0.00    0.34    0.00    0.00    0.00   97.64
05:53:31 PM   12    2.03    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   95.93
05:53:31 PM   13    0.34    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.65
05:53:31 PM   14    1.71    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.27
05:53:31 PM   15    1.33    0.00    2.67    0.00    0.00    0.00    0.00    0.00    0.00   96.00
05:53:31 PM   16    1.70    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   96.94
05:53:31 PM   17    1.35    0.00    3.37    0.00    0.00    0.00    0.00    0.00    0.00   95.29
05:53:31 PM   18    1.02    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   97.27
05:53:31 PM   19    2.35    0.00    2.35    0.00    0.00    0.00    0.00    0.00    0.00   95.30
05:53:31 PM   20    1.70    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   96.94
05:53:31 PM   21    1.34    0.00    2.34    0.00    0.00    0.33    0.00    0.00    0.00   95.99
05:53:31 PM   22    1.36    0.00    1.02    0.00    0.00    0.34    0.00    0.00    0.00   97.28
05:53:31 PM   23    1.34    0.00    2.35    0.00    0.00    0.00    0.00    0.00    0.00   96.31
05:53:31 PM   24    1.70    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   96.94
05:53:31 PM   25    1.69    0.00    2.36    0.00    0.00    0.00    0.00    0.00    0.00   95.95
05:53:31 PM   26    2.38    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   96.26
05:53:31 PM   27    1.35    0.00    1.68    0.00    0.00    0.34    0.00    0.00    0.00   96.63
05:53:31 PM   28   40.20    0.00   38.21    0.00    0.00    0.33    0.00    0.00    0.00   21.26
05:53:31 PM   29    1.34    0.00    1.01    0.00    0.00    0.34    0.00    0.00    0.00   97.32
05:53:31 PM   30    1.69    0.00    1.36    0.00    0.00    0.34    0.00    0.00    0.00   96.61
05:53:31 PM   31    1.33    0.00    1.33    0.00    0.00    0.33    0.00    0.00    0.00   97.00
05:53:31 PM   32    2.05    0.00    1.02    0.34    0.00    0.34    0.00    0.00    0.00   96.25
05:53:31 PM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:31 PM   34    1.37    0.00    0.34    0.00    0.00    0.34    0.00    0.00    0.00   97.95
05:53:31 PM   35    3.03    0.00    5.72    0.67    0.00    0.00    0.00    0.00    0.00   90.57
05:53:31 PM   36    0.68    0.00    0.68    0.00    0.00    0.34    0.00    0.00    0.00   98.30
05:53:31 PM   37    3.39    0.00    5.76    0.00    0.00    0.00    0.00    0.00    0.00   90.85
05:53:31 PM   38    0.68    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.30
05:53:31 PM   39    2.35    0.00    4.36    0.00    0.00    0.00    0.00    0.00    0.00   93.29
05:53:31 PM   40    0.68    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   97.96
05:53:31 PM   41    3.40    0.00    9.86    0.00    0.00    0.00    0.00    0.00    0.00   86.73
05:53:31 PM   42    0.34    0.00    1.37    0.00    0.00    0.00    0.00    0.00    0.00   98.29
05:53:31 PM   43    1.68    0.00    3.36    0.00    0.00    0.00    0.00    0.00    0.00   94.97
05:53:31 PM   44    1.37    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.60
05:53:31 PM   45    1.33    0.00    2.33    0.00    0.00    0.33    0.00    0.00    0.00   96.00
05:53:31 PM   46    1.36    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.62
05:53:31 PM   47    2.03    0.00    3.72    0.00    0.00    0.00    0.00    0.00    0.00   94.26
05:53:31 PM   48    1.36    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   97.97
05:53:31 PM   49    1.34    0.00    2.34    0.00    0.00    0.00    0.00    0.00    0.00   96.32
05:53:31 PM   50    0.34    0.00    0.34    0.00    0.00    0.34    0.00    0.00    0.00   98.98
05:53:31 PM   51    2.02    0.00    3.03    0.00    0.00    0.34    0.00    0.00    0.00   94.61
05:53:31 PM   52    2.03    0.00    1.36    0.00    0.00    0.34    0.00    0.00    0.00   96.27
05:53:31 PM   53    2.36    0.00    3.38    0.00    0.00    0.00    0.00    0.00    0.00   94.26
05:53:31 PM   54    2.03    0.00    1.69    0.00    0.00    0.00    0.00    0.00    0.00   96.27
05:53:31 PM   55    1.69    0.00    1.35    0.00    0.00    0.34    0.00    0.00    0.00   96.62
05:53:31 PM   56    1.37    0.00    1.37    0.00    0.00    0.34    0.00    0.00    0.00   96.93
05:53:31 PM   57    1.01    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   97.65
05:53:31 PM   58    1.69    0.00    1.01    0.00    0.00    0.34    0.00    0.00    0.00   96.96
05:53:31 PM   59    1.68    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.65
05:53:31 PM   60    1.69    0.00    1.36    0.34    0.00    0.00    0.00    0.00    0.00   96.61
05:53:31 PM   61    1.34    0.00    0.34    0.00    0.00    0.34    0.00    0.00    0.00   97.99
05:53:31 PM   62    1.71    0.00    1.37    0.68    0.00    0.00    0.00    0.00    0.00   96.25
05:53:31 PM   63    1.01    0.00    0.68    0.34    0.00    0.00    0.00    0.00    0.00   97.97

05:53:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:53:34 PM  all    0.88    0.00    1.16    0.04    0.00    0.06    0.00    0.00    0.00   97.86
05:53:34 PM    0    4.47    0.00    3.09    0.00    0.00    0.34    0.00    0.00    0.00   92.10
05:53:34 PM    1    0.00    0.00    2.10    0.00    0.00    0.00    0.00    0.00    0.00   97.90
05:53:34 PM    2    1.37    0.00    2.41    0.00    0.00    0.00    0.00    0.00    0.00   96.22
05:53:34 PM    3    1.72    0.00    4.47    0.00    0.00    0.00    0.00    0.00    0.00   93.81
05:53:34 PM    4    0.68    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   98.63
05:53:34 PM    5    0.67    0.00    1.34    0.00    0.00    0.34    0.00    0.00    0.00   97.65
05:53:34 PM    6    1.04    0.00    1.74    0.00    0.00    0.00    0.00    0.00    0.00   97.22
05:53:34 PM    7    0.67    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   97.99
05:53:34 PM    8    0.68    0.00    0.68    0.68    0.00    0.00    0.00    0.00    0.00   97.95
05:53:34 PM    9    0.34    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.66
05:53:34 PM   10    1.02    0.00    1.02    0.00    0.00    0.34    0.00    0.00    0.00   97.63
05:53:34 PM   11    0.67    0.00    1.35    0.00    0.00    0.00    0.00    0.00    0.00   97.98
05:53:34 PM   12    1.36    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.63
05:53:34 PM   13    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
05:53:34 PM   14    0.34    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   98.98
05:53:34 PM   15    0.67    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00   97.67
05:53:34 PM   16    1.02    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   98.30
05:53:34 PM   17    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.99
05:53:34 PM   18    1.02    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   98.31
05:53:34 PM   19    0.67    0.00    1.34    0.00    0.00    0.33    0.00    0.00    0.00   97.66
05:53:34 PM   20    1.01    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   98.65
05:53:34 PM   21    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.99
05:53:34 PM   22    1.03    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   98.63
