procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 7  2      0 214186752  37652 5754180    0    0   288  4143   14   17  1  2 96  1  0 2020-02-15 17:53:25
 2  0      0 213642960  37624 5754384    0    0  7118   230 7334 28942  2  3 94  1  0 2020-02-15 17:53:28
 1  0      0 212885136  37624 5755524    0    0    41   334 4406 22565  2  3 95  0  0 2020-02-15 17:53:31
 1  0      0 212499696  37624 5755752    0    0    63   260 3028 20016  1  1 98  0  0 2020-02-15 17:53:34
 1  0      0 212488576  37624 5756696    0    0   188   237 2687 19055  2  1 97  0  0 2020-02-15 17:53:37
 8  0      0 212203808  37624 5757296    0    0   189 80724 42149 48194  5  6 89  0  0 2020-02-15 17:53:40
19  0      0 212147936  37624 5757720    0    0  2277 59878 46709 74286  5  8 87  0  0 2020-02-15 17:53:43
14  5      0 212114144  37624 5759596    0    0 26947 29741 56031 200757 10 11 77  2  0 2020-02-15 17:53:46
16  4      0 212103616  37624 5761868    0    0 144526 93516 65190 103397 10 12 75  3  0 2020-02-15 17:53:49
 8  0      0 212099760  37624 5761992    0    0 153065 127222 62716 77384  2  9 85  4  0 2020-02-15 17:53:52
12  1      0 211946800  37624 5761616    0    0 188168 78583 52973 67900  4  9 83  5  0 2020-02-15 17:53:55
23  5      0 212102256  37624 5762152    0    0 211501 59926 51658 67253  3  8 87  2  0 2020-02-15 17:53:58
 6  1      0 212104496  37624 5762448    0    0 344745 45552 57365 73958  3  8 88  2  0 2020-02-15 17:54:01
15  7      0 212109600  37624 5762456    0    0 330551 42480 56983 74206  3  8 87  2  0 2020-02-15 17:54:04
10  0      0 212091664  37624 5770712    0    0 333649 46633 61725 84472  5 12 77  6  0 2020-02-15 17:54:07
12  1      0 212069440  37624 5771236    0    0 215538 58527 56268 69020  3  9 86  3  0 2020-02-15 17:54:10
 2  0      0 212076512  37624 5771160    0    0 130000 52127 45490 54489  2  6 91  1  0 2020-02-15 17:54:13
10  3      0 212076912  37624 5771108    0    0 225920 78808 53226 68366  4 10 82  4  0 2020-02-15 17:54:16
21  2      0 212078256  37624 5770940    0    0 241721 73690 54235 67567  3  9 87  2  0 2020-02-15 17:54:19
 2  0      0 212077120  37624 5771180    0    0 233902 59576 51175 65379  3  8 87  2  0 2020-02-15 17:54:22
 9  0      0 211900048  37624 5771204    0    0 178163 58729 52415 61071  3  8 88  1  0 2020-02-15 17:54:25
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 6  1      0 212068192  37624 5771308    0    0 240631 54378 54243 70921  3  8 86  3  0 2020-02-15 17:54:28
 8  4      0 212076512  37624 5771400    0    0 378705 66431 65527 83596  3  9 85  2  0 2020-02-15 17:54:31
 9  4      0 212072000  37624 5771444    0    0 243809 59879 54769 68767  2  7 89  2  0 2020-02-15 17:54:34
 0  0      0 212075408  37624 5771468    0    0 304993 63236 63739 83179  5 11 81  3  0 2020-02-15 17:54:37
 7  0      0 212075120  37624 5771908    0    0 252765 77125 61363 73550  3  9 85  3  0 2020-02-15 17:54:40
17  2      0 212076064  37624 5771796    0    0 322752 82650 67078 82718  3 10 84  3  0 2020-02-15 17:54:43
27 12      0 212065600  37624 5771200    0    0 224019 57591 55236 70876  4  8 86  3  0 2020-02-15 17:54:46
18  2      0 212071872  37624 5771988    0    0 313487 55858 59145 73225  3  9 86  2  0 2020-02-15 17:54:49
 4  1      0 212073200  37624 5771984    0    0 279079 52340 58145 72923  3  9 85  3  0 2020-02-15 17:54:52
11  0      0 211950336  37624 5772004    0    0 274699 65792 61438 73056  4  9 84  2  0 2020-02-15 17:54:55
13  5      0 212080528  37624 5771996    0    0 228579 73708 57955 73961  3  9 85  3  0 2020-02-15 17:54:58
 1  0      0 212077568  37624 5772020    0    0 286839 74837 63228 78336  3 11 83  4  0 2020-02-15 17:55:01
 2  0      0 212077648  37624 5772060    0    0 223388 64715 54688 67881  2  8 86  3  0 2020-02-15 17:55:04
 8  3      0 212064368  37624 5772532    0    0 385561 74426 69899 93248  6 14 73  7  0 2020-02-15 17:55:07
 3  0      0 212048128  37624 5772972    0    0 265052 59379 59897 73798  3  9 86  3  0 2020-02-15 17:55:10
 4  0      0 212060048  37624 5772832    0    0 258648 56855 56031 70561  3  9 86  3  0 2020-02-15 17:55:13
17  1      0 212064688  37624 5772868    0    0 186067 61342 54239 63817  3  7 88  1  0 2020-02-15 17:55:16
 9  0      0 212060864  37624 5772876    0    0 261409 53208 54638 68679  3  9 86  3  0 2020-02-15 17:55:19
 0  0      0 212061264  37624 5773100    0    0 338283 58217 60546 78103  3 11 81  4  0 2020-02-15 17:55:22
 9  1      0 211876352  37652 5773132    0    0 289511 55719 57277 72081  4 10 83  3  0 2020-02-15 17:55:25
18 42      0 212053888  37624 5773240    0    0 328584 73733 64972 84949  4 11 81  4  0 2020-02-15 17:55:28
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
28 16      0 212090176  37624 5773220    0    0 284116 63572 55877 74243  3 10 83  4  0 2020-02-15 17:55:31
17  6      0 212092928  37624 5773208    0    0 292441 76287 61623 77815  3  9 86  3  0 2020-02-15 17:55:34
 7  1      0 212092544  37624 5773228    0    0 209215 53267 51586 66444  4  8 86  2  0 2020-02-15 17:55:37
 3  1      0 212089792  37624 5773652    0    0 263909 70692 57882 71817  3  9 87  2  0 2020-02-15 17:55:40
 3  0      0 212095104  37624 5773472    0    0 323392 60012 62817 78286  3  9 85  3  0 2020-02-15 17:55:43
 3  0      0 212091264  37624 5772672    0    0 282280 63348 59320 78268  4 10 82  4  0 2020-02-15 17:55:46
 5  0      0 212093488  37624 5773592    0    0 211748 53618 49876 62860  2  8 88  2  0 2020-02-15 17:55:49
 0  0      0 212096592  37624 5773620    0    0 259761 62506 56537 70549  2  8 88  2  0 2020-02-15 17:55:52
12  2      0 211962736  37624 5773648    0    0 255227 61680 58529 71496  4  9 85  2  0 2020-02-15 17:55:55
 8  1      0 212074112  37624 5773580    0    0 287645 73685 63946 79783  4 10 83  3  0 2020-02-15 17:55:58
 0  0      0 212072656  37624 5773624    0    0 305047 65210 61619 78962  3  9 85  3  0 2020-02-15 17:56:01
 1  0      0 212070000  37624 5773692    0    0 310468 72798 61966 77089  3 10 85  3  0 2020-02-15 17:56:04
 9  1      0 212064864  37624 5773944    0    0 261988 61505 59712 76581  4 10 83  3  0 2020-02-15 17:56:07
 5  1      0 212050592  37624 5774376    0    0 336927 60742 64140 78206  3 10 85  3  0 2020-02-15 17:56:10
 6  0      0 212064448  37624 5774568    0    0 315960 62056 62263 76508  3 10 85  3  0 2020-02-15 17:56:13
 8  0      0 212068864  37624 5774556    0    0 323677 78840 68136 83775  5 11 81  4  0 2020-02-15 17:56:16
 9  0      0 212065632  37624 5774520    0    0 186573 69689 55725 67275  2  8 87  4  0 2020-02-15 17:56:19
 0  0      0 212066880  37624 5774548    0    0 264064 67821 59163 72577  2  8 87  2  0 2020-02-15 17:56:22
19  5      0 211888800  37652 5774520    0    0 256684 56215 55625 69429  4  8 86  2  0 2020-02-15 17:56:25
17  4      0 212065968  37624 5774996    0    0 333272 73736 64526 85136  4 12 79  5  0 2020-02-15 17:56:28
 3  0      0 212064896  37624 5774996    0    0 312815 63011 62855 77991  3 10 85  3  0 2020-02-15 17:56:31
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 0  0      0 212066784  37624 5775012    0    0 215332 54224 50455 62354  2  7 88  2  0 2020-02-15 17:56:34
 2  0      0 212069184  37624 5775064    0    0 217871 47896 52742 65336  4  9 84  3  0 2020-02-15 17:56:37
 9  0      0 212061680  37624 5775500    0    0 314469 67246 63182 79394  3  9 85  3  0 2020-02-15 17:56:40
15  4      0 212066768  37624 5775372    0    0 285786 70752 58485 75085  3  8 87  3  0 2020-02-15 17:56:43
 4  0      0 212061472  37624 5774624    0    0 281718 73084 60924 79501  4 10 81  5  0 2020-02-15 17:56:46
 4  0      0 212062624  37624 5775516    0    0 148921 51487 49283 57663  2  7 90  2  0 2020-02-15 17:56:49
 1  0      0 212066240  37624 5775564    0    0 260271 58833 57510 70570  2  8 86  3  0 2020-02-15 17:56:52
