Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/10/2020 	_x86_64_	(8 CPU)

02/10/2020 11:20:39 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           6.00    0.00    6.17    6.54    0.00   81.29

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00    0.00     0.00     0.00    56.45     0.00    0.23    0.23    0.00   0.19   0.00
sdq               0.00     0.00   20.18    0.00     0.08     0.00     8.00     0.04    2.17    2.17    4.00   2.16   4.36
sdc               0.00     0.07    0.41   20.44     0.01     0.17    18.02     0.42   20.33    3.95   20.66   1.65   3.43
sdo               0.00     0.00   20.17    0.33     0.08     0.00     8.00     0.05    2.37    2.36    3.32   2.35   4.83
sdh               0.00     0.00   24.21    0.33     0.11     0.00     9.31     0.06    2.39    2.37    3.58   2.24   5.49
sdi               0.00     0.00  290.00   98.09     2.31     0.75    16.15     3.33    8.58    7.77   11.00   0.42  16.22
sdp               0.00     0.00   20.18    0.00     0.08     0.00     8.00     0.05    2.31    2.31    4.29   2.30   4.64
sdn               0.00     0.00   20.18    0.00     0.08     0.00     8.00     0.05    2.24    2.24    4.40   2.23   4.50
sdl               0.00     0.00   20.18    0.00     0.08     0.00     8.00     0.04    2.21    2.21    5.67   2.20   4.44
sdm               0.00     0.00   20.17    0.00     0.08     0.00     8.00     0.04    2.20    2.20    5.00   2.19   4.42
sdg               0.00     0.00   48.38    2.35     0.19     0.00     7.88     0.01    0.29    0.14    3.41   0.29   1.46
sdr               0.00     0.00   20.18    0.00     0.08     0.00     8.00     0.04    2.22    2.22    5.33   2.21   4.45
sde               0.00     0.00   20.35    6.68     0.08     0.04     9.09     0.03    1.14    0.15    4.18   0.85   2.30
sdd               0.00     0.00   20.20    5.80     0.08     0.03     8.40     0.03    1.06    0.15    4.21   0.76   1.97
sdj               0.00     0.00   24.29    0.33     0.11     0.00     9.30     0.06    2.41    2.39    3.42   2.26   5.55
sdf               0.00     0.00   43.44    5.76     0.19     0.03     8.86     0.03    0.62    0.13    4.27   0.46   2.25
sdk               0.00     0.00   24.21    0.00     0.11     0.00     9.32     0.05    2.20    2.20    5.67   2.17   5.25
sda               0.00     0.05    0.56    5.66     0.01     0.04    17.14     0.18   28.23    5.38   30.47   3.75   2.33
dm-0              0.00     0.00    0.42   20.51     0.01     0.17    17.95     0.43   20.48    3.97   20.82   1.64   3.42
sdt               0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    1.29    1.29    4.38   1.28   0.02
dm-1              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    1.45    1.45    4.50   1.45   0.01
sds               0.00     0.00    0.18    0.33     0.00     0.00     8.00     0.00    4.41    5.21    3.96   4.39   0.23
dm-2              0.00     0.00    0.08    0.33     0.00     0.00     8.00     0.00    4.24    5.04    4.04   4.24   0.17
sdu               0.00     0.00    0.26   50.67     0.00     0.39    15.58     0.60   11.74    4.62   11.77   0.96   4.91
dm-3              0.00     0.00    0.16   50.67     0.00     0.39    15.59     1.07   21.09    4.35   21.14   0.97   4.94
sdv               0.00     0.00    0.92    0.00     0.00     0.00     8.00     0.00    0.98    0.98    0.00   0.98   0.09
dm-4              0.00     0.00    0.82    0.00     0.00     0.00     8.00     0.00    1.01    1.01    0.00   1.01   0.08
sdw               0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    3.45    3.45    4.40   3.40   0.06
dm-5              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    3.41    3.41    4.40   3.41   0.03
sdx               0.00     0.00    2.45    0.99     0.00     0.00     2.45     0.01    2.24    1.32    4.51   2.23   0.77
dm-6              0.00     0.00    2.35    0.99     0.00     0.00     2.28     0.01    2.36    1.40    4.61   2.34   0.78
sdy               0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    1.46    1.46    5.57   1.45   0.03
dm-7              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    1.47    1.46    5.57   1.46   0.01
sdz               0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    3.30    3.30    3.67   3.25   0.06
dm-8              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    3.39    3.39    3.67   3.39   0.03
sdaa              0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    3.29    3.29    3.80   3.25   0.06
dm-9              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    3.42    3.42    4.20   3.41   0.03
sdab              0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    3.29    3.29    5.00   3.25   0.06
dm-10             0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    3.42    3.42    5.00   3.42   0.03
sdac              0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    3.31    3.31    7.33   3.27   0.06
dm-11             0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    3.40    3.40    7.33   3.40   0.03
sdad              0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    3.24    3.24    6.33   3.20   0.06
dm-12             0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    3.33    3.33    6.33   3.32   0.03
sdae              0.00     0.00    0.18    0.33     0.00     0.00     8.00     0.00    4.50    5.35    4.02   4.48   0.23
dm-13             0.00     0.00    0.08    0.33     0.00     0.00     8.00     0.00    4.38    5.51    4.10   4.37   0.18
sdaf              0.00     0.00    0.18    0.33     0.00     0.00     8.00     0.00    4.26    5.17    3.75   4.24   0.22
dm-14             0.00     0.00    0.08    0.33     0.00     0.00     8.00     0.00    4.12    5.29    3.83   4.11   0.17
sdag              0.00     0.00    2.46    1.35     0.00     0.00     3.11     0.01    1.90    0.81    3.88   1.89   0.72
dm-15             0.00     0.00    2.36    1.35     0.00     0.00     2.97     0.01    2.01    0.89    3.97   2.00   0.74
sdah              0.00     0.00    0.18    3.64     0.00     0.02    11.26     0.02    4.04    0.94    4.19   3.18   1.22
dm-16             0.00     0.00    0.08    3.64     0.00     0.02    11.35     0.02    4.25    1.08    4.32   3.32   1.24
sdai              0.00     0.00    0.18    3.05     0.00     0.01     9.37     0.01    4.10    0.96    4.28   3.04   0.98
