Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/10/2020 	_x86_64_	(8 CPU)

11:20:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:20:42 AM  all    8.26    0.00    7.66    0.35    0.00    0.74    0.00    0.00    0.00   82.99
11:20:42 AM    0   10.25    0.00   12.37    0.35    0.00    0.71    0.00    0.00    0.00   76.33
11:20:42 AM    1    5.19    0.00    6.92    0.35    0.00    0.35    0.00    0.00    0.00   87.20
11:20:42 AM    2    6.36    0.00    7.42    0.35    0.00    0.35    0.00    0.00    0.00   85.51
11:20:42 AM    3    7.96    0.00    7.96    0.35    0.00    1.04    0.00    0.00    0.00   82.70
11:20:42 AM    4   17.71    0.00    8.33    0.35    0.00    1.04    0.00    0.00    0.00   72.57
11:20:42 AM    5    7.53    0.00    5.48    0.00    0.00    1.71    0.00    0.00    0.00   85.27
11:20:42 AM    6    5.63    0.00    6.69    0.70    0.00    0.35    0.00    0.00    0.00   86.62
11:20:42 AM    7    5.80    0.00    5.80    0.68    0.00    0.34    0.00    0.00    0.00   87.37

11:20:42 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:20:45 AM  all    8.45    0.00    8.36    4.11    0.00    1.97    0.00    0.00    0.00   77.11
11:20:45 AM    0    4.27    0.00   11.03    5.69    0.00    1.07    0.00    0.00    0.00   77.94
11:20:45 AM    1    9.06    0.00    9.06    1.05    0.00    2.44    0.00    0.00    0.00   78.40
11:20:45 AM    2   16.20    0.00    9.15    4.23    0.00    2.11    0.00    0.00    0.00   68.31
11:20:45 AM    3    7.22    0.00    7.90    4.47    0.00    1.37    0.00    0.00    0.00   79.04
11:20:45 AM    4   10.95    0.00    8.48    3.53    0.00    2.83    0.00    0.00    0.00   74.20
11:20:45 AM    5    5.61    0.00    6.32    2.46    0.00    4.56    0.00    0.00    0.00   81.05
11:20:45 AM    6   10.14    0.00   10.14    4.20    0.00    1.40    0.00    0.00    0.00   74.13
11:20:45 AM    7    3.47    0.00    4.86    7.29    0.00    0.69    0.00    0.00    0.00   83.68

11:20:45 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:20:48 AM  all   18.36    0.00   26.25   40.46    0.00   10.92    0.00    0.00    0.00    4.01
11:20:48 AM    0   17.78    0.00   26.30   49.26    0.00    3.70    0.00    0.00    0.00    2.96
