Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/10/2020 	_x86_64_	(8 CPU)

02/10/2020 04:18:14 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           6.32    0.00    6.84    7.63    0.00   79.21

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00    0.00     0.00     0.00    56.45     0.00    0.23    0.23    0.00   0.19   0.00
sdq               0.00     0.00   20.60    0.00     0.08     0.00     8.00     0.04    2.17    2.17    4.00   2.16   4.44
sdc               0.00     0.06    0.34   20.44     0.01     0.17    17.35     0.41   19.88    3.91   20.15   1.63   3.39
sdo               0.00     0.00   20.59    0.33     0.08     0.00     8.00     0.05    2.38    2.37    3.31   2.36   4.94
sdh               0.00     0.00   24.69    0.33     0.11     0.00     9.31     0.06    2.37    2.36    3.54   2.23   5.57
sdi               0.00     0.00  373.27  124.81     3.01     0.98    16.37     3.71    7.44    6.59   10.00   0.39  19.37
sdp               0.00     0.00   20.60    0.00     0.08     0.00     8.00     0.05    2.31    2.31    4.29   2.30   4.73
sdn               0.00     0.00   20.60    0.00     0.08     0.00     8.00     0.05    2.24    2.24    4.40   2.23   4.59
sdl               0.00     0.00   20.60    0.00     0.08     0.00     8.00     0.05    2.21    2.21    5.67   2.20   4.54
sdm               0.00     0.00   20.59    0.00     0.08     0.00     8.00     0.05    2.21    2.21    5.00   2.19   4.52
sdg               0.00     0.00   49.32    2.35     0.20     0.00     7.89     0.02    0.29    0.14    3.41   0.29   1.48
sdr               0.00     0.00   20.60    0.00     0.08     0.00     8.00     0.05    2.22    2.22    5.33   2.21   4.55
sde               0.00     0.00   20.86   10.49     0.09     0.31    26.34     0.05    1.63    0.15    4.56   1.08   3.38
sdd               0.00     0.00   20.67    9.59     0.09     0.30    26.29     0.05    1.59    0.15    4.69   1.02   3.10
sdj               0.00     0.00   24.78    0.33     0.11     0.00     9.30     0.06    2.41    2.40    3.41   2.26   5.68
sdf               0.00     0.00   44.38    9.49     0.20     0.30    18.90     0.05    0.93    0.14    4.66   0.62   3.32
sdk               0.00     0.00   24.70    0.00     0.11     0.00     9.32     0.05    2.20    2.20    5.67   2.16   5.35
sda               0.00     0.05    0.46    5.72     0.01     0.04    16.47     0.17   27.63    5.38   29.43   3.78   2.34
dm-0              0.00     0.00    0.35   20.50     0.01     0.17    17.28     0.42   20.01    3.93   20.29   1.62   3.39
sdt               0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    1.31    1.31    4.38   1.31   0.02
dm-1              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    1.47    1.47    4.50   1.47   0.01
sds               0.00     0.00    0.18    0.33     0.00     0.00     8.00     0.00    4.40    5.17    3.96   4.38   0.23
dm-2              0.00     0.00    0.08    0.33     0.00     0.00     8.00     0.00    4.26    5.14    4.04   4.26   0.18
sdu               0.00     0.00    0.27   62.97     0.00     0.49    15.84     0.70   11.14    4.62   11.16   0.91   5.75
dm-3              0.00     0.00    0.16   62.97     0.00     0.49    15.86     1.28   20.22    4.39   20.26   0.92   5.79
sdv               0.00     0.00    0.94    0.00     0.00     0.00     8.00     0.00    1.01    1.01    0.00   1.00   0.09
dm-4              0.00     0.00    0.84    0.00     0.00     0.00     8.00     0.00    1.04    1.04    0.00   1.04   0.09
sdw               0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    3.48    3.48    4.40   3.44   0.06
dm-5              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    3.45    3.45    4.40   3.45   0.03
sdx               0.00     0.00    2.45    0.99     0.00     0.00     2.43     0.01    2.26    1.35    4.51   2.25   0.77
dm-6              0.00     0.00    2.35    0.99     0.00     0.00     2.25     0.01    2.37    1.43    4.60   2.36   0.79
sdy               0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    1.48    1.48    5.57   1.47   0.03
dm-7              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    1.49    1.49    5.57   1.49   0.01
sdz               0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    3.32    3.32    3.67   3.29   0.06
dm-8              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    3.41    3.41    3.67   3.41   0.03
sdaa              0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    3.35    3.35    3.80   3.31   0.06
dm-9              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    3.46    3.46    4.20   3.46   0.03
sdab              0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    3.33    3.33    5.00   3.29   0.06
dm-10             0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    3.46    3.46    5.00   3.46   0.03
sdac              0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    3.35    3.35    7.33   3.32   0.06
dm-11             0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    3.44    3.44    7.33   3.44   0.03
sdad              0.00     0.00    0.18    0.00     0.00     0.00     8.00     0.00    3.29    3.29    6.33   3.25   0.06
dm-12             0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    3.36    3.36    6.33   3.36   0.03
sdae              0.00     0.00    0.18    0.33     0.00     0.00     8.00     0.00    4.47    5.31    3.99   4.45   0.23
dm-13             0.00     0.00    0.08    0.33     0.00     0.00     8.00     0.00    4.37    5.57    4.07   4.37   0.18
sdaf              0.00     0.00    0.18    0.33     0.00     0.00     8.00     0.00    4.29    5.26    3.74   4.27   0.22
