Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/10/2020 	_x86_64_	(8 CPU)

04:18:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:17 PM  all   25.15    0.00   14.35    3.59    0.00    0.99    0.00    0.00    0.00   55.92
04:18:17 PM    0   24.91    0.00   12.63    4.21    0.00    1.05    0.00    0.00    0.00   57.19
04:18:17 PM    1   19.16    0.00   10.80    0.70    0.00    0.35    0.00    0.00    0.00   68.99
04:18:17 PM    2   30.24    0.00   24.74    6.87    0.00    1.03    0.00    0.00    0.00   37.11
04:18:17 PM    3   18.69    0.00   13.15    2.08    0.00    1.04    0.00    0.00    0.00   65.05
04:18:17 PM    4   18.82    0.00   11.85    3.48    0.00    2.44    0.00    0.00    0.00   63.41
04:18:17 PM    5   18.21    0.00   11.68    8.25    0.00    1.37    0.00    0.00    0.00   60.48
04:18:17 PM    6   27.21    0.00   14.97    2.04    0.00    0.68    0.00    0.00    0.00   55.10
04:18:17 PM    7   43.88    0.00   14.97    0.34    0.00    0.34    0.00    0.00    0.00   40.48

04:18:17 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:20 PM  all   18.57    0.00    8.10    0.30    0.00    0.17    0.00    0.00    0.00   72.86
04:18:20 PM    0   40.75    0.00    9.93    0.34    0.00    0.34    0.00    0.00    0.00   48.63
04:18:20 PM    1   21.02    0.00    5.76    0.00    0.00    0.34    0.00    0.00    0.00   72.88
04:18:20 PM    2   14.39    0.00    5.26    0.35    0.00    0.00    0.00    0.00    0.00   80.00
04:18:20 PM    3   12.59    0.00    9.44    0.00    0.00    0.00    0.00    0.00    0.00   77.97
04:18:20 PM    4   18.06    0.00   10.42    0.69    0.00    0.00    0.00    0.00    0.00   70.83
04:18:20 PM    5    9.52    0.00    6.46    0.34    0.00    0.34    0.00    0.00    0.00   83.33
04:18:20 PM    6    7.34    0.00    3.85    0.70    0.00    0.00    0.00    0.00    0.00   88.11
04:18:20 PM    7   24.32    0.00   13.70    0.00    0.00    0.00    0.00    0.00    0.00   61.99

04:18:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:23 PM  all   25.94    0.00   25.23   32.55    0.00   11.00    0.00    0.00    0.00    5.28
04:18:23 PM    0   22.54    0.00   28.17   28.87    0.00   11.27    0.00    0.00    0.00    9.15
04:18:23 PM    1   30.50    0.00   22.34   28.37    0.00   12.77    0.00    0.00    0.00    6.03
04:18:23 PM    2   26.15    0.00   25.09   36.04    0.00    9.19    0.00    0.00    0.00    3.53
04:18:23 PM    3   17.75    0.00   26.45   35.51    0.00   11.96    0.00    0.00    0.00    8.33
04:18:23 PM    4   22.89    0.00   28.17   27.11    0.00   18.66    0.00    0.00    0.00    3.17
04:18:23 PM    5   24.65    0.00   30.28   29.23    0.00   12.32    0.00    0.00    0.00    3.52
04:18:23 PM    6   31.21    0.00   19.86   37.23    0.00    6.03    0.00    0.00    0.00    5.67
04:18:23 PM    7   31.91    0.00   21.28   37.59    0.00    6.03    0.00    0.00    0.00    3.19

04:18:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:26 PM  all   19.87    0.00   26.68   38.13    0.00   11.58    0.00    0.00    0.00    3.74
04:18:26 PM    0   14.84    0.00   32.16   36.75    0.00   10.95    0.00    0.00    0.00    5.30
