procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 2  0      0 4213580  37624 6004080    0    0   594   350   27    6  6  7 80  7  0 2020-02-10 15:43:37
 1  0      0 3910812  37624 6004380    0    0    93   149 2746 16251  9  9 82  0  0 2020-02-10 15:43:40
 1  0      0 3914028  37624 6004412    0    0   133   281 1615 13012  6  3 91  0  0 2020-02-10 15:43:43
11 17      0 3863596  37624 6005340    0    0 34324  2410 26079 38140 18 34  5 43  0 2020-02-10 15:43:47
13 17      0 3871400  37624 6005544    0    0 42502  2294 27572 41802 19 38  3 40  0 2020-02-10 15:43:50
 7 16      0 3877908  37624 6005492    0    0 36491  2255 27167 39638 14 31  4 50  0 2020-02-10 15:43:53
14 15      0 3837656  37624 6005504    0    0 35907  3118 26465 37943 26 35  2 37  0 2020-02-10 15:43:56
 7 18      0 3850012  37624 6005556    0    0 36220  2304 26369 37620 26 35  2 37  0 2020-02-10 15:43:59
 7 18      0 3839980  37624 6005620    0    0 42327  4088 27628 42538 17 36  4 44  0 2020-02-10 15:44:02
 4 18      0 3875740  37624 6005620    0    0 37601  2175 27169 39486 15 32  4 49  0 2020-02-10 15:44:05
 7 16      0 3874808  37624 6005712    0    0 36972  3209 24967 38005 19 34  3 44  0 2020-02-10 15:44:08
 2 19      0 3871840  37624 6005864    0    0 37346  2290 27022 39856 16 35  4 45  0 2020-02-10 15:44:11
 6 17      0 3830088  37624 6005944    0    0 42161  4305 26298 41498 18 36  3 42  0 2020-02-10 15:44:14
 9 19      0 3856780  37624 6005980    0    0 38525  5384 26947 39737 20 35  3 42  0 2020-02-10 15:44:17
 2 19      0 3873948  37624 6006060    0    0 34576  6077 25843 38084 19 34  4 43  0 2020-02-10 15:44:20
 5 16      0 3874620  37624 6006212    0    0 37083  2377 26621 39704 14 31  4 51  0 2020-02-10 15:44:23
 4 19      0 3826644  37624 6006224    0    0 43264  3506 27692 42613 19 38  3 40  0 2020-02-10 15:44:26
 8 19      0 3839372  37624 6006456    0    0 36763  2167 26241 38591 18 34  4 44  0 2020-02-10 15:44:29
13 18      0 3843676  37524 6005880    0    0 37899  4499 26882 40802 14 33  4 49  0 2020-02-10 15:44:32
 5 20      0 3874060  37624 6006560    0    0 37440  2333 27082 39793 15 31  3 50  0 2020-02-10 15:44:35
 9 19      0 3869692  37624 6006648    0    0 40040  5920 26609 40752 20 38  3 40  0 2020-02-10 15:44:38
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 9 16      0 3871916  37624 6006628    0    0 36744  2208 26614 39255 15 31  4 50  0 2020-02-10 15:44:41
 8 18      0 3875980  37624 6006736    0    0 36854  2393 26470 38629 19 32  4 46  0 2020-02-10 15:44:44
 8 20      0 3861508  37624 6006872    0    0 36653  2227 26694 39380 18 33  4 45  0 2020-02-10 15:44:47
 7 18      0 3871012  37624 6007028    0    0 41560  5025 26875 41295 18 38  3 41  0 2020-02-10 15:44:50
 2 20      0 3870408  37256 6006652    0    0 37156  2571 28320 41335 16 35  4 45  0 2020-02-10 15:44:53
 4 18      0 3868116  37624 6007056    0    0 30048 11748 27118 39482 16 34  5 45  0 2020-02-10 15:44:56
 2 21      0 3839888  37624 6007104    0    0 29623 13793 26183 38197 17 34  5 44  0 2020-02-10 15:44:59
 8 17      0 3828656  37624 6007160    0    0 35652 14726 28089 43287 16 38  4 42  0 2020-02-10 15:45:02
 8 16      0 3858516  37624 6009120    0    0 27983 17379 26620 38699 14 32  6 48  0 2020-02-10 15:45:05
 1 21      0 3858916  37624 6009280    0    0 29679 14639 26797 38966 18 35  4 42  0 2020-02-10 15:45:08
 8 18      0 3854392  37624 6009276    0    0 27994 14218 27064 39275 13 33  7 47  0 2020-02-10 15:45:11
10 18      0 3813252  37624 6009444    0    0 34675 13766 27840 41871 18 38  5 39  0 2020-02-10 15:45:14
 3 21      0 3781344  37624 6009552    0    0 27364 17819 26506 37838 24 36  4 36  0 2020-02-10 15:45:17
 2 22      0 3885792  37380 6009072    0    0 29971 14419 25495 37870 18 34  5 43  0 2020-02-10 15:45:20
 2 21      0 3886144  37624 6009476    0    0 30199 14258 24526 36906 12 27  5 56  0 2020-02-10 15:45:23
 5 21      0 3880796  37624 6009640    0    0 36939 14710 26028 40663 17 33  3 47  0 2020-02-10 15:45:26
 7 18      0 3845216  37624 6009696    0    0 27821 17322 23859 35390 15 30  3 52  0 2020-02-10 15:45:29
 7 20      0 3850032  37624 6009708    0    0 29897 16612 24876 37666 13 29  4 54  0 2020-02-10 15:45:32
 4 21      0 3885648  37624 6009812    0    0 30603 15839 25713 38596 16 31  4 49  0 2020-02-10 15:45:35
10 15      0 3881004  37624 6009924    0    0 36181 15108 24747 40178 20 38  3 39  0 2020-02-10 15:45:38
 2 18      0 3881900  37624 6010048    0    0 28707 16779 24292 36330 13 29  4 55  0 2020-02-10 15:45:41
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 8 22      0 3886872  37624 6010160    0    0 33144 14989 24453 36744 17 29  3 52  0 2020-02-10 15:45:44
 2 21      0 3870852  37624 6010232    0    0 33203 14529 24828 37362 16 30  3 50  0 2020-02-10 15:45:47
 3 18      0 3882840  37624 6010384    0    0 39240 14303 25177 39649 17 34  3 45  0 2020-02-10 15:45:50
 3 21      0 3885336  37624 6010508    0    0 28824 18851 24077 36311 12 27  3 57  0 2020-02-10 15:45:53
 5 20      0 3886048  37624 6010540    0    0 30661 15217 24595 37061 16 30  3 51  0 2020-02-10 15:45:56
 3 22      0 3847724  37624 6010584    0    0 33788 14419 24426 36666 17 30  4 50  0 2020-02-10 15:45:59
13 19      0 3849184  37624 6010632    0    0 39213 14633 25667 40798 14 33  3 49  0 2020-02-10 15:46:02
 6 19      0 3883548  37624 6010660    0    0 30271 16606 24664 36656 13 28  4 55  0 2020-02-10 15:46:05
