procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 2  0      0 5290308  17160 4529592    0    0  3305 10083   14   10  4  7 86  4  0 2020-02-08 17:32:38
 1  0      0 5057760  17160 4529732    0    0   116   182 2417 15440  5  6 88  0  0 2020-02-08 17:32:41
14  4      0 5012152  17160 4530188    0    0  1892   775 3011 15194  6  5 88  1  0 2020-02-08 17:32:44
17  8      0 5008616  17160 4530416    0    0 85458 44258 37473 52722 21 55  7 18  0 2020-02-08 17:32:47
20  8      0 5003092  17160 4530424    0    0 87855 48219 38829 52968 17 54  8 20  0 2020-02-08 17:32:50
13  9      0 5007264  17160 4530516    0    0 88777 47354 39904 53913 17 55  7 20  0 2020-02-08 17:32:53
15 10      0 5006656  17160 4530732    0    0 82611 47167 39141 52026 17 54  8 20  0 2020-02-08 17:32:56
10 10      0 5008076  17160 4530752    0    0 89440 47924 38908 52929 19 54  8 20  0 2020-02-08 17:32:59
16 11      0 5007172  17160 4530808    0    0 86180 49144 38803 52905 18 53  8 22  0 2020-02-08 17:33:02
11  7      0 5006172  17160 4530860    0    0 88983 47497 38241 52115 19 54  7 20  0 2020-02-08 17:33:05
15  5      0 5006668  17160 4530872    0    0 93531 51197 38429 52256 17 50  7 27  0 2020-02-08 17:33:08
 7 11      0 5001984  16868 4530456    0    0 89179 52190 36618 52498 18 51  7 25  0 2020-02-08 17:33:11
 6 10      0 4989836  17160 4530976    0    0 86515 71875 36095 50660 17 48  7 28  0 2020-02-08 17:33:14
12  8      0 4994072  17160 4530960    0    0 78442 86868 33459 47550 19 48  6 26  0 2020-02-08 17:33:17
11 11      0 4988312  17160 4531008    0    0 78092 93011 31731 45615 19 45  6 30  0 2020-02-08 17:33:20
 9 10      0 4982588  17160 4531132    0    0 81183 92739 33519 48192 18 44  7 31  0 2020-02-08 17:33:23
 1  3      0 5012412  17160 4531128    0    0 69628 86625 30531 45331 18 43 12 27  0 2020-02-08 17:33:26
 3  1      0 5013568  17160 4531140    0    0 26194 69993 23019 35382  7 23 45 25  0 2020-02-08 17:33:29
 2  2      0 5013580  17160 4531160    0    0 20034 67456 23045 34676  7 22 47 24  0 2020-02-08 17:33:32
 5  9      0 5006688  17160 4531176    0    0 21115 68751 24774 34650 10 27 39 24  0 2020-02-08 17:33:35
 1  2      0 4996368  17160 4531196    0    0 23603 67741 24642 36097  9 24 42 25  0 2020-02-08 17:33:38
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 1  4      0 4995616  17160 4531204    0    0 24415 69376 24841 35674  8 24 40 27  0 2020-02-08 17:33:41
 2  7      0 4990796  17160 4531224    0    0 23978 69132 26174 36863  8 25 40 26  0 2020-02-08 17:33:44
 4  3      0 4988084  17160 4531300    0    0 23236 69780 25309 36483 10 28 35 26  0 2020-02-08 17:33:47
 3  5      0 4984604  17160 4531380    0    0 23186 70692 24470 34679 11 25 40 24  0 2020-02-08 17:33:50
 2  3      0 4988080  17160 4531484    0    0 23911 69632 25427 36934  7 25 42 27  0 2020-02-08 17:33:53
 0  5      0 4987776  17160 4531492    0    0 23006 67906 24967 36345  7 26 41 26  0 2020-02-08 17:33:56
 3  7      0 4982664  17188 4531492    0    0 26194 70035 26408 37360  8 26 39 27  0 2020-02-08 17:33:59
 1  3      0 4982016  17160 4531620    0    0 25992 66451 25504 38705  8 27 38 27  0 2020-02-08 17:34:02
 2  3      0 4987552  17160 4531632    0    0 25151 70490 24685 35514  8 26 39 27  0 2020-02-08 17:34:05
 1  5      0 4988104  17160 4531648    0    0 22187 68552 23617 34597  6 21 46 28  0 2020-02-08 17:34:08
 3  4      0 4982824  17160 4531672    0    0 23196 70586 24030 35799  7 23 43 27  0 2020-02-08 17:34:11
 0  1      0 4983144  17160 4531712    0    0 31480 67545 24772 37726  8 26 33 33  0 2020-02-08 17:34:14
 3  4      0 4987168  17160 4531884    0    0 28762 73498 25044 36756  8 26 39 27  0 2020-02-08 17:34:17
