Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/08/2020 	_x86_64_	(8 CPU)

02/08/2020 02:20:04 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.65    0.00    6.79    3.90    0.00   85.65

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdc               0.00     0.07    0.38   22.34     0.01     0.17    16.44     0.87   38.15   13.00   38.58   3.09   7.01
sde               0.00     0.00  212.13   87.67     6.36     8.14    99.08     2.91    9.70    9.45   10.29   0.44  13.23
sdd               0.00     0.00   17.42    2.34     0.06     0.00     6.53     0.05    2.29    1.19   10.49   1.93   3.81
sdf               0.00     0.00   12.22    3.26     0.05     0.23    37.46     0.04    2.84    0.79   10.50   1.89   2.92
sdj               0.00     0.00    9.10    5.23     0.70     1.89   369.70     0.15   10.55    9.72   12.00   2.91   4.17
sdg               0.00     0.00    6.37    3.86     0.03     0.23    52.32     0.04    4.19    1.04    9.40   2.83   2.90
sdh               0.00     0.00    6.49    3.73     0.03     0.24    53.06     0.05    4.54    1.10   10.51   3.10   3.17
sdi               0.00     0.00   14.48    4.94     0.72     1.88   274.85     0.15    7.72    6.14   12.35   2.06   4.00
sdk               0.00     0.00    8.13    5.30     0.69     1.88   392.46     0.15   11.04   10.40   12.03   3.02   4.05
sdm               0.00     0.00    8.95    4.89     0.70     1.88   382.48     0.15   10.85   10.06   12.30   2.91   4.03
sdl               0.00     0.00    8.15    4.94     0.69     1.88   402.74     0.15   11.18   10.44   12.40   2.96   3.88
sdp               0.00     0.00    8.05    4.92     0.70     1.88   407.18     0.15   11.28   10.62   12.36   2.96   3.83
sdo               0.00     0.00    9.03    5.26     0.71     1.89   371.69     0.15   10.31    9.49   11.74   2.82   4.03
sdn               0.00     0.00    8.08    4.91     0.69     1.88   405.67     0.15   11.23   10.55   12.35   2.97   3.86
sdq               0.00     0.00   28.90   39.63     7.05    15.06   660.82     1.18   17.20   30.13    7.77   1.95  13.37
sdr               0.00     0.00   24.60   40.17     5.17    15.06   639.76     1.21   18.62   31.36   10.82   2.54  16.47
sdb               0.00     0.00    0.00    0.00     0.00     0.00    61.28     0.00    0.36    0.36    0.00   0.33   0.00
sda               0.00     0.07    0.36    5.38     0.01     0.04    15.49     0.26   45.55    7.72   48.10   4.15   2.38
dm-0              0.00     0.00    0.39   22.41     0.01     0.17    16.39     0.87   38.16   13.30   38.59   3.07   7.01
sds               0.00     0.00    0.12    0.00     0.00     0.00     8.03     0.00    3.54    3.54    4.45   3.53   0.04
dm-1              0.00     0.00    0.02    0.00     0.00     0.00     8.09     0.00    1.96    1.95    4.73   1.96   0.00
sdt               0.00     0.00    0.34    0.00     0.00     0.00     8.01     0.00    2.24    2.24    0.00   2.24   0.08
dm-2              0.00     0.00    0.24    0.00     0.00     0.00     8.01     0.00    1.31    1.31    0.00   1.31   0.03
sdu               0.00     0.00    2.41    0.99     0.00     0.00     2.36     0.01    2.63    1.71    4.86   2.61   0.89
dm-3              0.00     0.00    2.31    0.99     0.00     0.00     2.19     0.01    2.68    1.70    4.96   2.66   0.88
sdv               0.00     0.00    0.12    0.00     0.00     0.00     8.03     0.00    3.23    3.23    4.62   3.23   0.04
dm-4              0.00     0.00    0.02    0.00     0.00     0.00     8.09     0.00    2.09    2.05    4.69   2.09   0.01
sdw               0.00     0.00    0.61   13.14     0.01     3.09   461.99     0.20   14.56    9.06   14.82   3.25   4.47
dm-5              0.00     0.00    0.51   13.14     0.01     3.09   465.35     0.26   19.28    9.35   19.66   3.23   4.41
sdx               0.00     0.00    0.16   43.21     0.00     2.45   115.71     0.63   14.45    5.20   14.49   1.43   6.19
dm-6              0.00     0.00    0.06   43.21     0.00     2.45   115.96     1.04   23.97    5.94   24.00   1.43   6.18
sdy               0.00     0.00    0.13    1.20     0.00     0.40   627.24     0.02   16.74    6.20   17.87   6.31   0.84
dm-7              0.00     0.00    0.03    1.20     0.00     0.40   678.30     0.02   17.97   11.61   18.11   6.48   0.79
sdz               0.00     0.00    0.13    1.19     0.00     0.40   624.20     0.02   16.63    6.29   17.74   6.41   0.85
dm-8              0.00     0.00    0.03    1.19     0.00     0.40   675.35     0.02   17.77   12.41   17.89   6.60   0.80
sdaa              0.00     0.00    0.13    1.32     0.00     0.40   572.31     0.02   15.43    5.99   16.34   6.13   0.88
dm-9              0.00     0.00    0.03    1.32     0.00     0.40   614.82     0.02   16.38   10.95   16.48   6.28   0.84
sdab              0.00     0.00    0.13    1.19     0.00     0.40   629.98     0.02   16.65    6.03   17.78   6.29   0.83
dm-10             0.00     0.00    0.03    1.19     0.00     0.40   681.88     0.02   17.79   11.20   17.93   6.47   0.78
sdac              0.00     0.00    0.13    1.19     0.00     0.41   635.67     0.02   16.72    6.06   17.86   6.25   0.82
dm-11             0.00     0.00    0.03    1.19     0.00     0.41   688.01     0.02   17.84   11.56   17.98   6.42   0.78
sdad              0.00     0.00    0.13    1.15     0.00     0.40   644.85     0.02   16.74    5.94   17.93   6.37   0.82
dm-12             0.00     0.00    0.03    1.15     0.00     0.40   699.45     0.02   17.89   11.12   18.04   6.56   0.77
sdae              0.00     0.00    0.13    1.67     0.00     0.41   465.05     0.03   14.70    6.00   15.38   7.07   1.27
dm-13             0.00     0.00    0.03    1.67     0.00     0.41   492.28     0.03   15.41   10.70   15.49   7.27   1.23
sdaf              0.00     0.00    0.13   34.18     0.00    13.29   793.13     0.66   19.10    8.54   19.14   3.34  11.47
dm-14             0.00     0.00    0.03   34.18     0.00    13.29   795.45     0.69   20.26    6.25   20.27   3.34  11.43
sdag              0.00     0.00    2.40    1.35     0.00     0.00     3.04     0.02    4.89    3.15    7.98   4.66   1.75
dm-15             0.00     0.00    2.30    1.35     0.00     0.00     2.91     0.02    4.99    3.17    8.08   4.77   1.74
sdah              0.00     0.00    0.13    2.67     0.00     0.22   158.97     0.03   11.47    4.88   11.79   5.75   1.61
dm-16             0.00     0.00    0.03    2.67     0.00     0.22   164.63     0.03   11.86    6.08   11.93   5.88   1.58
sdai              0.00     0.00    0.13    2.12     0.00     0.21   193.86     0.03   12.34    4.94   12.78   5.27   1.18
dm-17             0.00     0.00    0.02    2.12     0.00     0.21   202.63     0.03   12.85    6.20   12.93   5.37   1.15
sdaj              0.00     0.00    0.13    1.28     0.00     0.40   591.40     0.02   16.94    6.52   17.98   5.94   0.83
dm-18             0.00     0.00    0.03    1.28     0.00     0.40   636.69     0.03   19.85   13.60   19.98   6.08   0.79
sdak              0.00     0.00    0.13    2.06     0.00     0.21   197.74     0.03   13.06    4.87   13.56   5.85   1.28
dm-19             0.00     0.00    0.03    2.06     0.00     0.21   206.95     0.03   13.58    5.86   13.68   5.98   1.25

02/08/2020 02:20:07 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           5.88    0.00    7.92    0.26    0.00   85.94

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdc               0.00     0.00    0.00    9.33     0.00     0.04     8.57     0.03    3.43    0.00    3.43   1.61   1.50
sde               0.00     0.00    5.00    9.67     0.06     0.02    11.70     0.04    2.50    0.47    3.55   2.14   3.13
sdd               0.00     0.00    4.67    2.33     0.00     0.00     2.00     0.01    1.29    0.21    3.43   1.29   0.90
sdf               0.00     0.00    0.67    4.00     0.00     0.00     3.07     0.02    3.50    0.50    4.00   2.64   1.23
sdj               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdg               0.00     0.00    0.67    1.00     0.00     0.01    17.60     0.00    2.20    0.50    3.33   2.20   0.37
sdh               0.00     0.00    0.67    4.67     0.00     0.01     2.94     0.02    3.12    0.00    3.57   3.12   1.67
sdi               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdk               0.00     0.00    0.67    0.33     0.00     0.00     8.00     0.00    1.00    0.00    3.00   1.00   0.10
sdm               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdl               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdp               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdo               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.50    0.50    0.00   0.50   0.03
sdn               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdq               0.00     0.00    0.67    0.33     0.00     0.00     8.00     0.00    3.00    3.00    3.00   3.00   0.30
sdr               0.00     0.00    0.67    0.33     0.00     0.00     8.00     0.00    2.67    2.50    3.00   2.67   0.27
