Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/08/2020 	_x86_64_	(8 CPU)

02:20:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:20:07 PM  all    5.92    0.00    7.44    0.26    0.00    0.52    0.00    0.00    0.00   85.86
02:20:07 PM    0    6.69    0.00    8.45    1.06    0.00    0.35    0.00    0.00    0.00   83.45
02:20:07 PM    1    5.84    0.00    7.22    0.69    0.00    0.34    0.00    0.00    0.00   85.91
02:20:07 PM    2    5.67    0.00    7.45    0.00    0.00    0.71    0.00    0.00    0.00   86.17
02:20:07 PM    3    5.46    0.00    6.83    0.00    0.00    0.34    0.00    0.00    0.00   87.37
02:20:07 PM    4    7.34    0.00    8.04    0.00    0.00    0.70    0.00    0.00    0.00   83.92
02:20:07 PM    5    6.16    0.00    6.51    0.34    0.00    0.68    0.00    0.00    0.00   86.30
02:20:07 PM    6    5.30    0.00    8.48    0.00    0.00    0.71    0.00    0.00    0.00   85.51
02:20:07 PM    7    4.84    0.00    6.57    0.35    0.00    0.69    0.00    0.00    0.00   87.54

02:20:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:20:10 PM  all    5.18    0.00    4.40    0.91    0.00    0.44    0.00    0.00    0.00   89.07
02:20:10 PM    0    5.63    0.00    4.58    1.06    0.00    0.70    0.00    0.00    0.00   88.03
02:20:10 PM    1    4.47    0.00    3.78    0.69    0.00    0.69    0.00    0.00    0.00   90.38
02:20:10 PM    2    5.59    0.00    4.55    0.70    0.00    0.35    0.00    0.00    0.00   88.81
02:20:10 PM    3    4.44    0.00    3.41    0.34    0.00    0.34    0.00    0.00    0.00   91.47
02:20:10 PM    4    5.28    0.00    3.52    0.35    0.00    0.35    0.00    0.00    0.00   90.49
02:20:10 PM    5    5.56    0.00    5.90    2.78    0.00    0.35    0.00    0.00    0.00   85.42
02:20:10 PM    6    5.30    0.00    4.24    0.71    0.00    0.71    0.00    0.00    0.00   89.05
02:20:10 PM    7    4.88    0.00    5.23    0.35    0.00    0.35    0.00    0.00    0.00   89.20

02:20:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:20:13 PM  all   12.06    0.00   22.72   37.60    0.00   10.93    0.00    0.00    0.00   16.69
02:20:13 PM    0   13.62    0.00   24.73   37.99    0.00    6.45    0.00    0.00    0.00   17.20
02:20:13 PM    1   10.11    0.00   25.27   35.74    0.00    4.33    0.00    0.00    0.00   24.55
02:20:13 PM    2   10.66    0.00   25.00   40.44    0.00   13.24    0.00    0.00    0.00   10.66
