Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/10/2020 	_x86_64_	(8 CPU)

02/10/2020 08:32:26 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           9.97    0.00   13.05   13.74    0.00   63.24

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.03    0.00     0.00     0.00    56.45     0.00    0.17    0.17    0.00   0.12   0.00
sdg               0.00     0.00   15.20   37.44     0.16     0.13    11.09     0.17    3.23    0.30    4.42   1.97  10.36
sdc               0.00     0.05    3.12   18.00     0.15     0.23    36.34     0.29   13.56    0.70   15.79   1.46   3.08
sdq               0.00     0.00   14.82    0.02     0.06     0.00     8.95     0.03    2.35    2.35    3.40   2.29   3.40
sdf               0.00     0.00   15.48   38.26     0.17     0.13    11.51     0.18    3.29    0.31    4.49   2.07  11.11
sdh               0.00     0.00   31.24   36.93     0.24     0.13    10.93     0.18    2.58    0.22    4.57   1.62  11.05
sde               0.00     0.00 1290.47  373.32    11.03     3.08    17.36     8.46    5.08    4.10    8.45   0.25  41.95
sdr               0.00     0.00   14.83    0.00     0.06     0.00     8.94     0.03    2.26    2.26    5.00   2.20   3.27
sdo               0.00     0.00   14.81    0.00     0.06     0.00     8.77     0.03    2.30    2.30    4.40   2.25   3.33
sdm               0.00     0.00   17.78    0.37     0.13     0.00    14.58     0.04    2.47    2.45    3.37   2.25   4.09
sdd               0.00     0.00   33.84    1.39     0.14     0.00     8.27     0.01    0.31    0.18    3.43   0.31   1.08
sdi               0.00     0.00   17.74    0.38     0.14     0.00    15.78     0.04    2.41    2.39    3.30   2.19   3.97
sdp               0.00     0.00   14.83    0.36     0.07     0.00     9.10     0.04    2.40    2.38    3.29   2.34   3.55
sdj               0.00     0.00   17.63    0.00     0.09     0.00    10.42     0.04    2.27    2.27    3.62   2.22   3.92
sdk               0.00     0.00   14.81    0.00     0.06     0.00     8.76     0.03    2.21    2.21    3.67   2.16   3.19
sdn               0.00     0.00   14.81    0.00     0.06     0.00     8.77     0.03    2.23    2.23    5.00   2.18   3.23
sdl               0.00     0.00   14.81    0.00     0.06     0.00     8.77     0.03    2.24    2.24    4.00   2.19   3.24
sda               0.00     0.04    5.35    5.27     0.08     0.04    24.28     0.15   14.21    0.40   28.23   1.79   1.90
dm-0              0.00     0.00    3.12   18.05     0.15     0.23    36.25     0.29   13.62    0.69   15.85   1.45   3.07
sds               0.00     0.00    0.24    0.00     0.00     0.00     8.00     0.00    4.82    4.82    3.00   4.36   0.11
dm-1              0.00     0.00    0.10    0.00     0.00     0.00     8.00     0.00    4.34    4.34    4.00   4.32   0.04
