Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/10/2020 	_x86_64_	(8 CPU)

08:32:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:32:29 PM  all    6.14    0.00    6.79    0.26    0.00    0.65    0.00    0.00    0.00   86.15
08:32:29 PM    0    7.02    0.00    7.72    0.70    0.00    0.70    0.00    0.00    0.00   83.86
08:32:29 PM    1    6.38    0.00    6.74    1.06    0.00    0.00    0.00    0.00    0.00   85.82
08:32:29 PM    2    5.99    0.00    7.75    0.00    0.00    0.70    0.00    0.00    0.00   85.56
08:32:29 PM    3    5.46    0.00    5.80    0.34    0.00    0.68    0.00    0.00    0.00   87.71
08:32:29 PM    4    6.25    0.00    7.99    0.00    0.00    1.04    0.00    0.00    0.00   84.72
08:32:29 PM    5    5.46    0.00    5.12    0.34    0.00    0.68    0.00    0.00    0.00   88.40
08:32:29 PM    6    7.14    0.00    8.21    0.00    0.00    0.36    0.00    0.00    0.00   84.29
08:32:29 PM    7    5.86    0.00    5.17    0.00    0.00    0.34    0.00    0.00    0.00   88.62

08:32:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:32:32 PM  all    2.19    0.00    3.98    0.35    0.00    0.09    0.00    0.00    0.00   93.39
08:32:32 PM    0    2.14    0.00    3.56    0.71    0.00    0.36    0.00    0.00    0.00   93.24
08:32:32 PM    1    2.11    0.00    7.75    0.35    0.00    0.00    0.00    0.00    0.00   89.79
08:32:32 PM    2    2.14    0.00    2.86    0.00    0.00    0.36    0.00    0.00    0.00   94.64
08:32:32 PM    3    1.05    0.00    3.15    0.35    0.00    0.00    0.00    0.00    0.00   95.45
08:32:32 PM    4    3.17    0.00    4.23    0.00    0.00    0.00    0.00    0.00    0.00   92.61
08:32:32 PM    5    1.69    0.00    3.05    0.68    0.00    0.00    0.00    0.00    0.00   94.58
08:32:32 PM    6    2.46    0.00    4.58    1.06    0.00    0.35    0.00    0.00    0.00   91.55
08:32:32 PM    7    2.41    0.00    2.75    0.00    0.00    0.00    0.00    0.00    0.00   94.85

08:32:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:32:35 PM  all   32.40    0.00   28.93   21.33    0.00   13.52    0.00    0.00    0.00    3.82
08:32:35 PM    0   44.79    0.00   25.35   14.93    0.00   11.81    0.00    0.00    0.00    3.12
08:32:35 PM    1   21.48    0.00   34.51   27.46    0.00    9.86    0.00    0.00    0.00    6.69
08:32:35 PM    2   34.63    0.00   30.04   25.09    0.00    6.71    0.00    0.00    0.00    3.53
08:32:35 PM    3   35.79    0.00   21.05   22.46    0.00   16.84    0.00    0.00    0.00    3.86
08:32:35 PM    4   32.52    0.00   29.02   16.43    0.00   19.58    0.00    0.00    0.00    2.45
08:32:35 PM    5   24.73    0.00   33.92   19.79    0.00   19.43    0.00    0.00    0.00    2.12
08:32:35 PM    6   21.79    0.00   37.86   24.64    0.00   11.07    0.00    0.00    0.00    4.64
08:32:35 PM    7   43.36    0.00   20.28   19.58    0.00   12.94    0.00    0.00    0.00    3.85

08:32:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:32:38 PM  all   13.44    0.00   23.92   45.57    0.00   10.76    0.00    0.00    0.00    6.31
08:32:38 PM    0   17.71    0.00   23.25   45.76    0.00    9.59    0.00    0.00    0.00    3.69
08:32:38 PM    1    8.82    0.00   25.74   41.91    0.00    5.88    0.00    0.00    0.00   17.65
08:32:38 PM    2   11.99    0.00   20.60   55.81    0.00    6.74    0.00    0.00    0.00    4.87
08:32:38 PM    3    9.96    0.00   16.48   55.56    0.00   11.88    0.00    0.00    0.00    6.13
08:32:38 PM    4   19.71    0.00   26.28   37.96    0.00   15.69    0.00    0.00    0.00    0.36
08:32:38 PM    5   15.30    0.00   27.24   41.79    0.00   15.30    0.00    0.00    0.00    0.37
08:32:38 PM    6   13.26    0.00   35.13   31.54    0.00    9.32    0.00    0.00    0.00   10.75
08:32:38 PM    7   10.15    0.00   15.79   55.64    0.00   12.03    0.00    0.00    0.00    6.39

08:32:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:32:41 PM  all   13.43    0.00   27.13   42.85    0.00   11.14    0.00    0.00    0.00    5.45
08:32:41 PM    0   12.64    0.00   33.94   38.99    0.00    7.94    0.00    0.00    0.00    6.50
08:32:41 PM    1   10.70    0.00   23.25   53.87    0.00    5.17    0.00    0.00    0.00    7.01
08:32:41 PM    2   12.87    0.00   26.84   45.96    0.00    8.46    0.00    0.00    0.00    5.88
08:32:41 PM    3   11.61    0.00   20.60   48.31    0.00   13.11    0.00    0.00    0.00    6.37
08:32:41 PM    4   18.77    0.00   28.52   37.18    0.00   15.16    0.00    0.00    0.00    0.36
08:32:41 PM    5   16.97    0.00   24.35   40.96    0.00   16.24    0.00    0.00    0.00    1.48
08:32:41 PM    6   12.23    0.00   38.13   28.06    0.00   10.43    0.00    0.00    0.00   11.15
08:32:41 PM    7   12.22    0.00   20.37   49.63    0.00   12.59    0.00    0.00    0.00    5.19

08:32:41 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:32:44 PM  all   28.38    0.00   25.73   30.31    0.00   12.39    0.00    0.00    0.00    3.19
08:32:44 PM    0   22.26    0.00   28.83   34.67    0.00    9.12    0.00    0.00    0.00    5.11
08:32:44 PM    1   37.94    0.00   18.79   32.98    0.00    5.67    0.00    0.00    0.00    4.61
08:32:44 PM    2   26.71    0.00   29.96   30.32    0.00    8.30    0.00    0.00    0.00    4.69
08:32:44 PM    3   24.82    0.00   25.55   28.47    0.00   16.79    0.00    0.00    0.00    4.38
08:32:44 PM    4   27.46    0.00   32.04   21.83    0.00   17.96    0.00    0.00    0.00    0.70
08:32:44 PM    5   22.83    0.00   30.07   26.45    0.00   17.39    0.00    0.00    0.00    3.26
08:32:44 PM    6   26.09    0.00   22.83   35.51    0.00   13.41    0.00    0.00    0.00    2.17
08:32:44 PM    7   38.52    0.00   18.02   32.51    0.00    9.54    0.00    0.00    0.00    1.41

08:32:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:32:47 PM  all   14.42    0.00   23.91   45.46    0.00   10.32    0.00    0.00    0.00    5.90
08:32:47 PM    0   13.28    0.00   25.83   47.60    0.00    8.12    0.00    0.00    0.00    5.17
08:32:47 PM    1   13.24    0.00   17.65   51.10    0.00    4.78    0.00    0.00    0.00   13.24
08:32:47 PM    2   13.75    0.00   20.45   52.79    0.00    7.43    0.00    0.00    0.00    5.58
08:32:47 PM    3   14.02    0.00   16.24   51.66    0.00   11.81    0.00    0.00    0.00    6.27
08:32:47 PM    4   18.57    0.00   32.50   33.57    0.00   13.93    0.00    0.00    0.00    1.43
08:32:47 PM    5   15.30    0.00   29.48   37.69    0.00   16.42    0.00    0.00    0.00    1.12
08:32:47 PM    6   12.82    0.00   32.60   34.43    0.00   10.26    0.00    0.00    0.00    9.89
08:32:47 PM    7   14.18    0.00   16.42   55.22    0.00   10.07    0.00    0.00    0.00    4.10

08:32:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:32:50 PM  all   12.48    0.00   23.93   48.08    0.00   10.00    0.00    0.00    0.00    5.51
08:32:50 PM    0   14.23    0.00   22.10   54.68    0.00    7.12    0.00    0.00    0.00    1.87
08:32:50 PM    1    7.95    0.00   15.15   61.74    0.00    4.17    0.00    0.00    0.00   10.98
08:32:50 PM    2   10.82    0.00   20.90   57.84    0.00    6.72    0.00    0.00    0.00    3.73
08:32:50 PM    3   10.77    0.00   16.92   55.38    0.00   10.77    0.00    0.00    0.00    6.15
08:32:50 PM    4   15.64    0.00   34.55   33.82    0.00   14.18    0.00    0.00    0.00    1.82
08:32:50 PM    5   14.83    0.00   28.14   34.60    0.00   16.73    0.00    0.00    0.00    5.70
08:32:50 PM    6   13.04    0.00   34.78   32.61    0.00    9.42    0.00    0.00    0.00   10.14
08:32:50 PM    7   11.74    0.00   18.56   55.68    0.00   11.36    0.00    0.00    0.00    2.65

08:32:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:32:53 PM  all   17.59    0.00   25.86   40.79    0.00   10.78    0.00    0.00    0.00    4.98
08:32:53 PM    0   14.71    0.00   29.04   41.54    0.00   10.29    0.00    0.00    0.00    4.41
08:32:53 PM    1   15.47    0.00   28.06   38.85    0.00    5.40    0.00    0.00    0.00   12.23
08:32:53 PM    2   15.27    0.00   30.18   36.73    0.00    9.82    0.00    0.00    0.00    8.00
08:32:53 PM    3   18.49    0.00   20.75   40.00    0.00   14.34    0.00    0.00    0.00    6.42
08:32:53 PM    4   19.57    0.00   32.38   32.38    0.00   14.95    0.00    0.00    0.00    0.71
08:32:53 PM    5   19.33    0.00   24.54   37.17    0.00   15.61    0.00    0.00    0.00    3.35
08:32:53 PM    6   18.84    0.00   20.29   49.64    0.00    8.70    0.00    0.00    0.00    2.54
08:32:53 PM    7   19.13    0.00   20.94   49.46    0.00    7.58    0.00    0.00    0.00    2.89

08:32:53 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:32:56 PM  all   27.31    0.00   28.33   27.75    0.00   13.50    0.00    0.00    0.00    3.11
08:32:56 PM    0   31.56    0.00   28.01   26.24    0.00   11.35    0.00    0.00    0.00    2.84
08:32:56 PM    1   29.18    0.00   25.98   29.54    0.00    7.47    0.00    0.00    0.00    7.83
08:32:56 PM    2   26.88    0.00   29.39   31.18    0.00    8.96    0.00    0.00    0.00    3.58
08:32:56 PM    3   23.83    0.00   25.99   29.96    0.00   16.61    0.00    0.00    0.00    3.61
08:32:56 PM    4   19.93    0.00   38.46   20.98    0.00   19.58    0.00    0.00    0.00    1.05
08:32:56 PM    5   22.81    0.00   33.33   18.95    0.00   23.86    0.00    0.00    0.00    1.05
08:32:56 PM    6   30.58    0.00   23.74   32.73    0.00   11.51    0.00    0.00    0.00    1.44
08:32:56 PM    7   33.69    0.00   21.63   32.62    0.00    8.16    0.00    0.00    0.00    3.90

08:32:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:32:59 PM  all   12.23    0.00   23.48   48.96    0.00   10.33    0.00    0.00    0.00    5.00
08:32:59 PM    0   12.64    0.00   24.91   49.81    0.00    7.43    0.00    0.00    0.00    5.20
08:32:59 PM    1    8.99    0.00   14.23   61.42    0.00    4.12    0.00    0.00    0.00   11.24
08:32:59 PM    2   10.99    0.00   26.01   48.35    0.00    7.69    0.00    0.00    0.00    6.96
08:32:59 PM    3   10.27    0.00   16.73   56.27    0.00   11.41    0.00    0.00    0.00    5.32
08:32:59 PM    4   17.14    0.00   35.71   28.21    0.00   15.36    0.00    0.00    0.00    3.57
08:32:59 PM    5   15.24    0.00   29.00   34.94    0.00   18.59    0.00    0.00    0.00    2.23
08:32:59 PM    6   11.57    0.00   22.01   53.73    0.00   10.07    0.00    0.00    0.00    2.61
08:32:59 PM    7   11.11    0.00   17.41   60.37    0.00    7.78    0.00    0.00    0.00    3.33

08:32:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:33:02 PM  all   14.35    0.00   25.90   44.62    0.00   10.72    0.00    0.00    0.00    4.42
08:33:02 PM    0   14.13    0.00   22.68   52.79    0.00    7.43    0.00    0.00    0.00    2.97
08:33:02 PM    1   11.81    0.00   22.14   54.61    0.00    5.54    0.00    0.00    0.00    5.90
08:33:02 PM    2   12.73    0.00   22.18   56.36    0.00    5.45    0.00    0.00    0.00    3.27
08:33:02 PM    3   11.07    0.00   20.66   54.24    0.00    9.96    0.00    0.00    0.00    4.06
08:33:02 PM    4   16.85    0.00   35.84   30.47    0.00   15.41    0.00    0.00    0.00    1.43
08:33:02 PM    5   16.60    0.00   31.32   32.83    0.00   16.98    0.00    0.00    0.00    2.26
08:33:02 PM    6   12.95    0.00   34.53   30.94    0.00   11.51    0.00    0.00    0.00   10.07
08:33:02 PM    7   18.87    0.00   17.74   45.28    0.00   13.58    0.00    0.00    0.00    4.53

08:33:02 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:33:05 PM  all   34.67    0.00   28.73   21.12    0.00   13.29    0.00    0.00    0.00    2.19
08:33:05 PM    0   23.59    0.00   37.68   25.35    0.00   11.27    0.00    0.00    0.00    2.11
08:33:05 PM    1   41.58    0.00   25.09   19.24    0.00   10.31    0.00    0.00    0.00    3.78
08:33:05 PM    2   42.01    0.00   23.26   20.83    0.00   11.81    0.00    0.00    0.00    2.08
08:33:05 PM    3   35.44    0.00   25.96   21.75    0.00   14.04    0.00    0.00    0.00    2.81
08:33:05 PM    4   24.83    0.00   39.51   18.88    0.00   16.08    0.00    0.00    0.00    0.70
08:33:05 PM    5   28.52    0.00   33.10   17.96    0.00   20.07    0.00    0.00    0.00    0.35
08:33:05 PM    6   36.21    0.00   26.21   23.10    0.00   12.07    0.00    0.00    0.00    2.41
08:33:05 PM    7   45.04    0.00   19.50   21.63    0.00   10.64    0.00    0.00    0.00    3.19

08:33:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:33:08 PM  all   13.30    0.00   23.75   46.11    0.00   10.22    0.00    0.00    0.00    6.63
08:33:08 PM    0   14.98    0.00   23.60   45.69    0.00    9.74    0.00    0.00    0.00    5.99
08:33:08 PM    1   10.29    0.00   24.63   40.07    0.00    7.35    0.00    0.00    0.00   17.65
08:33:08 PM    2   13.50    0.00   22.99   53.28    0.00    5.84    0.00    0.00    0.00    4.38
08:33:08 PM    3   10.45    0.00   16.04   55.22    0.00    9.70    0.00    0.00    0.00    8.58
08:33:08 PM    4   18.35    0.00   25.90   42.09    0.00   12.95    0.00    0.00    0.00    0.72
08:33:08 PM    5   15.58    0.00   28.26   39.13    0.00   15.58    0.00    0.00    0.00    1.45
08:33:08 PM    6   12.23    0.00   32.37   35.97    0.00   10.07    0.00    0.00    0.00    9.35
