Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/08/2020 	_x86_64_	(8 CPU)

02/08/2020 11:35:44 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.67    0.00    6.90    3.86    0.00   85.57

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdc               0.00     0.07    0.40   22.45     0.01     0.17    16.34     0.88   38.68   13.00   39.14   3.13   7.16
sde               0.00     0.00  203.84   86.65     5.36     8.45    97.40     2.69    9.27    9.02    9.85   0.43  12.61
sdd               0.00     0.00   17.52    2.33     0.06     0.00     6.54     0.05    2.35    1.22   10.77   1.97   3.91
sdf               0.00     0.00   12.33    3.33     0.05     0.24    38.20     0.04    2.86    0.80   10.49   1.91   2.99
sdj               0.00     0.00    9.25    5.46     0.73     1.97   375.66     0.16   10.71    9.95   12.00   2.95   4.33
sdg               0.00     0.00    6.40    3.92     0.03     0.24    53.56     0.04    4.23    1.05    9.43   2.85   2.94
sdh               0.00     0.00    6.53    3.82     0.03     0.25    54.20     0.05    4.61    1.12   10.58   3.15   3.26
sdi               0.00     0.00   14.67    5.15     0.75     1.97   280.74     0.16    7.88    6.31   12.35   2.10   4.16
sdk               0.00     0.00    8.24    5.51     0.72     1.96   399.64     0.15   11.23   10.69   12.05   3.06   4.21
sdm               0.00     0.00    9.09    5.10     0.73     1.96   388.87     0.16   11.02   10.31   12.30   2.95   4.18
sdl               0.00     0.00    8.27    5.16     0.72     1.96   409.86     0.15   11.37   10.72   12.40   3.00   4.03
sdp               0.00     0.00    8.15    5.13     0.72     1.96   414.45     0.15   11.47   10.91   12.36   3.00   3.98
sdo               0.00     0.00    9.17    5.49     0.74     1.97   377.69     0.15   10.47    9.72   11.74   2.85   4.19
sdn               0.00     0.00    8.19    5.12     0.72     1.96   412.90     0.15   11.42   10.84   12.35   3.01   4.01
sdq               0.00     0.00   29.81   41.33     7.36    15.71   664.04     1.23   17.27   30.45    7.77   1.95  13.86
sdr               0.00     0.00   25.32   41.90     5.39    15.71   643.07     1.26   18.71   31.75   10.83   2.54  17.10
sdb               0.00     0.00    0.00    0.00     0.00     0.00    61.28     0.00    0.36    0.36    0.00   0.33   0.00
