Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/08/2020 	_x86_64_	(8 CPU)

10:08:09 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:08:12 AM  all   10.63    0.00   12.64    2.58    0.00    1.79    0.00    0.00    0.00   72.37
10:08:12 AM    0   12.06    0.00   11.70    3.90    0.00    1.06    0.00    0.00    0.00   71.28
10:08:12 AM    1    9.38    0.00   12.50    2.08    0.00    1.39    0.00    0.00    0.00   74.65
10:08:12 AM    2   11.07    0.00   14.64    2.14    0.00    1.07    0.00    0.00    0.00   71.07
10:08:12 AM    3   10.88    0.00   14.39    1.75    0.00    0.70    0.00    0.00    0.00   72.28
10:08:12 AM    4    9.86    0.00   12.68    2.11    0.00    2.46    0.00    0.00    0.00   72.89
10:08:12 AM    5   10.31    0.00   12.37    5.15    0.00    2.06    0.00    0.00    0.00   70.10
10:08:12 AM    6   11.54    0.00   12.59    2.80    0.00    1.05    0.00    0.00    0.00   72.03
10:08:12 AM    7    9.93    0.00   10.27    1.37    0.00    4.45    0.00    0.00    0.00   73.97

10:08:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:08:15 AM  all    2.59    0.00    5.32    5.49    0.00    0.84    0.00    0.00    0.00   85.76
10:08:15 AM    0    4.27    0.00    8.19    7.83    0.00    0.36    0.00    0.00    0.00   79.36
10:08:15 AM    1    1.76    0.00    3.87    3.52    0.00    0.35    0.00    0.00    0.00   90.49
10:08:15 AM    2    2.87    0.00    5.02    5.38    0.00    0.00    0.00    0.00    0.00   86.74
10:08:15 AM    3    2.43    0.00    8.68    2.08    0.00    0.35    0.00    0.00    0.00   86.46
10:08:15 AM    4    2.48    0.00    4.26    8.16    0.00    1.77    0.00    0.00    0.00   83.33
10:08:15 AM    5    1.72    0.00    4.48    3.79    0.00    1.03    0.00    0.00    0.00   88.97
10:08:15 AM    6    2.84    0.00    4.61    9.22    0.00    0.35    0.00    0.00    0.00   82.98
10:08:15 AM    7    2.05    0.00    4.11    3.42    0.00    2.74    0.00    0.00    0.00   87.67

10:08:15 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:08:18 AM  all   21.61    0.00   28.03   18.87    0.00   10.11    0.00    0.00    0.00   21.38
10:08:18 AM    0   21.25    0.00   27.84   21.98    0.00    6.59    0.00    0.00    0.00   22.34
10:08:18 AM    1   19.78    0.00   24.18   20.15    0.00   11.72    0.00    0.00    0.00   24.18
10:08:18 AM    2   22.18    0.00   26.91   20.73    0.00    8.73    0.00    0.00    0.00   21.45
10:08:18 AM    3   21.66    0.00   31.77   19.49    0.00    5.05    0.00    0.00    0.00   22.02
10:08:18 AM    4   22.70    0.00   27.66   15.25    0.00   15.25    0.00    0.00    0.00   19.15
10:08:18 AM    5   17.38    0.00   34.75   17.02    0.00   10.64    0.00    0.00    0.00   20.21
10:08:18 AM    6   26.52    0.00   24.01   17.92    0.00   10.75    0.00    0.00    0.00   20.79
10:08:18 AM    7   21.79    0.00   27.14   18.21    0.00   11.79    0.00    0.00    0.00   21.07

10:08:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:08:21 AM  all   17.53    0.00   33.85   32.34    0.00   15.18    0.00    0.00    0.00    1.10
10:08:21 AM    0   17.28    0.00   42.28   27.21    0.00   11.03    0.00    0.00    0.00    2.21
10:08:21 AM    1   15.59    0.00   30.04   36.88    0.00   15.21    0.00    0.00    0.00    2.28
10:08:21 AM    2   16.67    0.00   32.20   38.26    0.00   12.88    0.00    0.00    0.00    0.00
