procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 3  0      0 5690036  17160 4121400    0    0  3344 11144    7    4  4  7 86  4  0 2020-02-08 10:43:40
 3  0      0 5488648  17160 4121452    0    0   140   321 2657 15323  5  6 89  0  0 2020-02-08 10:43:43
12  3      0 5456236  17160 4121468    0    0  1629   902 4578 16454  6  8 85  1  0 2020-02-08 10:43:46
 9  6      0 5454304  17160 4121832    0    0 49151  6245 29227 41781 10 31 31 28  0 2020-02-08 10:43:49
 4  4      0 5454280  17160 4121852    0    0 49628  6127 29079 41810 10 31 31 29  0 2020-02-08 10:43:52
 6  5      0 5451960  17160 4121860    0    0 48723 11097 28243 40234 10 32 30 28  0 2020-02-08 10:43:55
10  5      0 5448376  17160 4121896    0    0 49550  5988 29648 41910 11 32 30 28  0 2020-02-08 10:43:58
 9  2      0 5450508  17160 4122024    0    0 51289  6285 28936 41388 10 31 30 29  0 2020-02-08 10:44:01
15  5      0 5446292  17160 4122048    0    0 48543 11989 28621 39319 11 32 29 29  0 2020-02-08 10:44:04
 5  3      0 5452124  17160 4122064    0    0 49261  9789 29249 41299 10 31 30 28  0 2020-02-08 10:44:07
 4  4      0 5452472  17160 4122156    0    0 50345  9332 28987 41194 10 30 31 29  0 2020-02-08 10:44:10
 5  3      0 5452328  17160 4122180    0    0 50911 13133 28672 40971 10 30 31 29  0 2020-02-08 10:44:13
 2  7      0 5438056  17160 4122192    0    0 48740  6360 29204 40576 11 34 28 27  0 2020-02-08 10:44:16
10  7      0 5434464  17160 4122244    0    0 51596 12493 30125 41101 15 34 25 26  0 2020-02-08 10:44:19
 4  4      0 5418724  17160 4122380    0    0 49348 15173 29688 40735 17 34 23 25  0 2020-02-08 10:44:22
11  2      0 5451068  17160 4122356    0    0 52042  6321 28793 41007 14 33 26 27  0 2020-02-08 10:44:25
 4  7      0 5447664  17160 4122364    0    0 48804 13106 28162 40163 10 30 31 30  0 2020-02-08 10:44:28
 2  6      0 5450620  17160 4122492    0    0 51809 12408 28067 40782 10 30 30 29  0 2020-02-08 10:44:31
10  2      0 5444424  17160 4122508    0    0 46821 16753 27164 39871 10 30 31 29  0 2020-02-08 10:44:34
 4  4      0 5449412  17160 4122532    0    0 47936 17258 27686 41056  9 29 32 30  0 2020-02-08 10:44:37
11  4      0 5451640  17160 4122548    0    0 46263 19089 26980 39810  9 28 32 31  0 2020-02-08 10:44:40
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 6  4      0 5444956  17160 4122456    0    0 51159 13570 27409 42796 10 31 27 32  0 2020-02-08 10:44:43
 2  4      0 5450368  17160 4122592    0    0 44233 27707 27389 40647 11 32 28 29  0 2020-02-08 10:44:46
 2  5      0 5451728  17160 4122596    0    0 43329 29602 26508 39834  8 26 32 33  0 2020-02-08 10:44:49
 4  5      0 5450572  17160 4122612    0    0 44506 25117 27220 40740  9 28 32 32  0 2020-02-08 10:44:52
 7  3      0 5445932  17160 4122668    0    0 48511 22907 26982 42349 11 32 25 32  0 2020-02-08 10:44:55
