procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 4  0      0 125202296  37624 3402612    0    0  2583  1414  126   53  3  6 79 12  0 2020-02-11 11:54:06
 1  0      0 124464272  37624 3402768    0    0  1469   139 4962 21605  3  4 93  0  0 2020-02-11 11:54:09
 0  0      0 124237488  37624 3405508    0    0  9643   437 3468 22283  4  3 90  3  0 2020-02-11 11:54:12
14 30      0 124120800  37624 3405908    0    0 10680  1416 8975 24392  4  4 88  3  0 2020-02-11 11:54:15
15 44      0 124110848  37624 3408320    0    0 98102 20386 69752 91847  6 17 31 46  0 2020-02-11 11:54:18
 9 39      0 124099856  37624 3408268    0    0 105674 22474 73519 94197 10 20 25 45  0 2020-02-11 11:54:21
 7 40      0 124102976  37624 3408660    0    0 101784 21143 74570 94240  6 18 30 45  0 2020-02-11 11:54:24
23 15      0 124105648  37624 3408660    0    0 99588 23006 73624 94732  6 17 31 46  0 2020-02-11 11:54:27
14 41      0 123914528  37652 3408608    0    0 110990 22580 73939 95995  9 19 24 47  0 2020-02-11 11:54:30
 7 44      0 124098088  37624 3409192    0    0 115669 21092 76166 100657  8 20 24 48  0 2020-02-11 11:54:33
 6 39      0 124099680  37624 3409188    0    0 103489 22593 72294 93655  6 18 29 47  0 2020-02-11 11:54:36
16 42      0 124103144  37624 3409296    0    0 95121 22453 69059 88244  6 16 34 44  0 2020-02-11 11:54:39
 6 38      0 124100512  37624 3409412    0    0 109747 23020 75154 96350 10 20 23 46  0 2020-02-11 11:54:42
10 47      0 124095328  37624 3409592    0    0 107452 29802 72913 95041  6 18 27 48  0 2020-02-11 11:54:45
 7 43      0 124092440  37624 3409564    0    0 109812 24003 73858 95574  6 18 27 48  0 2020-02-11 11:54:48
11 53      0 124074176  37528 3407496    0    0 116524 24727 75868 100397 11 21 22 45  0 2020-02-11 11:54:51
 0 59      0 124070432  37624 3410000    0    0 101279 24882 72523 92242  7 18 29 47  0 2020-02-11 11:54:54
 6 33      0 124057568  37624 3410088    0    0 93931 24303 71083 89915  7 17 33 43  0 2020-02-11 11:54:57
10 42      0 123898752  37624 3410200    0    0 101024 20783 72498 91093 10 19 28 43  0 2020-02-11 11:55:00
 4 50      0 124077392  37624 3410932    0    0 92763 46901 70793 91947  7 18 29 46  0 2020-02-11 11:55:03
 4 49      0 124075728  37624 3411108    0    0 94804 48029 69837 91227  6 17 29 49  0 2020-02-11 11:55:06
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
10 52      0 124070016  37624 3411172    0    0 99637 50315 71443 92709  6 18 27 49  0 2020-02-11 11:55:09
14 39      0 124065096  37624 3411268    0    0 104358 49670 73168 97594 10 21 23 46  0 2020-02-11 11:55:12
 7 49      0 124068296  37624 3411116    0    0 99447 49063 70566 91928  6 18 28 49  0 2020-02-11 11:55:15
