Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/11/2020 	_x86_64_	(32 CPU)

12:29:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:29:11 PM  all    6.11    0.00    5.06    4.03    0.00    0.48    0.00    0.00    0.00   84.32
12:29:11 PM    0    4.51    0.00    4.51    1.04    0.00    0.69    0.00    0.00    0.00   89.24
12:29:11 PM    1    2.02    0.00    4.04    0.34    0.00    0.00    0.00    0.00    0.00   93.60
12:29:11 PM    2    3.83    0.00    5.23    0.70    0.00    0.35    0.00    0.00    0.00   89.90
12:29:11 PM    3    2.74    0.00    7.53    0.00    0.00    0.00    0.00    0.00    0.00   89.73
12:29:11 PM    4    2.41    0.00    4.81   14.78    0.00    0.69    0.00    0.00    0.00   77.32
12:29:11 PM    5   18.98    0.00    7.12    0.00    0.00    0.34    0.00    0.00    0.00   73.56
12:29:11 PM    6    2.11    0.00    3.52    1.06    0.00    0.35    0.00    0.00    0.00   92.96
12:29:11 PM    7    3.08    0.00    5.82    0.00    0.00    0.34    0.00    0.00    0.00   90.75
12:29:11 PM    8    4.78    0.00    2.73    0.34    0.00    0.68    0.00    0.00    0.00   91.47
12:29:11 PM    9   18.98    0.00    6.78    0.34    0.00    0.68    0.00    0.00    0.00   73.22
12:29:11 PM   10   11.90    0.00    4.76    0.34    0.00    1.02    0.00    0.00    0.00   81.97
12:29:11 PM   11   10.81    0.00    6.42    0.00    0.00    0.68    0.00    0.00    0.00   82.09
12:29:11 PM   12    7.59    0.00    5.52    0.34    0.00    0.00    0.00    0.00    0.00   86.55
12:29:11 PM   13    4.10    0.00    5.80    0.00    0.00    0.34    0.00    0.00    0.00   89.76
12:29:11 PM   14    2.76    0.00    2.07    1.72    0.00    0.34    0.00    0.00    0.00   93.10
12:29:11 PM   15   17.51    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   75.42
12:29:11 PM   16    5.10    0.00    4.08    0.00    0.00    0.68    0.00    0.00    0.00   90.14
12:29:11 PM   17    6.10    0.00    4.41    0.00    0.00    0.68    0.00    0.00    0.00   88.81
12:29:11 PM   18    3.42    0.00    3.08    0.34    0.00    0.68    0.00    0.00    0.00   92.47
12:29:11 PM   19    3.73    0.00    5.76   13.22    0.00    0.68    0.00    0.00    0.00   76.61
12:29:11 PM   20    3.14    0.00    3.14   18.12    0.00    0.70    0.00    0.00    0.00   74.91
12:29:11 PM   21    3.74    0.00    8.84   21.77    0.00    0.68    0.00    0.00    0.00   64.97
12:29:11 PM   22   15.17    0.00    6.55   11.72    0.00    1.38    0.00    0.00    0.00   65.17
12:29:11 PM   23    3.38    0.00    5.07    9.80    0.00    0.68    0.00    0.00    0.00   81.08
12:29:11 PM   24    3.44    0.00    4.12   14.43    0.00    0.69    0.00    0.00    0.00   77.32
12:29:11 PM   25    4.39    0.00    6.42   12.84    0.00    1.01    0.00    0.00    0.00   75.34
12:29:11 PM   26    4.81    0.00    3.09    1.72    0.00    0.34    0.00    0.00    0.00   90.03
12:29:11 PM   27    4.05    0.00    5.07    0.00    0.00    0.34    0.00    0.00    0.00   90.54
12:29:11 PM   28    4.14    0.00    3.79    1.38    0.00    0.34    0.00    0.00    0.00   90.34
12:29:11 PM   29    5.10    0.00    5.10    0.34    0.00    0.00    0.00    0.00    0.00   89.46
12:29:11 PM   30    2.74    0.00    3.08    1.71    0.00    0.00    0.00    0.00    0.00   92.47
12:29:11 PM   31    4.76    0.00    5.78    0.00    0.00    0.34    0.00    0.00    0.00   89.12

12:29:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:29:14 PM  all    1.20    0.00    1.75    0.10    0.00    0.08    0.00    0.00    0.00   96.87
12:29:14 PM    0    1.69    0.00    1.36    0.00    0.00    0.34    0.00    0.00    0.00   96.61
12:29:14 PM    1    0.34    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.99
12:29:14 PM    2    1.02    0.00    2.05    0.00    0.00    0.00    0.00    0.00    0.00   96.93
12:29:14 PM    3    0.00    0.00    2.07    0.00    0.00    0.00    0.00    0.00    0.00   97.93
12:29:14 PM    4    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
12:29:14 PM    5    0.67    0.00    1.00    0.00    0.00    0.33    0.00    0.00    0.00   97.99
12:29:14 PM    6    1.04    0.00    2.78    0.00    0.00    0.00    0.00    0.00    0.00   96.18
12:29:14 PM    7    1.36    0.00    3.74    0.00    0.00    0.00    0.00    0.00    0.00   94.90
12:29:14 PM    8    1.03    0.00    1.03    0.34    0.00    0.00    0.00    0.00    0.00   97.60
12:29:14 PM    9    1.68    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   96.98
12:29:14 PM   10    1.37    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.61
12:29:14 PM   11    0.67    0.00    1.68    0.34    0.00    0.00    0.00    0.00    0.00   97.32
12:29:14 PM   12    1.02    0.00    1.02    0.00    0.00    0.34    0.00    0.00    0.00   97.61
12:29:14 PM   13    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
12:29:14 PM   14    1.03    0.00    1.03    0.34    0.00    0.00    0.00    0.00    0.00   97.60
12:29:14 PM   15    1.67    0.00    2.00    0.00    0.00    0.33    0.00    0.00    0.00   96.00
12:29:14 PM   16    1.36    0.00    1.70    0.00    0.00    0.00    0.00    0.00    0.00   96.94
12:29:14 PM   17    1.33    0.00    2.00    0.33    0.00    0.00    0.00    0.00    0.00   96.33
12:29:14 PM   18    1.71    0.00    2.39    0.00    0.00    0.00    0.00    0.00    0.00   95.90
12:29:14 PM   19    2.35    0.00    4.70    0.00    0.00    0.00    0.00    0.00    0.00   92.95
12:29:14 PM   20    0.68    0.00    1.02    0.34    0.00    0.34    0.00    0.00    0.00   97.61
12:29:14 PM   21    2.70    0.00    3.72    0.00    0.00    0.00    0.00    0.00    0.00   93.58
12:29:14 PM   22    0.68    0.00    1.71    0.34    0.00    0.00    0.00    0.00    0.00   97.26
12:29:14 PM   23    1.35    0.00    3.70    0.00    0.00    0.00    0.00    0.00    0.00   94.95
12:29:14 PM   24    0.68    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   98.63
12:29:14 PM   25    0.67    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   97.99
12:29:14 PM   26    1.03    0.00    1.03    0.34    0.00    0.00    0.00    0.00    0.00   97.60
12:29:14 PM   27    2.34    0.00    2.34    0.00    0.00    0.00    0.00    0.00    0.00   95.32
12:29:14 PM   28    1.02    0.00    1.36    0.34    0.00    0.00    0.00    0.00    0.00   97.28
12:29:14 PM   29    1.00    0.00    1.00    0.33    0.00    0.33    0.00    0.00    0.00   97.33
12:29:14 PM   30    1.02    0.00    1.02    0.68    0.00    0.00    0.00    0.00    0.00   97.27
12:29:14 PM   31    2.00    0.00    1.00    0.33    0.00    0.00    0.00    0.00    0.00   96.67

12:29:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:29:17 PM  all    2.52    0.00    2.96    3.16    0.00    0.81    0.00    0.00    0.00   90.54
12:29:17 PM    0    3.48    0.00    2.79    1.74    0.00    0.70    0.00    0.00    0.00   91.29
12:29:17 PM    1    2.01    0.00    1.00    0.33    0.00    0.00    0.00    0.00    0.00   96.66
12:29:17 PM    2    2.77    0.00    7.61    2.42    0.00    0.35    0.00    0.00    0.00   86.85
12:29:17 PM    3    2.41    0.00    2.06    0.69    0.00    0.00    0.00    0.00    0.00   94.85
12:29:17 PM    4    2.42    0.00    3.81    5.19    0.00    0.35    0.00    0.00    0.00   88.24
12:29:17 PM    5    1.36    0.00    2.38    4.08    0.00    0.68    0.00    0.00    0.00   91.50
12:29:17 PM    6    2.11    0.00    4.56    3.86    0.00    1.05    0.00    0.00    0.00   88.42
12:29:17 PM    7    1.02    0.00    1.37    2.39    0.00    0.68    0.00    0.00    0.00   94.54
12:29:17 PM    8    2.74    0.00    6.51    0.68    0.00    1.03    0.00    0.00    0.00   89.04
12:29:17 PM    9    2.36    0.00    1.68    3.37    0.00    0.67    0.00    0.00    0.00   91.92
12:29:17 PM   10    4.11    0.00    2.74    3.08    0.00    0.68    0.00    0.00    0.00   89.38
12:29:17 PM   11    2.69    0.00    1.68    3.37    0.00    1.01    0.00    0.00    0.00   91.25
12:29:17 PM   12    3.08    0.00    3.42    2.74    0.00    0.34    0.00    0.00    0.00   90.41
12:29:17 PM   13    1.01    0.00    1.69    2.03    0.00    1.35    0.00    0.00    0.00   93.92
12:29:17 PM   14    3.46    0.00    2.77    4.84    0.00    0.69    0.00    0.00    0.00   88.24
12:29:17 PM   15    2.69    0.00    1.01    3.03    0.00    0.67    0.00    0.00    0.00   92.59
12:29:17 PM   16    3.44    0.00    2.41    3.09    0.00    1.03    0.00    0.00    0.00   90.03
12:29:17 PM   17    2.35    0.00    1.01    1.01    0.00    0.34    0.00    0.00    0.00   95.30
12:29:17 PM   18    2.05    0.00    7.53    0.68    0.00    1.71    0.00    0.00    0.00   88.01
12:29:17 PM   19    2.36    0.00    2.03    5.74    0.00    0.68    0.00    0.00    0.00   89.19
12:29:17 PM   20    4.14    0.00    3.45    4.14    0.00    1.72    0.00    0.00    0.00   86.55
12:29:17 PM   21    2.35    0.00    7.38    1.01    0.00    1.34    0.00    0.00    0.00   87.92
12:29:17 PM   22    4.14    0.00    2.41    4.48    0.00    0.69    0.00    0.00    0.00   88.28
12:29:17 PM   23    3.37    0.00    2.02    4.38    0.00    1.68    0.00    0.00    0.00   88.55
12:29:17 PM   24    3.06    0.00    3.74    5.44    0.00    1.36    0.00    0.00    0.00   86.39
12:29:17 PM   25    2.02    0.00    2.36    5.39    0.00    2.02    0.00    0.00    0.00   88.22
12:29:17 PM   26    3.11    0.00    2.42    4.50    0.00    1.38    0.00    0.00    0.00   88.58
12:29:17 PM   27    1.01    0.00    1.35    3.37    0.00    0.34    0.00    0.00    0.00   93.94
12:29:17 PM   28    2.07    0.00    2.76    4.83    0.00    0.69    0.00    0.00    0.00   89.66
12:29:17 PM   29    2.03    0.00    1.01    2.03    0.00    0.00    0.00    0.00    0.00   94.93
12:29:17 PM   30    2.40    0.00    3.42    4.79    0.00    0.34    0.00    0.00    0.00   89.04
12:29:17 PM   31    1.01    0.00    1.69    3.04    0.00    0.68    0.00    0.00    0.00   93.58

12:29:17 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:29:20 PM  all    8.07    0.00   13.07   35.97    0.00    4.55    0.00    0.00    0.00   38.33
12:29:20 PM    0    5.86    0.00   19.78   35.53    0.00    3.30    0.00    0.00    0.00   35.53
12:29:20 PM    1    5.42    0.00    1.69    2.37    0.00    0.00    0.00    0.00    0.00   90.51
12:29:20 PM    2    6.03    0.00    8.87   47.16    0.00    0.00    0.00    0.00    0.00   37.94
12:29:20 PM    3    8.45    0.00    6.08    8.11    0.00    0.00    0.00    0.00    0.00   77.36
12:29:20 PM    4    9.03    0.00   17.33   55.23    0.00    5.05    0.00    0.00    0.00   13.36
12:29:20 PM    5    1.88    0.00    4.89   28.95    0.00    2.63    0.00    0.00    0.00   61.65
12:29:20 PM    6    5.17    0.00   11.07   46.13    0.00    3.69    0.00    0.00    0.00   33.95
12:29:20 PM    7   10.88    0.00    5.26   10.18    0.00    1.40    0.00    0.00    0.00   72.28
12:29:20 PM    8    9.52    0.00   46.94    3.40    0.00    7.14    0.00    0.00    0.00   32.99
12:29:20 PM    9   15.60    0.00    5.67   25.18    0.00    2.84    0.00    0.00    0.00   50.71
12:29:20 PM   10    5.69    0.00    9.61   59.79    0.00    1.07    0.00    0.00    0.00   23.84
12:29:20 PM   11    3.80    0.00    5.32   43.73    0.00    4.56    0.00    0.00    0.00   42.59
12:29:20 PM   12   10.43    0.00    9.35   46.04    0.00    2.16    0.00    0.00    0.00   32.01
12:29:20 PM   13    3.42    0.00    4.94   28.14    0.00    4.94    0.00    0.00    0.00   58.56
12:29:20 PM   14    5.02    0.00    9.68   51.61    0.00    2.51    0.00    0.00    0.00   31.18
12:29:20 PM   15    2.15    0.00    3.58   29.03    0.00    1.43    0.00    0.00    0.00   63.80
12:29:20 PM   16    5.34    0.00    6.87   45.04    0.00    6.87    0.00    0.00    0.00   35.88
12:29:20 PM   17    9.93    0.00    4.79   15.41    0.00    1.03    0.00    0.00    0.00   68.84
12:29:20 PM   18    9.41    0.00   44.60    2.44    0.00   13.59    0.00    0.00    0.00   29.97
12:29:20 PM   19    9.49    0.00   11.68   54.38    0.00    4.38    0.00    0.00    0.00   20.07
12:29:20 PM   20   18.66    0.00   17.16   39.93    0.00   15.30    0.00    0.00    0.00    8.96
