Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/11/2020 	_x86_64_	(32 CPU)

02/11/2020 08:51:09 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.45    0.00    4.97   10.13    0.00   81.45

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.14    0.00     0.00     0.00    56.15     0.00    0.12    0.12    0.00   0.09   0.00
sde               0.00     0.00   17.26   24.03     0.35     0.33    33.68     0.19    4.63    0.14    7.86   2.19   9.06
sdc               0.10     0.15   18.31   23.48     0.82     1.13    95.48     1.08   25.95    4.56   42.62   1.99   8.33
sdf               0.00     0.00   16.84   24.95     0.34     0.33    32.89     0.17    4.02    0.13    6.64   2.00   8.35
sdg               0.00     0.00   32.73   23.82     0.44     0.31    26.98     0.16    2.91    0.12    6.75   1.44   8.13
sdh               0.00     0.00   18.85    0.30     0.08     0.00     9.17     0.04    2.31    2.29    3.53   2.23   4.28
sdi               0.00     0.00   18.89    0.29     0.08     0.00     9.17     0.05    2.35    2.34    3.37   2.18   4.17
sdj               0.00     0.00 3586.71 1034.43    34.08     8.46    18.85    20.60    4.45    4.51    4.28   0.10  47.05
sdk               0.00     0.00   15.67    0.00     0.06     0.00     8.21     0.03    2.21    2.21    5.20   2.14   3.36
sdl               0.00     0.00   15.67    0.00     0.06     0.00     8.21     0.03    2.19    2.19    5.33   2.13   3.33
sdm               0.00     0.00   18.78    0.00     0.08     0.00     9.20     0.04    2.24    2.24    4.40   2.14   4.03
sdn               0.00     0.00   15.68    0.29     0.06     0.00     8.20     0.04    2.23    2.21    3.15   2.16   3.45
sdo               0.00     0.00   15.67    0.00     0.06     0.00     8.21     0.03    2.20    2.20    5.67   2.13   3.34
sdp               0.00     0.00   15.66    0.00     0.06     0.00     8.21     0.04    2.28    2.28    5.40   2.21   3.46
sdd               0.00     0.00   38.61    2.50     0.18     0.00     8.96     0.01    0.33    0.14    3.34   0.32   1.31
sdq               0.00     0.00   15.67    0.00     0.06     0.00     8.21     0.03    2.15    2.15    4.67   2.08   3.26
sdr               0.00     0.00   15.71    0.00     0.06     0.00     8.21     0.03    2.21    2.21    5.33   2.14   3.36
sda               0.02     0.94   34.95    9.90     0.56     0.15    32.00     0.57   12.64    3.17   46.04   1.50   6.74
dm-0              0.00     0.00   18.73   23.63     0.82     1.13    94.18     1.10   26.01    4.58   43.00   1.96   8.31
sds               0.00     0.00    0.64    0.01     0.00     0.00     8.02     0.00    0.73    0.67    6.62   0.63   0.04
dm-1              0.00     0.00    0.32    0.01     0.00     0.00     8.05     0.00    0.91    0.78    6.88   0.90   0.03
sdt               0.00     0.00    1.12    0.00     0.00     0.00     7.99     0.00    0.87    0.87    0.00   0.77   0.09
dm-2              0.00     0.00    0.80    0.00     0.00     0.00     7.99     0.00    0.95    0.95    0.00   0.94   0.07
sdu               0.00     0.00    4.21    0.90     0.02     0.00     7.15     0.01    1.62    0.99    4.56   1.56   0.80
dm-3              0.00     0.00    3.89    0.90     0.02     0.00     7.09     0.01    1.76    1.09    4.66   1.72   0.82
sdv               0.00     0.00    0.64    0.01     0.00     0.00     8.02     0.00    0.87    0.81    6.50   0.72   0.05
dm-4              0.00     0.00    0.32    0.01     0.00     0.00     8.05     0.00    0.90    0.78    6.62   0.88   0.03
sdw               0.00     0.00    0.64    0.29     0.00     0.00     8.01     0.00    5.08    5.40    4.37   4.51   0.42
dm-5              0.00     0.00    0.32    0.29     0.00     0.00     8.01     0.00    4.82    5.09    4.52   4.79   0.29
sdx               0.00     0.00    0.69    0.29     0.00     0.00     7.63     0.00    4.08    3.76    4.85   3.45   0.34
dm-6              0.00     0.00    0.37    0.29     0.00     0.00     7.46     0.00    4.31    3.76    4.99   4.27   0.28
sdy               0.00     0.00    0.64    0.00     0.00     0.00     7.99     0.00    3.11    3.09    8.67   2.16   0.14
