Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/12/2020 	_x86_64_	(32 CPU)

02/12/2020 08:38:48 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.63    0.00    4.95   10.44    0.00   81.98

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdc               0.10     0.07    5.51   19.33     0.24     0.30    44.44     0.24    9.46    3.99   11.03   1.72   4.28
sdb               0.00     0.00    0.04    0.00     0.00     0.00    56.15     0.00    0.16    0.16    0.00   0.15   0.00
sde               0.00     0.00   15.01   23.69     0.25     0.31    29.85     0.18    4.54    0.21    7.29   2.15   8.33
sdd               0.00     0.00   35.71    2.39     0.14     0.00     7.93     0.01    0.35    0.15    3.30   0.34   1.29
sdf               0.00     0.00   15.23   23.37     0.28     0.31    31.47     0.19    4.89    0.21    7.94   2.19   8.45
sdg               0.00     0.00   31.57   23.67     0.36     0.32    25.29     0.19    3.53    0.16    8.02   1.64   9.05
sdh               0.00     0.00   17.67    0.32     0.08     0.00     9.23     0.04    2.34    2.32    3.26   2.29   4.12
sdi               0.00     0.00   17.72    0.32     0.08     0.00     9.23     0.04    2.41    2.40    3.22   2.24   4.04
sdj               0.00     0.00 3681.77 1072.66    30.37     8.77    16.86    31.46    6.61    6.72    6.27   0.08  37.20
sdk               0.00     0.00   17.65    0.00     0.08     0.00     9.26     0.04    2.18    2.18    4.20   2.11   3.72
sdl               0.00     0.00   14.28    0.00     0.06     0.00     8.07     0.03    2.17    2.17    5.67   2.13   3.04
sdq               0.00     0.00   14.36    0.00     0.06     0.00     8.07     0.03    2.19    2.19    7.33   2.14   3.08
sdp               0.00     0.00   14.28    0.00     0.06     0.00     8.07     0.03    2.17    2.17    4.67   2.12   3.03
sdo               0.00     0.00   14.28    0.00     0.06     0.00     8.07     0.03    2.17    2.17    5.00   2.12   3.03
sdn               0.00     0.00   14.28    0.00     0.06     0.00     8.07     0.03    2.23    2.23    5.60   2.18   3.11
sdm               0.00     0.00   14.35    0.32     0.06     0.00     8.07     0.03    2.33    2.31    3.27   2.27   3.34
sdr               0.00     0.00   14.28    0.00     0.06     0.00     8.07     0.03    2.21    2.21    4.20   2.16   3.08
sda               0.01     0.06    8.84    6.39     0.14     0.06    27.03     0.24   15.55    4.05   31.47   2.53   3.85
dm-0              0.00     0.00    5.71   19.40     0.24     0.30    43.95     0.24    9.54    3.84   11.22   1.66   4.17
sds               0.00     0.00    0.29    0.00     0.00     0.00     8.00     0.00    1.01    1.01    0.00   0.92   0.03
sdt               0.00     0.00    0.29    0.00     0.00     0.00     8.00     0.00    6.72    6.72    6.00   6.11   0.18
dm-1              0.00     0.00    0.13    0.00     0.00     0.00     8.00     0.00    1.07    1.07    0.00   1.07   0.01
dm-2              0.00     0.00    0.13    0.00     0.00     0.00     8.00     0.00    5.87    5.87    6.00   5.86   0.07
sdu               0.00     0.00    0.79    0.00     0.00     0.00     8.00     0.00    0.99    0.99    0.00   0.95   0.07
dm-3              0.00     0.00    0.62    0.00     0.00     0.00     8.00     0.00    1.04    1.04    0.00   1.03   0.06
sdv               0.00     0.00    2.54    0.97     0.00     0.00     2.81     0.01    1.97    1.10    4.26   1.95   0.68
dm-4              0.00     0.00    2.37    0.97     0.00     0.00     2.55     0.01    2.13    1.22    4.38   2.11   0.70
sdw               0.00     0.00    0.29    0.00     0.00     0.00     8.00     0.00    1.19    1.19    0.00   1.08   0.03
dm-5              0.00     0.00    0.13    0.00     0.00     0.00     8.00     0.00    1.01    1.01    0.00   1.01   0.01
sdx               0.00     0.00    0.35    0.00     0.00     0.00     6.90     0.00    5.18    5.18    4.00   4.58   0.16
dm-6              0.00     0.00    0.18    0.00     0.00     0.00     5.87     0.00    4.30    4.30    4.00   4.30   0.08
sdy               0.00     0.00    0.29    0.00     0.00     0.00     7.99     0.00    3.47    3.47    0.00   2.76   0.08
dm-7              0.00     0.00    0.13    0.00     0.00     0.00     7.99     0.00    3.71    3.71    0.00   3.70   0.05
sdz               0.00     0.00    0.29    0.00     0.00     0.00     7.99     0.00    3.28    3.28    0.00   2.62   0.08
dm-8              0.00     0.00    0.13    0.00     0.00     0.00     7.99     0.00    3.45    3.45    0.00   3.44   0.04
sdaa              0.00     0.00    0.29    0.00     0.00     0.00     7.99     0.00    3.27    3.27    0.00   2.62   0.08
dm-9              0.00     0.00    0.13    0.00     0.00     0.00     7.99     0.00    3.43    3.43    0.00   3.42   0.04
sdab              0.00     0.00    0.29    0.00     0.00     0.00     7.99     0.00    3.31    3.31    0.00   2.67   0.08
dm-10             0.00     0.00    0.13    0.00     0.00     0.00     7.99     0.00    3.42    3.42    0.00   3.38   0.04
sdac              0.00     0.00    0.29    0.00     0.00     0.00     7.99     0.00    3.27    3.27    0.00   2.63   0.08
dm-11             0.00     0.00    0.13    0.00     0.00     0.00     7.99     0.00    3.41    3.41    0.00   3.40   0.04
sdad              0.00     0.00    0.29    0.00     0.00     0.00     7.99     0.00    3.38    3.38    0.00   2.68   0.08
dm-12             0.00     0.00    0.13    0.00     0.00     0.00     7.99     0.00    3.55    3.55    0.00   3.54   0.04
sdae              0.00     0.00    0.29    0.00     0.00     0.00     8.00     0.00    4.93    4.93    3.00   4.30   0.13
dm-13             0.00     0.00    0.13    0.00     0.00     0.00     8.00     0.00    4.46    4.46    4.00   4.45   0.06
sdaf              0.00     0.00    0.29  544.42     0.00     4.45    16.73     6.74   12.38    5.84   12.39   0.29  15.53
dm-14             0.00     0.00    0.13  544.42     0.00     4.45    16.74    15.60   28.64    5.30   28.64   0.29  15.58
sdag              0.00     0.00    2.55    0.97     0.01     0.00     4.03     0.01    1.71    0.91    3.81   1.68   0.59
dm-15             0.00     0.00    2.38    0.97     0.01     0.00     3.83     0.01    1.92    1.09    3.95   1.88   0.63
sdah              0.00     0.00    0.29   12.26     0.00     0.16    25.66     0.08    6.63    0.84    6.76   3.27   4.10
dm-16             0.00     0.00    0.13   12.26     0.00     0.16    25.90     0.09    6.95    1.06    7.01   3.37   4.18
sdai              0.00     0.00    0.29   12.42     0.00     0.16    26.22     0.09    6.93    0.92    7.07   3.43   4.36
dm-17             0.00     0.00    0.13   12.42     0.00     0.16    26.47     0.09    7.25    1.05    7.32   3.53   4.43
sdaj              0.00     0.00    0.29    0.00     0.00     0.00     7.99     0.00    3.18    3.18    0.00   2.52   0.07
dm-18             0.00     0.00    0.13    0.00     0.00     0.00     7.99     0.00    3.29    3.29    0.00   3.28   0.04
sdak              0.00     0.00    0.29   12.05     0.00     0.15    25.53     0.08    6.68    0.81    6.82   3.29   4.06
dm-19             0.00     0.00    0.13   12.05     0.00     0.15    25.77     0.09    7.02    0.86    7.09   3.40   4.14

02/12/2020 08:38:51 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.97    0.00    3.79    0.13    0.00   93.12

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdc               0.00     0.00    0.00    7.33     0.00     0.03     8.73     0.02    3.18    0.00    3.18   1.77   1.30
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sde               0.00     0.00    0.67   23.33     0.01     0.05     4.97     0.10    4.21    0.50    4.31   2.37   5.70
sdd               0.00     0.00    4.33    2.33     0.00     0.00     1.70     0.01    1.20    0.08    3.29   1.20   0.80
sdf               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.00    2.00    1.00    3.00   2.00   0.13
sdg               0.00     0.00    0.67    0.67     0.01     0.01    26.00     0.00    1.75    0.00    3.50   1.75   0.23
sdh               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.00    3.00    3.00    3.00   3.00   0.20
sdi               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.00    3.00    3.00    3.00   3.00   0.20
sdj               0.00     0.00    7.00    5.67     0.10     0.05    23.61     0.05    4.00    4.76    3.06   2.95   3.73
sdk               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
sdl               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
sdq               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
sdp               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
sdo               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    2.00    2.00    0.00   2.00   0.07
sdn               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    2.00    2.00    0.00   2.00   0.07
sdm               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.00    2.50    2.00    3.00   2.50   0.17
sdr               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
sda               0.00     0.00    0.00    7.00     0.00     0.05    13.71     0.04    5.43    0.00    5.43   3.10   2.17
