Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/12/2020 	_x86_64_	(32 CPU)

08:38:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:38:51 AM  all    2.97    0.00    3.48    0.13    0.00    0.31    0.00    0.00    0.00   93.12
08:38:51 AM    0    1.37    0.00    1.72    0.00    0.00    0.00    0.00    0.00    0.00   96.91
08:38:51 AM    1    3.03    0.00    4.04    0.34    0.00    0.00    0.00    0.00    0.00   92.59
08:38:51 AM    2    3.42    0.00    2.74    0.00    0.00    0.34    0.00    0.00    0.00   93.49
08:38:51 AM    3    3.03    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   92.93
08:38:51 AM    4    2.05    0.00    2.39    1.02    0.00    0.00    0.00    0.00    0.00   94.54
08:38:51 AM    5    4.04    0.00    5.05    0.00    0.00    0.34    0.00    0.00    0.00   90.57
08:38:51 AM    6    3.77    0.00    2.74    0.00    0.00    0.34    0.00    0.00    0.00   93.15
08:38:51 AM    7    3.05    0.00    3.73    0.00    0.00    0.68    0.00    0.00    0.00   92.54
08:38:51 AM    8    4.11    0.00    2.74    0.34    0.00    0.68    0.00    0.00    0.00   92.12
08:38:51 AM    9    3.14    0.00    4.88    0.00    0.00    0.70    0.00    0.00    0.00   91.29
08:38:51 AM   10    4.14    0.00    2.76    1.38    0.00    0.69    0.00    0.00    0.00   91.03
08:38:51 AM   11    2.69    0.00    4.04    0.00    0.00    0.67    0.00    0.00    0.00   92.59
08:38:51 AM   12    2.41    0.00    2.41    0.00    0.00    0.00    0.00    0.00    0.00   95.19
08:38:51 AM   13    2.70    0.00    4.39    0.00    0.00    0.00    0.00    0.00    0.00   92.91
08:38:51 AM   14    5.12    0.00    4.10    0.00    0.00    0.34    0.00    0.00    0.00   90.44
08:38:51 AM   15    3.72    0.00    4.05    0.00    0.00    0.34    0.00    0.00    0.00   91.89
08:38:51 AM   16    2.75    0.00    2.75    0.00    0.00    0.00    0.00    0.00    0.00   94.50
08:38:51 AM   17    2.02    0.00    3.70    0.00    0.00    0.34    0.00    0.00    0.00   93.94
08:38:51 AM   18    2.46    0.00    4.56    0.00    0.00    0.00    0.00    0.00    0.00   92.98
08:38:51 AM   19    2.75    0.00    6.87    0.00    0.00    0.00    0.00    0.00    0.00   90.38
08:38:51 AM   20    2.75    0.00    2.06    0.00    0.00    0.34    0.00    0.00    0.00   94.85
08:38:51 AM   21    2.69    0.00    3.03    0.34    0.00    0.34    0.00    0.00    0.00   93.60
08:38:51 AM   22    2.41    0.00    1.37    0.34    0.00    0.34    0.00    0.00    0.00   95.53
08:38:51 AM   23    3.01    0.00    4.68    0.00    0.00    0.00    0.00    0.00    0.00   92.31
08:38:51 AM   24    1.71    0.00    2.05    0.00    0.00    0.34    0.00    0.00    0.00   95.89
08:38:51 AM   25    4.36    0.00    3.69    0.00    0.00    0.67    0.00    0.00    0.00   91.28
08:38:51 AM   26    2.73    0.00    2.39    0.00    0.00    0.00    0.00    0.00    0.00   94.88
08:38:51 AM   27    3.37    0.00    5.05    0.00    0.00    0.34    0.00    0.00    0.00   91.25
08:38:51 AM   28    2.05    0.00    2.40    0.00    0.00    0.68    0.00    0.00    0.00   94.86
08:38:51 AM   29    3.01    0.00    4.68    0.00    0.00    0.33    0.00    0.00    0.00   91.97
08:38:51 AM   30    2.41    0.00    1.72    0.00    0.00    0.34    0.00    0.00    0.00   95.53
08:38:51 AM   31    2.36    0.00    5.05    0.00    0.00    0.34    0.00    0.00    0.00   92.26

08:38:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:38:54 AM  all    1.64    0.00    1.80    0.15    0.00    0.10    0.00    0.00    0.00   96.32
08:38:54 AM    0    1.02    0.00    0.68    0.00    0.00    0.34    0.00    0.00    0.00   97.95
08:38:54 AM    1    3.02    0.00    1.68    0.34    0.00    0.00    0.00    0.00    0.00   94.97
08:38:54 AM    2    2.04    0.00    4.76    0.00    0.00    0.34    0.00    0.00    0.00   92.86
08:38:54 AM    3    0.67    0.00    2.33    0.00    0.00    0.00    0.00    0.00    0.00   97.00
08:38:54 AM    4    1.02    0.00    0.68    0.34    0.00    0.00    0.00    0.00    0.00   97.96
08:38:54 AM    5    2.02    0.00    2.36    0.00    0.00    0.00    0.00    0.00    0.00   95.62
08:38:54 AM    6    1.02    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   98.31
